date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR),Median Peak SWE
10-12,0.3,0.0,2.0,0.0,0.4,0.0,0.0,0.0,0.4,1.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,1.2,2.0,0.0,0.0,11.5
10-13,0.2,0.0,1.8,0.0,0.4,0.0,0.0,0.0,0.2,1.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,1.2,1.8,0.0,0.0,11.5
10-14,0.2,0.0,1.7,0.0,0.4,0.0,0.0,0.0,0.2,1.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,1.3,1.7,0.0,0.0,11.5
10-15,0.0,0.0,1.6,0.0,0.5,0.0,0.0,0.0,0.2,1.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,1.2,1.6,0.0,0.0,11.5
10-16,0.0,0.0,1.4,0.0,0.5,0.0,0.0,0.0,0.2,1.6,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.2,1.1,1.6,0.0,0.0,11.5
10-17,0.0,0.0,1.2,0.0,0.5,0.0,0.0,0.0,0.1,1.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,1.0,1.6,0.0,0.0,11.5
10-18,0.0,0.0,1.2,0.0,0.5,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.8,0.0,0.0,11.5
10-19,0.0,0.0,1.1,0.0,0.5,0.0,0.0,0.1,0.0,1.8,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.1,0.9,1.8,0.0,0.0,11.5
10-20,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.8,0.1,0.0,0.8,0.0,,0.0,0.0,0.0,0.1,0.9,1.8,0.0,0.0,11.5
10-21,0.1,0.0,0.9,0.0,0.5,0.0,0.0,0.0,0.0,1.7,0.2,0.0,0.6,0.0,,0.0,0.0,0.0,0.2,0.8,1.7,0.0,0.0,11.5
10-22,0.1,0.0,0.8,0.0,0.5,0.0,0.0,0.0,0.0,1.7,0.2,0.0,0.4,0.0,,0.0,0.0,0.0,0.2,0.7,1.7,0.0,0.0,11.5
10-23,0.1,0.0,0.8,0.0,0.5,0.0,0.0,0.0,0.0,1.6,0.2,0.0,0.4,0.6,,0.0,0.0,0.0,0.4,0.7,1.6,0.0,0.1,11.5
10-24,0.1,0.1,0.8,0.2,0.4,0.0,0.0,0.0,0.0,1.3,0.4,0.0,0.4,0.8,,0.0,0.0,0.0,0.4,0.8,1.3,0.1,0.1,11.5
10-25,0.1,0.2,0.6,0.2,0.4,0.0,0.0,0.0,0.0,1.3,0.5,0.0,0.4,0.9,,0.0,0.0,0.0,0.5,0.8,1.3,0.1,0.2,11.5
10-26,0.1,0.4,0.7,0.3,0.3,0.0,0.0,0.0,0.0,1.3,0.5,0.2,0.7,0.8,,0.0,0.0,0.1,0.5,0.8,1.3,0.2,0.3,11.5
10-27,0.1,0.4,0.7,0.4,0.2,0.0,0.0,0.0,0.0,1.3,0.5,0.0,1.2,0.9,,0.0,0.0,0.0,0.5,1.1,1.3,0.2,0.3,11.5
10-28,0.4,0.4,0.7,0.4,0.2,0.0,0.0,0.0,0.0,1.3,0.6,0.0,1.2,0.7,,0.0,0.0,0.0,0.7,1.1,1.3,0.2,0.4,11.5
10-29,2.3,0.5,0.7,0.1,0.8,0.0,0.0,0.0,0.0,1.2,0.8,0.0,1.1,0.8,,0.0,0.0,0.0,0.8,1.2,2.3,0.4,0.6,11.5
10-30,2.5,0.4,0.8,0.0,1.5,0.0,0.0,0.0,0.0,1.2,0.9,0.0,1.0,0.8,,0.0,0.0,0.0,0.9,1.4,2.5,0.4,0.6,11.5
10-31,2.6,0.4,0.8,0.0,1.6,0.0,0.0,0.0,0.0,1.2,1.0,0.0,1.1,0.8,,0.0,0.0,0.0,1.0,1.4,2.6,0.4,0.6,11.5
11-01,2.6,0.5,0.8,0.0,1.6,0.0,0.0,0.1,0.0,1.2,1.0,0.0,1.1,0.8,,0.0,0.0,0.0,1.0,1.5,2.6,0.4,0.6,11.5
11-02,2.5,0.5,1.4,0.0,1.5,0.2,0.0,0.4,0.0,1.2,1.0,0.0,1.2,0.8,,0.0,0.0,0.2,1.2,1.4,2.5,0.6,0.6,11.5
11-03,2.4,0.5,1.4,0.0,1.1,0.6,0.0,0.4,0.0,1.4,1.0,0.0,1.4,1.8,,0.0,0.0,0.3,1.4,1.7,2.4,0.7,0.8,11.5
11-04,2.4,0.5,1.4,0.0,1.2,0.6,0.2,0.4,0.0,1.4,1.0,0.0,1.4,2.0,,0.0,0.0,0.4,1.4,1.8,2.4,0.8,0.8,11.5
11-05,2.4,0.5,1.8,0.0,1.3,0.7,0.6,0.4,0.0,1.5,1.0,0.0,1.4,2.2,,0.0,0.0,0.5,1.4,2.1,2.4,0.8,0.8,11.5
11-06,2.4,0.5,2.0,0.0,1.5,0.7,0.6,0.2,0.0,1.5,1.0,0.0,1.4,2.3,,0.0,0.0,0.5,1.5,2.2,2.4,0.8,0.8,11.5
11-07,2.2,0.4,2.0,0.0,1.6,0.7,0.6,0.0,0.1,1.5,1.0,0.2,1.4,2.6,,0.0,0.0,0.4,1.5,2.2,2.6,0.8,0.9,11.5
11-08,2.3,0.4,2.0,0.0,1.6,0.7,0.6,0.0,0.1,1.5,1.0,1.0,1.4,2.6,,0.0,0.0,0.6,1.5,2.2,2.6,0.8,1.0,11.5
11-09,2.3,0.8,1.8,0.0,1.6,0.7,0.6,0.0,0.2,1.5,1.0,1.2,1.4,2.8,,0.0,0.0,0.7,1.5,2.2,2.8,0.8,1.1,11.5
11-10,2.2,0.8,1.8,1.4,1.6,0.8,1.2,0.0,0.2,1.5,1.0,1.2,1.4,3.0,,0.0,0.4,1.0,1.6,2.1,3.0,1.0,1.3,11.5
11-11,2.2,0.8,1.8,1.4,1.6,0.8,1.8,0.0,0.2,1.5,1.1,1.2,1.4,3.0,,0.0,0.4,1.1,1.6,2.1,3.0,1.2,1.4,11.5
11-12,2.2,0.9,2.0,1.4,1.6,0.8,1.6,0.0,0.2,1.8,1.1,1.2,1.4,3.0,,0.0,0.4,1.1,1.6,2.1,3.0,1.3,1.4,11.5
11-13,2.2,1.0,2.0,1.4,1.6,0.8,1.6,0.0,0.2,1.8,1.1,1.5,1.4,3.0,,0.0,0.4,1.1,1.6,2.2,3.0,1.4,1.4,11.5
11-14,2.4,1.0,2.0,1.4,1.6,1.4,1.6,0.0,0.2,1.8,1.2,1.6,1.4,3.0,,0.0,0.4,1.3,1.7,2.2,3.0,1.4,1.5,11.5
11-15,2.4,1.1,1.8,1.5,1.6,1.4,1.6,0.0,0.2,1.8,1.2,1.9,1.4,3.0,,0.0,0.5,1.3,1.8,2.3,3.0,1.5,1.5,11.5
11-16,2.4,1.3,1.8,1.4,1.6,1.6,1.6,0.0,0.2,1.8,1.2,2.0,1.4,3.0,,0.0,0.5,1.4,1.8,2.3,3.0,1.5,1.6,11.5
11-17,2.4,1.4,2.0,1.4,1.8,1.6,2.2,0.0,0.9,1.8,1.2,2.1,1.4,3.0,,0.0,1.0,1.4,2.0,2.4,3.0,1.6,1.6,11.5
11-18,2.4,1.4,2.0,1.6,1.8,1.8,2.2,0.4,1.6,2.0,1.2,2.0,1.4,3.0,,0.4,1.2,1.5,2.0,2.4,3.0,1.6,1.8,11.5
11-19,2.4,1.3,2.4,1.5,1.8,1.8,2.2,0.4,1.6,2.0,1.2,2.0,1.5,3.0,,0.4,1.2,1.5,2.1,2.4,3.0,1.7,1.8,11.5
11-20,2.4,1.3,2.4,1.5,1.9,1.8,2.4,0.4,1.6,2.0,1.2,2.0,1.5,3.0,,0.4,1.2,1.5,2.1,2.4,3.0,1.8,1.8,11.5
11-21,2.4,2.0,2.4,1.5,2.0,1.8,2.4,0.4,1.6,2.0,1.6,2.0,1.6,3.0,,0.4,1.5,1.6,2.1,2.4,3.0,1.8,2.0,11.5
11-22,2.4,2.1,2.6,1.5,2.2,1.8,2.4,0.9,1.6,2.1,1.6,2.0,1.7,3.0,,0.9,1.5,1.7,2.2,2.5,3.0,1.9,2.0,11.5
11-23,2.7,2.2,2.6,1.5,2.4,2.1,2.4,0.9,1.6,2.2,1.6,2.0,1.7,3.0,,0.9,1.5,1.7,2.4,2.6,3.0,1.8,2.2,11.5
11-24,2.7,2.6,2.6,1.5,2.4,2.1,2.4,1.2,1.6,2.2,1.6,2.0,1.7,3.2,,1.2,1.5,1.7,2.4,2.7,3.2,1.9,2.2,11.5
11-25,2.7,2.6,2.6,1.5,2.4,2.2,2.4,1.2,1.6,2.4,1.6,2.0,1.8,3.2,,1.2,1.5,1.7,2.5,2.6,3.2,1.9,2.2,11.5
11-26,2.7,2.6,2.6,1.5,2.4,2.2,2.6,1.3,1.6,2.4,2.4,2.0,1.8,3.2,,1.3,1.5,1.9,2.6,2.6,3.2,1.9,2.4,11.5
11-27,2.7,2.6,2.6,1.5,2.4,2.2,2.6,1.4,1.5,2.5,2.4,2.0,1.8,3.2,,1.4,1.5,2.0,2.6,2.6,3.2,2.0,2.4,11.5
11-28,2.7,2.6,2.6,1.5,2.4,2.2,3.0,1.8,1.6,2.6,2.9,2.0,1.8,3.2,,1.5,1.6,2.0,2.6,2.9,3.2,2.2,2.5,11.5
11-29,2.7,2.8,2.6,1.5,2.4,2.2,3.0,2.3,1.6,2.6,4.6,2.0,1.8,3.5,,1.5,1.7,2.2,2.7,3.4,4.6,2.4,2.5,11.5
11-30,2.7,2.8,2.6,1.5,2.4,2.2,3.0,2.3,1.6,3.0,5.7,2.0,1.8,3.5,,1.5,1.7,2.2,2.8,3.4,5.7,2.4,2.5,11.5
12-01,2.7,2.9,3.0,1.6,2.4,2.2,3.2,2.3,1.6,3.2,5.7,2.1,1.8,3.6,,1.6,1.7,2.2,3.1,3.4,5.7,2.4,2.5,11.5
12-02,2.7,2.9,3.4,1.6,2.4,2.2,3.2,2.3,1.6,3.2,5.8,2.2,1.8,3.8,,1.6,1.7,2.2,3.2,3.6,5.8,2.4,2.6,11.5
12-03,2.7,3.0,3.8,1.8,2.5,2.2,3.2,2.3,1.6,3.2,5.8,2.2,1.8,3.8,,1.6,1.8,2.2,3.2,3.8,5.8,2.4,2.6,11.5
12-04,2.7,3.0,3.8,1.8,3.2,2.2,3.2,2.4,1.8,3.2,5.8,2.2,1.8,4.0,,1.8,1.8,2.2,3.2,3.9,5.8,2.6,2.8,11.5
12-05,2.7,3.0,3.8,1.8,3.2,2.2,3.2,2.6,1.8,3.2,5.8,2.2,1.8,4.0,,1.8,1.8,2.2,3.2,3.9,5.8,2.6,2.8,11.5
12-06,2.8,3.0,3.8,1.8,3.2,2.2,3.2,2.6,1.8,3.3,5.9,2.2,1.8,4.0,,1.8,1.8,2.2,3.2,4.0,5.9,2.6,2.9,11.5
12-07,2.8,3.0,4.0,1.8,3.2,2.2,3.2,2.6,1.8,3.3,5.9,2.2,1.8,4.0,,1.8,1.8,2.2,3.2,4.0,5.9,2.6,2.9,11.5
12-08,3.0,3.0,4.0,1.8,3.4,2.2,3.4,2.6,1.8,3.3,6.0,2.2,1.9,4.2,,1.8,1.8,2.2,3.4,4.1,6.0,2.8,3.0,11.5
12-09,3.0,3.0,4.0,2.0,3.4,2.0,3.4,3.0,1.8,3.3,6.1,2.2,1.9,4.2,,1.8,1.9,2.2,3.4,4.1,6.1,2.8,3.0,11.5
12-10,3.0,3.0,4.0,2.0,3.4,2.0,3.4,3.0,1.8,3.3,6.1,2.4,2.2,4.2,,1.8,2.0,2.3,3.4,4.1,6.1,2.8,3.0,11.5
12-11,3.0,3.2,4.0,2.3,3.4,2.0,3.5,3.4,1.8,3.3,6.1,2.4,2.2,4.2,,1.8,2.1,2.4,3.4,4.2,6.1,2.8,3.3,11.5
12-12,3.0,3.2,4.0,2.3,3.4,2.2,3.5,3.4,1.8,3.3,6.1,2.4,2.3,4.6,,1.8,2.2,2.4,3.4,4.5,6.1,2.9,3.3,11.5
12-13,3.1,3.2,4.2,2.3,3.4,2.2,3.4,3.4,1.8,3.4,6.3,2.6,2.3,5.1,,1.8,2.3,2.6,3.4,4.8,6.3,2.9,3.3,11.5
12-14,3.5,3.2,4.2,2.5,3.4,3.0,3.6,3.4,2.2,3.4,6.5,2.8,2.4,5.4,,2.2,2.4,3.0,3.5,5.0,6.5,3.0,3.4,11.5
12-15,3.5,3.2,4.2,2.5,3.4,3.0,4.0,3.4,2.2,3.5,6.7,2.8,3.0,5.4,,2.2,2.6,3.0,3.5,5.0,6.7,3.1,3.4,11.5
12-16,3.5,3.3,4.2,2.7,3.4,3.1,4.2,3.5,2.2,3.5,6.7,2.9,3.2,5.6,,2.2,2.8,3.1,3.6,5.2,6.7,3.1,3.5,11.5
12-17,3.5,3.4,4.2,2.7,3.4,3.0,4.3,3.8,2.2,3.5,6.7,2.9,3.2,5.6,,2.2,2.8,3.1,3.8,5.2,6.7,3.1,3.5,11.5
12-18,3.5,3.4,4.2,3.0,3.4,3.0,4.3,3.8,2.2,3.5,6.7,3.0,3.2,5.6,,2.2,3.0,3.2,3.8,5.2,6.7,3.2,3.5,11.5
12-19,3.5,3.4,4.2,3.3,3.4,3.0,4.4,3.8,2.2,3.6,6.7,3.0,3.3,5.6,,2.2,3.0,3.3,3.8,5.2,6.7,3.2,3.5,11.5
12-20,3.5,3.9,4.2,3.3,3.6,3.0,4.4,4.0,2.2,3.6,6.7,3.1,3.3,5.6,,2.2,3.1,3.3,4.0,5.3,6.7,3.4,3.6,11.5
12-21,3.5,4.7,4.2,3.3,3.6,3.0,4.4,4.0,2.5,3.6,6.7,3.2,3.3,5.6,,2.5,3.1,3.3,4.2,5.3,6.7,3.4,3.6,11.5
12-22,3.5,5.2,4.8,3.3,4.1,3.2,4.6,4.0,2.5,3.6,6.8,3.2,3.3,6.0,,2.5,3.2,3.3,4.6,5.7,6.8,3.5,3.8,11.5
12-23,3.6,5.6,5.3,3.3,4.2,3.4,4.8,4.0,2.8,3.6,6.8,3.3,3.3,6.0,,2.8,3.3,3.4,4.8,5.9,6.8,3.6,3.8,11.5
12-24,3.6,5.6,5.3,3.3,4.2,3.4,4.8,4.0,2.8,3.6,6.8,3.3,3.8,6.0,,2.8,3.3,3.6,4.8,5.9,6.8,3.6,3.8,11.5
12-25,3.6,5.6,5.3,3.6,4.2,3.4,4.8,5.2,3.0,3.8,7.2,3.4,4.2,6.0,,3.0,3.4,3.6,5.3,5.9,7.2,3.8,4.2,11.5
12-26,3.6,5.6,5.3,3.6,4.2,3.8,4.8,5.2,3.0,4.0,7.4,3.4,4.4,6.0,,3.0,3.5,3.8,5.3,5.9,7.4,4.0,4.3,11.5
12-27,3.6,5.6,5.3,3.7,4.2,3.8,4.8,5.2,3.0,4.0,7.4,3.4,4.6,6.1,,3.0,3.5,3.8,5.3,5.9,7.4,4.0,4.4,11.5
12-28,3.6,5.6,5.3,3.8,4.2,3.9,4.7,5.2,3.0,4.0,7.4,3.4,4.9,6.1,,3.0,3.5,3.9,5.3,5.9,7.4,4.0,4.4,11.5
12-29,3.6,5.6,5.4,3.8,4.2,3.9,4.7,5.3,3.0,4.0,7.4,3.6,4.9,6.1,,3.0,3.6,3.9,5.3,5.9,7.4,4.0,4.5,11.5
12-30,3.6,5.6,5.4,3.8,4.2,3.9,4.7,5.3,3.0,4.1,7.4,3.6,5.0,6.1,,3.0,3.6,3.9,5.3,5.9,7.4,4.0,4.5,11.5
12-31,3.8,5.8,5.4,3.8,4.2,3.9,4.6,5.3,3.0,4.1,7.4,3.8,5.1,6.2,,3.0,3.8,3.9,5.3,6.1,7.4,4.1,4.4,11.5
01-01,3.9,5.8,5.4,3.8,4.4,3.9,4.6,5.3,3.0,4.1,7.6,3.8,5.1,6.6,,3.0,3.8,3.9,5.3,6.3,7.6,4.0,4.5,11.5
01-02,3.9,5.8,5.4,3.8,4.4,4.2,4.7,5.5,3.0,4.1,7.9,3.8,5.1,7.0,,3.0,3.8,4.1,5.4,6.7,7.9,4.1,4.5,11.5
01-03,3.9,5.8,5.4,3.8,4.4,4.2,4.9,5.8,3.0,4.3,8.0,3.8,5.1,7.2,,3.0,3.8,4.1,5.4,6.8,8.0,4.2,4.6,11.5
01-04,3.9,5.8,5.2,3.9,4.4,4.2,5.0,5.8,3.0,4.3,8.0,3.8,5.1,7.2,,3.0,3.8,4.1,5.3,6.8,8.0,4.3,4.6,11.5
01-05,3.9,5.8,5.2,3.9,4.5,4.2,4.8,6.2,3.0,4.4,8.0,3.9,5.1,7.2,,3.0,3.9,4.1,5.3,6.9,8.0,4.2,4.7,11.5
01-06,3.9,5.8,5.2,4.0,4.5,4.2,4.8,6.2,3.0,4.4,8.0,3.9,5.4,7.3,,3.0,3.9,4.1,5.4,7.0,8.0,4.3,4.7,11.5
01-07,3.9,5.8,5.2,4.0,4.5,4.1,4.8,6.2,3.2,4.6,8.0,3.9,5.4,7.3,,3.2,3.9,4.1,5.4,7.0,8.0,4.3,4.7,11.5
01-08,3.9,5.8,5.4,4.0,4.6,4.2,4.9,6.4,3.2,4.6,8.0,3.9,5.4,7.3,,3.2,3.9,4.1,5.5,7.0,8.0,4.4,4.8,11.5
01-09,3.9,5.8,5.4,4.0,4.6,4.2,5.1,6.4,3.2,4.8,8.0,3.9,5.4,7.3,,3.2,3.9,4.1,5.5,7.0,8.0,4.4,5.0,11.5
01-10,3.9,5.9,5.4,4.0,4.7,4.2,5.0,6.8,3.3,4.8,8.0,3.9,5.4,7.4,,3.3,3.9,4.1,5.5,7.2,8.0,4.4,4.9,11.5
01-11,3.9,5.9,5.4,4.4,4.8,4.2,5.0,6.8,3.4,4.9,8.0,3.9,5.4,7.8,,3.4,3.9,4.3,5.5,7.5,8.0,4.4,5.0,11.5
01-12,3.9,5.9,5.4,4.4,4.9,4.3,5.0,6.9,3.4,4.9,8.0,3.9,5.4,7.8,,3.4,3.9,4.3,5.5,7.5,8.0,4.4,5.0,11.5
01-13,3.9,5.9,5.4,4.4,5.0,4.3,5.1,6.9,3.4,4.9,8.2,4.0,5.4,7.8,,3.4,3.9,4.3,5.5,7.5,8.2,4.5,5.0,11.5
01-14,3.9,5.9,5.4,4.4,5.0,4.3,5.1,6.9,3.4,4.9,8.3,4.0,5.4,7.9,,3.4,3.9,4.3,5.5,7.6,8.3,4.5,5.1,11.5
01-15,3.9,5.9,5.4,4.4,5.0,4.3,5.0,6.9,3.4,4.9,8.3,4.0,5.4,8.0,,3.4,3.9,4.4,5.5,7.6,8.3,4.4,5.0,11.5
01-16,3.9,5.9,5.4,4.5,5.0,4.3,5.2,6.9,3.4,4.9,8.4,4.1,5.4,8.0,,3.4,4.0,4.5,5.5,7.7,8.4,4.6,5.1,11.5
01-17,3.9,6.1,5.4,4.5,5.0,4.4,5.4,6.9,3.4,4.9,8.4,4.1,5.4,8.2,,3.4,4.0,4.5,5.5,7.8,8.4,4.6,5.2,11.5
01-18,3.9,6.1,5.5,4.5,5.0,4.4,5.4,6.9,3.4,5.2,8.6,4.1,5.4,8.4,,3.4,4.0,4.5,5.6,8.0,8.6,4.7,5.3,11.5
01-19,4.0,6.1,5.7,4.6,5.0,4.4,5.6,6.9,3.4,5.2,8.6,4.1,5.4,8.4,,3.4,4.0,4.5,5.7,8.0,8.6,4.8,5.3,11.5
01-20,4.0,6.4,5.8,4.6,5.0,4.4,5.6,7.1,3.6,5.3,8.6,4.1,5.4,8.4,,3.6,4.0,4.5,5.8,8.0,8.6,4.9,5.3,11.5
01-21,4.1,6.4,5.8,4.6,5.0,4.4,5.6,7.2,4.4,5.3,8.8,4.1,5.4,8.4,,4.1,4.2,4.5,5.9,8.1,8.8,4.9,5.3,11.5
01-22,4.4,6.4,5.9,4.6,5.0,4.4,5.8,7.2,4.4,6.0,8.9,4.1,5.4,8.4,,4.1,4.4,4.5,6.1,8.1,8.9,5.0,5.6,11.5
01-23,4.8,6.4,5.9,4.6,5.0,4.4,5.8,7.3,4.5,6.1,8.9,4.2,5.4,8.4,,4.2,4.4,4.7,6.1,8.1,8.9,5.0,5.6,11.5
01-24,4.8,6.4,6.0,4.6,5.0,4.4,5.8,7.6,4.5,6.3,8.9,4.4,5.4,8.6,,4.4,4.4,4.7,6.3,8.3,8.9,5.0,5.6,11.5
01-25,4.8,6.4,6.0,4.6,5.0,4.4,6.2,7.6,4.6,6.3,9.1,4.5,5.4,8.8,,4.4,4.5,4.7,6.3,8.5,9.1,5.0,5.7,11.5
01-26,4.8,6.6,6.0,4.6,5.0,4.4,6.2,7.7,4.6,6.4,9.2,4.6,5.6,9.0,,4.4,4.6,4.7,6.4,8.6,9.2,5.2,5.8,11.5
01-27,4.9,6.6,6.0,4.7,5.0,4.4,6.2,7.8,4.6,6.4,9.2,4.6,5.6,9.0,,4.4,4.6,4.9,6.4,8.7,9.2,5.2,5.8,11.5
01-28,5.0,6.6,6.0,5.0,5.0,4.5,6.2,7.8,4.6,6.4,9.2,4.6,5.8,9.0,,4.5,4.6,5.0,6.4,8.7,9.2,5.2,5.9,11.5
01-29,5.0,6.6,6.0,5.0,5.1,4.4,6.4,8.0,4.6,6.4,9.2,4.8,5.8,9.0,,4.4,4.7,5.0,6.4,8.7,9.2,5.2,5.9,11.5
01-30,5.0,6.6,6.0,5.0,5.4,4.4,6.4,8.0,4.7,6.4,9.2,4.8,5.8,9.2,,4.4,4.7,5.0,6.4,8.8,9.2,5.2,5.9,11.5
01-31,5.0,6.8,6.0,5.0,5.4,4.6,6.6,8.0,4.8,6.4,9.4,4.8,5.8,9.2,,4.6,4.8,5.0,6.6,8.8,9.4,5.4,5.9,11.5
02-01,5.0,6.9,6.0,5.0,5.4,4.6,6.8,8.0,4.8,6.4,9.5,4.8,5.8,9.2,,4.6,4.8,5.0,6.8,8.8,9.5,5.4,5.9,11.5
02-02,5.0,6.9,6.0,5.0,5.4,4.6,7.4,8.0,4.8,6.5,9.5,4.9,5.8,9.2,,4.6,4.8,5.0,7.0,8.8,9.5,5.4,5.9,11.5
02-03,5.0,6.9,6.6,5.0,5.4,4.6,7.4,8.0,4.8,6.6,9.6,4.9,5.8,9.2,,4.6,4.8,5.0,7.0,8.8,9.6,5.6,6.2,11.5
02-04,5.0,7.0,6.6,5.0,5.4,4.6,7.6,8.0,4.8,6.9,10.0,5.0,5.8,9.2,,4.6,4.8,5.0,7.1,8.8,10.0,5.6,6.2,11.5
02-05,5.0,7.1,6.6,5.0,5.4,4.6,7.8,8.0,4.8,7.4,10.0,5.0,5.8,9.2,,4.6,4.8,5.0,7.4,8.8,10.0,5.7,6.2,11.5
02-06,5.0,7.4,6.6,5.0,5.4,4.6,7.8,8.0,4.8,7.9,10.2,5.0,5.8,9.2,,4.6,4.8,5.0,7.9,8.8,10.2,5.7,6.2,11.5
02-07,5.1,7.4,6.6,5.0,5.5,4.6,7.9,8.0,4.8,7.9,10.4,5.1,5.8,9.3,,4.6,4.8,5.1,7.9,8.9,10.4,5.7,6.2,11.5
02-08,5.1,8.0,6.6,5.0,5.6,4.6,7.9,8.1,4.8,7.9,10.4,5.1,5.8,9.3,,4.6,4.8,5.1,7.9,8.9,10.4,5.7,6.2,11.5
02-09,5.1,8.0,6.9,5.3,5.6,4.6,7.9,8.2,4.8,7.9,10.4,5.1,5.8,9.3,,4.6,4.8,5.3,7.9,9.0,10.4,5.8,6.4,11.5
02-10,5.1,8.0,6.9,5.5,5.6,4.6,7.9,8.2,4.8,7.9,10.4,5.1,5.8,9.3,,4.6,4.8,5.5,7.9,9.0,10.4,5.8,6.4,11.5
02-11,5.1,8.0,7.0,5.6,5.6,4.6,7.9,8.2,4.8,8.2,10.4,5.1,5.8,9.3,,4.6,4.9,5.6,8.0,9.0,10.4,5.9,6.4,11.5
02-12,5.2,8.0,7.0,5.6,5.6,4.6,7.9,8.6,4.8,8.2,10.6,5.1,5.8,9.3,,4.6,4.9,5.6,8.0,9.1,10.6,6.0,6.4,11.5
02-13,5.2,8.0,7.4,5.7,5.8,4.6,7.9,8.6,4.8,8.4,10.6,5.1,5.8,9.3,,4.6,4.9,5.7,8.0,9.1,10.6,6.2,6.6,11.5
02-14,5.4,8.0,7.5,5.7,5.9,4.6,7.9,8.6,4.8,8.4,10.6,5.2,5.8,9.4,,4.6,5.0,5.7,8.0,9.1,10.6,6.4,6.7,11.5
02-15,5.4,8.0,7.5,5.8,6.0,4.6,8.0,8.6,4.8,8.6,10.6,5.2,5.8,9.4,,4.6,5.0,5.7,8.1,9.2,10.6,6.5,6.7,11.5
02-16,5.9,8.0,7.7,5.8,6.0,4.6,8.0,8.6,4.9,8.6,10.7,5.4,5.8,9.5,,4.6,5.1,5.8,8.1,9.2,10.7,6.6,6.8,11.5
02-17,5.9,8.4,7.7,5.8,6.0,4.7,8.0,8.6,4.9,8.6,10.8,5.4,6.5,9.5,,4.7,5.1,5.9,8.4,9.2,10.8,6.6,7.1,11.5
02-18,5.9,8.4,7.7,5.8,6.0,4.8,8.0,8.6,4.9,8.6,10.8,5.5,6.5,9.5,,4.8,5.1,5.9,8.4,9.2,10.8,6.7,7.1,11.5
02-19,5.9,8.4,7.8,5.8,6.0,4.8,8.7,9.0,4.9,8.6,10.8,5.6,6.5,9.5,,4.8,5.1,5.9,8.7,9.3,10.8,6.8,7.2,11.5
