date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR),Median Peak SWE
11-16,0.8,0.0,0.0,0.0,0.2,0.3,0.5,0.8,0.5,0.3,0.6,0.9,0.0,0.0,0.0,0.0,0.7,0.0,1.3,,0.0,0.0,0.0,0.5,0.8,1.3,0.2,0.3,7.9
11-17,0.8,0.0,0.0,0.0,0.2,0.3,0.4,0.7,0.6,0.3,0.6,1.6,0.1,0.0,0.0,0.0,0.6,0.0,1.2,,0.0,0.0,0.0,0.6,0.9,1.6,0.2,0.3,7.9
11-18,0.8,0.0,0.0,0.0,0.2,0.3,0.3,0.7,0.5,0.3,0.5,1.6,0.4,0.1,0.0,0.0,0.5,0.0,1.2,,0.0,0.0,0.0,0.5,0.9,1.6,0.2,0.3,7.9
11-19,0.8,0.0,0.0,0.0,0.2,0.3,0.3,0.6,0.4,0.3,0.4,1.6,0.4,0.1,0.0,0.0,0.2,0.0,1.2,,0.0,0.0,0.1,0.4,0.9,1.6,0.2,0.3,7.9
11-20,0.8,0.0,0.0,0.0,0.2,0.3,0.3,0.6,0.4,0.3,0.4,1.5,0.3,0.0,0.0,0.2,0.2,0.0,1.2,,0.0,0.0,0.1,0.3,0.9,1.5,0.2,0.3,7.9
11-21,0.7,0.0,0.0,0.0,0.2,0.2,0.8,0.7,0.3,0.3,0.4,1.4,0.2,0.0,0.0,0.8,0.2,0.0,1.2,,0.0,0.0,0.1,0.6,0.9,1.4,0.2,0.2,7.9
11-22,1.3,0.0,0.0,0.0,0.2,0.2,1.0,0.8,0.3,0.9,0.4,1.4,0.7,0.0,0.0,0.9,0.2,0.0,1.2,,0.0,0.0,0.1,0.9,1.2,1.4,0.4,0.3,7.9
11-23,1.5,0.0,0.0,0.0,0.2,0.2,1.0,0.8,0.3,1.1,0.4,1.4,0.5,0.0,0.1,0.9,0.2,0.0,1.2,,0.0,0.0,0.1,0.9,1.2,1.5,0.4,0.3,7.9
11-24,1.5,0.0,0.0,0.0,0.2,0.2,1.4,0.8,0.3,1.7,0.4,1.4,0.5,0.0,0.1,0.9,0.2,0.0,1.2,,0.0,0.0,0.1,0.9,1.4,1.7,0.4,0.3,7.9
11-25,1.5,0.0,0.0,0.0,0.2,0.2,1.4,0.7,0.3,1.7,0.4,1.4,0.5,0.0,0.1,0.9,0.2,0.0,1.2,,0.0,0.0,0.1,0.8,1.5,1.7,0.3,0.3,7.9
11-26,1.6,0.0,0.0,0.0,0.2,0.2,1.4,0.7,0.3,1.6,0.4,1.4,0.5,0.0,0.1,1.0,0.2,0.0,1.2,,0.0,0.0,0.1,0.9,1.4,1.6,0.4,0.3,7.9
11-27,1.6,0.1,0.0,0.0,0.3,0.2,1.4,0.6,0.3,1.6,0.4,1.5,0.6,0.0,0.0,1.0,0.2,0.0,1.2,,0.0,0.0,0.1,0.9,1.5,1.6,0.4,0.3,7.9
11-28,2.1,0.1,0.0,0.0,0.6,0.2,1.4,0.7,0.3,1.5,0.4,1.6,0.8,0.1,0.0,1.6,0.2,0.0,1.2,,0.0,0.0,0.1,1.1,1.6,2.1,0.5,0.4,7.9
11-29,2.1,0.1,0.1,0.0,0.6,0.3,2.2,0.6,0.3,1.5,0.4,1.6,1.0,0.0,0.0,3.0,0.2,0.0,1.2,,0.0,0.0,0.1,1.1,2.1,3.0,0.4,0.4,7.9
11-30,2.1,0.1,0.1,0.0,0.6,0.3,2.2,0.6,0.3,1.5,0.4,1.6,1.0,0.0,0.5,4.2,0.2,0.0,1.2,,0.0,0.0,0.2,1.1,2.1,4.2,0.5,0.5,7.9
12-01,2.1,0.1,0.1,0.9,0.5,0.3,2.2,0.7,0.3,1.5,0.4,1.6,1.0,0.0,0.7,4.2,0.2,0.0,1.2,,0.0,0.1,0.3,1.1,2.1,4.2,0.6,0.7,7.9
12-02,2.1,0.2,0.1,1.6,0.5,0.3,2.2,1.0,0.3,1.5,0.4,1.7,1.0,0.0,1.1,4.2,0.2,0.0,1.2,,0.0,0.1,0.3,1.4,2.1,4.2,0.8,1.0,7.9
12-03,2.1,0.6,0.1,1.6,0.5,0.3,2.2,1.2,0.3,1.6,0.5,1.7,1.0,0.0,1.1,4.2,0.2,0.0,1.3,,0.0,0.1,0.4,1.5,2.1,4.2,0.8,1.0,7.9
12-04,2.1,0.6,0.1,1.7,0.5,0.3,2.2,1.3,0.2,2.4,0.4,1.6,1.0,0.0,1.1,4.2,0.2,0.0,1.3,,0.0,0.1,0.3,1.5,2.2,4.2,0.8,1.0,7.9
12-05,2.1,0.6,0.1,1.8,0.5,0.3,2.2,1.5,0.2,2.5,0.4,1.6,0.9,0.0,1.1,4.3,0.2,0.0,1.3,,0.0,0.1,0.3,1.6,2.2,4.3,0.8,0.9,7.9
12-06,2.2,0.6,0.1,1.6,0.5,0.3,2.2,1.6,0.2,2.5,0.4,1.6,0.9,0.0,1.1,4.5,0.2,0.0,1.2,,0.0,0.1,0.3,1.6,2.3,4.5,0.8,0.9,7.9
12-07,2.2,0.6,0.1,1.6,0.5,0.3,2.4,1.6,0.2,2.5,0.4,1.6,0.9,0.0,1.2,4.5,0.2,0.0,1.4,,0.0,0.1,0.3,1.6,2.5,4.5,0.8,0.9,7.9
12-08,2.7,0.6,0.1,2.2,0.5,1.6,2.4,1.6,0.2,3.0,0.4,1.6,0.9,0.0,1.2,4.4,0.2,0.0,1.7,,0.0,0.1,0.4,1.7,2.8,4.4,1.0,1.2,7.9
12-09,2.8,0.7,0.1,2.4,0.5,1.6,2.4,1.6,0.2,3.0,0.4,1.6,0.9,0.0,1.1,4.6,0.2,0.0,1.7,,0.0,0.1,0.4,1.7,2.9,4.6,1.0,1.1,7.9
12-10,2.8,0.7,0.1,2.4,0.5,1.6,2.4,1.6,0.2,3.0,0.4,1.6,0.9,0.0,1.1,4.6,0.2,1.3,1.7,,0.0,0.2,0.6,1.7,2.9,4.6,1.0,1.3,7.9
12-11,2.8,0.7,0.8,2.4,0.5,1.6,2.4,1.6,0.2,3.0,0.4,1.5,0.8,0.0,1.1,4.6,0.2,1.4,1.7,,0.0,0.2,0.7,1.7,2.8,4.6,1.0,1.4,7.9
12-12,2.7,0.7,0.8,2.4,0.5,1.8,2.4,1.6,0.2,3.0,0.4,2.0,0.8,0.0,1.1,4.6,0.2,1.4,2.4,,0.0,0.2,0.7,2.2,2.8,4.6,1.0,1.4,7.9
12-13,2.7,0.7,0.8,2.4,0.5,2.6,2.4,2.1,0.2,3.0,1.1,2.0,0.6,0.0,1.1,4.6,0.2,1.4,2.5,,0.0,0.2,0.8,2.4,2.8,4.6,1.3,1.4,7.9
12-14,2.7,0.7,0.9,2.4,0.9,4.0,2.4,2.2,0.7,3.2,1.8,2.3,0.6,0.0,1.1,4.6,0.3,1.4,2.6,,0.0,0.5,0.9,2.4,3.3,4.6,1.6,1.8,7.9
12-15,2.6,0.7,0.9,2.4,0.9,4.0,2.4,2.2,1.6,3.2,1.8,2.7,0.6,0.0,1.1,4.5,0.3,3.0,2.6,,0.0,0.5,1.0,2.6,3.3,4.5,1.6,2.2,7.9
12-16,2.6,0.7,0.8,2.4,1.8,4.0,2.4,2.2,2.1,3.2,1.8,2.8,0.6,0.0,1.1,4.4,0.3,3.0,2.6,,0.0,0.5,1.4,2.6,3.3,4.4,1.8,2.2,7.9
12-17,2.5,0.7,0.8,2.5,2.1,4.0,2.4,2.2,2.1,3.2,1.8,2.8,0.8,0.0,1.1,4.4,0.4,3.0,2.6,,0.0,0.6,1.4,2.6,3.3,4.4,1.8,2.2,7.9
12-18,2.5,0.7,1.1,2.5,2.9,4.0,2.6,2.2,2.2,3.2,1.9,2.8,0.8,0.0,1.1,4.4,0.4,3.0,2.6,,0.0,0.6,1.4,2.7,3.3,4.4,2.0,2.5,7.9
12-19,2.5,0.7,1.2,2.6,3.2,4.0,2.8,2.2,3.6,3.2,1.9,2.8,0.8,0.0,1.1,4.4,0.4,3.0,2.6,,0.0,0.6,1.5,2.9,3.7,4.4,2.1,2.6,7.9
12-20,2.5,0.8,1.4,2.7,3.2,4.0,2.4,2.2,3.6,3.2,1.9,2.8,0.9,0.0,1.1,4.4,0.4,3.0,2.6,,0.0,0.7,1.6,2.9,3.7,4.4,2.1,2.5,7.9
12-21,2.5,0.6,1.4,3.1,3.3,4.0,3.1,2.2,3.6,3.2,1.9,2.9,0.9,0.4,1.0,4.5,0.4,3.0,2.6,,0.4,0.6,1.6,3.1,3.7,4.5,2.2,2.6,7.9
12-22,2.5,0.6,1.4,3.1,3.3,4.0,3.8,2.2,3.6,3.2,1.9,2.9,1.0,0.6,1.0,4.4,0.3,3.0,2.6,,0.3,0.6,1.6,3.1,3.8,4.4,2.2,2.6,7.9
12-23,2.5,0.6,1.4,3.2,4.1,4.2,4.9,2.2,3.6,3.2,1.8,3.1,1.6,0.6,1.0,4.5,0.3,3.0,2.6,,0.3,0.6,1.7,3.2,4.3,4.9,2.4,2.6,7.9
12-24,2.6,0.6,1.5,3.2,4.1,4.2,5.0,2.2,3.6,3.2,1.7,3.1,1.8,0.6,1.0,5.0,0.2,3.8,2.6,,0.2,0.6,1.7,3.5,4.4,5.0,2.4,2.6,7.9
12-25,2.6,0.6,1.5,3.3,4.3,4.2,5.0,2.2,4.1,3.2,1.7,3.2,4.2,0.6,1.0,5.7,0.2,4.2,2.6,,0.2,0.6,1.9,4.1,4.5,5.7,2.7,3.2,7.9
12-26,2.6,0.6,1.5,3.3,6.3,4.2,5.0,2.2,4.1,3.2,1.9,3.6,4.3,0.5,1.5,6.0,0.2,4.2,2.6,,0.2,0.6,2.0,4.1,5.2,6.3,2.7,3.2,7.9
