date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,46.7,73.2,53.3,39.2,73.9,57.9,74.5,27.6,23.2,75.8,27.2,,23.2,27.2,39.2,73.2,74.5,75.8,53.3
11-01,46.9,73.4,53.5,39.1,78.4,57.8,72.4,29.8,23.7,75.8,27.6,,23.7,27.6,39.1,72.4,75.8,78.4,53.5
11-02,46.5,74.2,52.8,39.6,78.2,57.8,71.2,29.8,23.5,76.1,29.0,,23.5,29.0,39.6,71.2,76.1,78.2,52.8
11-03,46.8,74.1,52.4,46.3,79.7,57.9,71.6,29.2,23.5,76.3,30.1,,23.5,29.2,46.3,71.6,76.3,79.7,52.4
11-04,46.4,73.4,52.2,47.2,78.9,57.6,71.9,29.6,23.7,76.0,31.1,,23.7,29.6,46.4,71.9,76.0,78.9,52.2
11-05,46.4,72.6,53.8,46.1,79.2,56.9,70.7,29.5,23.9,75.4,31.5,,23.9,29.5,46.1,70.7,75.4,79.2,53.8
11-06,46.7,71.9,56.3,45.9,79.4,62.6,70.3,29.6,23.9,75.3,32.0,,23.9,29.6,45.9,70.3,75.3,79.4,56.3
11-07,46.0,71.6,55.9,45.2,78.8,62.1,69.3,29.5,24.0,75.0,34.0,,24.0,29.5,45.2,69.3,75.0,78.8,55.9
11-08,46.5,71.4,56.6,45.5,78.3,61.6,68.1,29.5,23.9,75.1,36.7,,23.9,29.5,45.5,68.1,75.1,78.3,56.6
11-09,46.2,71.8,56.1,45.1,77.8,61.0,67.0,29.4,23.4,75.3,39.2,,23.4,29.4,45.1,67.0,75.3,77.8,56.1
11-10,46.2,71.9,55.6,44.7,77.3,60.6,62.7,29.6,23.7,74.4,41.3,,23.7,29.6,44.7,62.7,74.4,77.3,55.6
11-11,45.1,71.9,55.3,44.6,76.8,60.2,61.4,29.5,23.1,74.6,44.1,,23.1,29.5,44.6,61.4,74.6,76.8,55.3
11-12,45.0,71.7,55.2,44.2,76.4,59.9,54.4,29.2,23.0,74.0,46.9,,23.0,29.2,45.0,59.9,74.0,76.4,54.4
11-13,45.3,71.3,54.5,43.9,76.0,59.8,53.4,29.4,23.0,75.2,48.3,,23.0,29.4,45.3,59.8,75.2,76.0,53.4
11-14,45.3,71.0,53.6,43.8,75.5,59.5,52.9,29.5,22.9,75.0,49.0,,22.9,29.5,45.3,59.5,75.0,75.5,52.9
11-15,45.3,70.4,53.6,43.4,75.2,59.1,53.0,29.2,22.8,74.8,49.7,,22.8,29.2,45.3,59.1,74.8,75.2,53.0
11-16,44.9,70.1,53.5,43.2,74.9,58.9,52.7,29.2,23.0,75.1,50.0,,23.0,29.2,44.9,58.9,74.9,75.1,52.7
11-17,44.9,69.4,53.2,43.0,74.5,58.6,53.0,29.3,23.1,75.0,50.3,,23.1,29.3,44.9,58.6,74.5,75.0,53.0
11-18,47.5,69.3,53.1,43.3,74.2,58.5,52.5,29.2,22.9,74.4,50.6,,22.9,29.2,47.5,58.5,74.2,74.4,52.5
11-19,47.5,69.5,53.3,42.9,73.6,58.3,51.8,29.2,23.1,73.9,50.9,,23.1,29.2,47.5,58.3,73.6,73.9,51.8
11-20,47.0,69.0,52.8,43.0,74.6,59.1,50.7,29.3,23.1,73.0,50.9,,23.1,29.3,47.0,59.1,73.0,74.6,50.9
11-21,46.9,69.2,55.0,42.7,74.1,60.2,49.6,29.3,23.4,72.7,50.8,,23.4,29.3,46.9,60.2,72.7,74.1,50.8
11-22,47.1,69.0,55.4,42.6,74.1,60.7,49.0,29.4,23.2,72.4,50.8,,23.2,29.4,47.1,60.7,72.4,74.1,50.8
11-23,47.1,69.0,55.1,43.1,74.0,60.3,48.4,29.0,22.9,71.9,50.7,,22.9,29.0,47.1,60.3,71.9,74.0,50.7
11-24,47.6,69.2,54.9,42.6,73.8,60.0,48.4,29.0,23.1,71.3,50.6,,23.1,29.0,47.6,60.0,71.3,73.8,50.6
11-25,47.2,69.6,54.7,42.7,73.8,59.9,48.3,30.5,23.0,70.8,50.5,,23.0,30.5,47.2,59.9,70.8,73.8,50.5
