date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-07,21.8,60.0,59.2,67.6,30.4,12.3,34.2,7.5,10.2,67.9,63.5,,7.5,10.2,21.8,60.0,67.6,67.9,34.2
12-08,23.5,59.8,59.2,67.2,31.2,10.0,34.5,7.7,9.3,67.9,63.1,,7.7,9.3,23.5,59.8,67.2,67.9,34.5
12-09,24.0,60.2,59.1,67.3,30.6,9.8,34.3,7.7,9.5,67.8,63.5,,7.7,9.5,24.0,60.2,67.3,67.8,34.3
12-10,23.4,59.8,58.4,67.3,33.4,10.0,34.5,8.3,10.1,67.8,63.2,,8.3,10.0,23.4,59.8,67.3,67.8,34.5
12-11,19.5,59.3,58.0,67.0,33.6,9.9,34.2,9.2,9.7,67.6,63.6,,9.2,9.7,19.5,59.3,67.0,67.6,34.2
12-12,18.6,59.7,58.4,66.8,33.2,9.9,34.4,9.8,9.4,67.8,63.1,,9.4,9.8,18.6,59.7,66.8,67.8,34.4
12-13,18.2,59.3,58.5,67.2,34.4,9.9,34.9,9.9,8.4,67.7,63.2,,8.4,9.9,18.2,59.3,67.2,67.7,34.9
12-14,17.3,59.3,58.3,67.2,34.7,10.3,34.4,10.9,8.0,67.8,62.9,,8.0,10.3,17.3,59.3,67.2,67.8,34.7
12-15,17.0,59.0,58.6,67.3,34.5,11.1,34.2,10.8,8.2,67.8,63.5,,8.2,10.8,17.0,59.0,67.3,67.8,34.5
12-16,18.1,58.8,58.5,66.5,35.3,10.2,34.4,11.5,8.3,68.0,63.4,,8.3,10.2,18.1,58.8,66.5,68.0,35.3
12-17,18.2,58.9,58.5,67.1,35.6,10.1,34.4,11.6,8.1,68.0,63.7,,8.1,10.1,18.2,58.9,67.1,68.0,35.6
12-18,18.4,58.4,58.6,67.2,36.2,9.3,34.7,11.7,8.3,68.1,63.3,,8.3,9.3,18.4,58.6,67.2,68.1,36.2
12-19,18.6,58.5,58.6,67.0,37.4,8.7,34.5,11.7,8.9,68.0,63.3,,8.7,8.9,18.6,58.6,67.0,68.0,37.4
12-20,19.2,58.5,58.4,66.4,37.7,8.7,34.2,12.0,8.6,67.9,63.6,,8.6,8.7,19.2,58.5,66.4,67.9,37.7
12-21,18.8,58.5,58.4,66.7,37.9,8.6,34.1,12.0,8.4,67.8,63.7,,8.4,8.6,18.8,58.5,66.7,67.8,37.9
12-22,19.4,58.6,58.5,67.4,38.4,9.2,33.7,12.2,8.5,67.8,63.3,,8.5,9.2,19.4,58.6,67.4,67.8,38.4
12-23,18.9,58.3,58.5,67.3,38.2,9.0,33.9,12.1,8.3,67.9,63.1,,8.3,9.0,18.9,58.5,67.3,67.9,38.2
12-24,18.8,58.3,58.1,67.8,38.9,8.9,33.9,12.4,7.8,67.5,63.4,,7.8,8.9,18.8,58.3,67.5,67.8,38.9
12-25,19.5,58.4,58.4,67.8,39.3,9.0,34.2,12.0,7.4,67.6,63.8,,7.4,9.0,19.5,58.4,67.6,67.8,39.3
12-26,19.7,58.3,58.2,68.0,40.1,9.2,33.7,12.1,7.1,67.6,63.3,,7.1,9.2,19.7,58.3,67.6,68.0,40.1
12-27,20.2,57.9,58.3,68.0,40.1,9.3,33.7,12.4,6.6,67.6,63.7,,6.6,9.3,20.2,58.3,67.6,68.0,40.1
12-28,20.1,58.5,58.1,67.9,40.9,9.4,34.6,12.2,7.0,67.6,63.6,,7.0,9.4,20.1,58.5,67.6,67.9,40.9
12-29,19.9,57.7,57.9,67.7,41.4,9.4,34.3,12.7,7.1,67.8,63.6,,7.1,9.4,19.9,57.9,67.7,67.8,41.4
12-30,20.8,57.8,57.9,67.8,41.5,9.4,33.6,12.4,7.8,67.6,63.8,,7.8,9.4,20.8,57.9,67.6,67.8,41.5
12-31,21.2,57.6,58.0,67.8,41.8,9.3,33.5,12.4,7.7,67.7,63.8,,7.7,9.3,21.2,58.0,67.7,67.8,41.8
01-01,21.2,57.7,58.2,68.1,42.7,9.2,33.7,11.9,7.7,67.7,63.4,,7.7,9.2,21.2,58.2,67.7,68.1,42.7
01-02,21.3,58.0,57.9,67.7,42.9,8.4,33.5,12.3,7.3,67.8,63.2,,7.3,8.4,21.3,58.0,67.7,67.8,42.9
01-03,21.5,57.2,58.1,67.5,43.6,8.9,33.6,13.2,7.6,67.9,64.2,,7.6,8.9,21.5,58.1,67.5,67.9,43.6
01-04,21.5,57.3,57.8,67.6,44.1,8.4,34.0,12.6,8.2,68.0,63.9,,8.2,8.4,21.5,57.8,67.6,68.0,44.1
01-05,21.1,57.1,58.0,67.6,44.3,7.8,34.2,12.8,7.9,67.7,64.1,,7.8,7.9,21.1,58.0,67.6,67.7,44.3
01-06,22.0,57.2,57.9,67.6,44.9,8.1,34.4,12.7,7.8,67.9,63.9,,7.8,8.1,22.0,57.9,67.6,67.9,44.9
01-07,21.5,56.8,57.9,67.5,45.8,8.4,34.3,12.7,7.9,68.0,64.0,,7.9,8.4,21.5,57.9,67.5,68.0,45.8
01-08,21.6,56.2,58.1,68.5,45.6,8.0,34.6,12.7,8.1,67.9,64.3,,8.0,8.1,21.6,58.1,67.9,68.5,45.6
01-09,21.4,56.1,57.7,68.2,45.5,8.1,34.8,13.0,8.1,67.8,63.9,,8.1,8.1,21.4,57.7,67.8,68.2,45.5
01-10,21.2,55.7,58.3,68.2,45.7,8.1,35.3,13.3,7.4,67.8,64.3,,7.4,8.1,21.2,58.3,67.8,68.2,45.7
01-11,21.9,55.6,58.3,68.2,46.2,9.2,35.7,13.0,7.5,67.8,64.6,,7.5,9.2,21.9,58.3,67.8,68.2,46.2
01-12,21.7,55.9,58.4,68.2,46.8,9.6,35.6,12.6,7.9,67.8,64.6,,7.9,9.6,21.7,58.4,67.8,68.2,46.8
01-13,21.4,55.3,58.5,67.8,47.0,9.4,36.2,12.9,7.4,68.0,64.7,,7.4,9.4,21.4,58.5,67.8,68.0,47.0
01-14,21.2,55.5,58.7,68.1,47.5,9.6,36.9,13.3,7.4,68.1,64.6,,7.4,9.6,21.2,58.7,68.1,68.1,47.5
01-15,21.6,55.5,58.5,67.9,47.6,9.4,36.4,13.0,8.1,68.2,64.5,,8.1,9.4,21.6,58.5,67.9,68.2,47.6
01-16,21.3,55.1,58.7,67.9,48.0,9.6,36.5,13.2,7.9,68.2,65.0,,7.9,9.6,21.3,58.7,67.9,68.2,48.0
01-17,21.1,54.9,58.7,67.8,48.6,9.5,37.1,12.9,7.4,68.0,65.4,,7.4,9.5,21.1,58.7,67.8,68.0,48.6
01-18,21.1,54.8,58.8,67.7,48.6,9.3,37.4,13.3,7.7,68.0,65.1,,7.7,9.3,21.1,58.8,67.7,68.0,48.6
01-19,20.9,54.4,58.9,67.7,49.3,9.1,38.1,13.4,7.6,68.0,65.2,,7.6,9.1,20.9,58.9,67.7,68.0,49.3
01-20,20.5,54.9,58.8,67.3,49.5,8.3,39.1,13.4,7.5,68.2,65.0,,7.5,8.3,20.5,58.8,67.3,68.2,49.5
01-21,20.6,54.5,59.1,67.8,49.7,9.8,39.6,13.5,7.8,68.0,65.0,,7.8,9.8,20.6,59.1,67.8,68.0,49.7
01-22,20.4,54.3,58.9,67.5,50.3,9.4,39.9,13.1,7.7,68.0,65.4,,7.7,9.4,20.4,58.9,67.5,68.0,50.3
01-23,20.0,54.0,58.7,67.8,50.7,9.5,40.5,12.9,8.0,68.1,65.8,,8.0,9.5,20.0,58.7,67.8,68.1,50.7
01-24,20.1,53.7,58.5,67.6,50.7,9.7,41.5,13.1,7.9,68.2,65.7,,7.9,9.7,20.1,58.5,67.6,68.2,50.7
01-25,20.0,54.0,58.6,67.6,50.8,10.1,42.3,12.8,7.8,68.0,65.3,,7.8,10.1,20.0,58.6,67.6,68.0,50.8
01-26,19.7,53.7,58.5,67.3,51.3,9.8,42.9,13.2,7.5,67.7,65.6,,7.5,9.8,19.7,58.5,67.3,67.7,51.3
01-27,19.9,53.1,59.1,67.6,51.0,9.7,42.8,13.3,7.7,67.9,65.5,,7.7,9.7,19.9,59.1,67.6,67.9,51.0
01-28,19.9,53.3,59.0,67.3,51.1,9.7,43.7,13.2,8.2,67.5,66.0,,8.2,9.7,19.9,59.0,67.3,67.5,51.1
01-29,20.4,53.2,59.5,67.5,52.0,10.0,43.7,13.2,8.3,67.6,65.9,,8.3,10.0,20.4,59.5,67.5,67.6,52.0
01-30,20.6,52.8,59.7,67.3,51.9,9.5,43.9,13.4,8.7,67.4,66.1,,8.7,9.5,20.6,59.7,67.3,67.4,51.9
01-31,20.0,52.6,59.3,67.5,51.8,10.4,43.7,13.3,8.2,67.7,66.3,,8.2,10.4,20.0,59.3,67.5,67.7,51.8
02-01,20.2,52.5,59.7,67.5,52.0,10.4,44.3,13.5,9.2,67.5,66.4,,9.2,10.4,20.2,59.7,67.5,67.5,52.0
02-02,20.4,53.1,59.8,67.6,52.1,10.6,44.2,13.0,9.3,67.5,66.4,,9.3,10.6,20.4,59.8,67.5,67.6,52.1
02-03,20.8,52.8,59.9,67.8,52.2,10.7,44.2,13.5,9.1,67.5,65.9,,9.1,10.7,20.8,59.9,67.5,67.8,52.2
02-04,20.5,52.2,60.2,67.6,52.1,10.6,44.4,13.4,9.6,67.2,65.9,,9.6,10.6,20.5,60.2,67.2,67.6,52.1
