date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
02-15,36.3,14.9,8.8,29.7,22.0,34.8,32.3,13.7,19.7,15.6,12.2,26.6,21.7,,8.8,12.5,15.4,27.9,34.3,36.3,21.7
02-16,35.9,15.3,9.3,29.6,22.5,35.2,32.0,14.2,19.5,15.0,12.5,26.4,21.5,,9.3,12.8,15.2,27.7,34.6,35.9,21.5
02-17,36.4,14.5,9.1,29.5,22.6,35.3,32.0,14.1,19.8,15.2,12.3,26.5,21.4,,9.1,12.7,14.9,27.7,34.6,36.4,21.4
02-18,36.7,14.7,8.4,29.5,22.1,35.2,32.9,13.7,20.1,15.5,12.3,26.0,21.5,,8.4,12.6,15.2,27.4,34.7,36.7,21.5
02-19,36.2,15.4,8.9,29.6,22.7,35.3,32.3,13.6,19.9,15.6,12.6,26.4,21.2,,8.9,12.8,15.5,27.7,34.7,36.2,21.2
02-20,36.1,14.7,8.9,29.4,21.9,35.1,32.6,13.8,19.7,15.7,12.4,26.1,21.2,,8.9,12.7,15.3,27.4,34.6,36.1,21.2
02-21,36.1,14.5,9.0,29.9,22.4,35.5,32.5,14.3,19.7,15.5,12.3,25.7,21.3,,9.0,12.7,15.1,27.3,34.9,36.1,21.3
02-22,36.0,14.8,8.6,29.6,22.6,35.7,33.0,13.8,19.6,15.1,12.5,25.3,21.2,,8.6,12.8,15.0,27.1,35.2,36.0,21.2
02-23,35.9,14.9,8.3,29.6,22.1,36.0,33.0,13.6,19.7,14.8,12.3,25.6,21.3,,8.3,12.5,14.8,27.2,35.3,36.0,21.3
02-24,35.2,20.1,8.4,29.9,22.1,36.0,33.3,13.7,19.9,15.2,12.2,25.5,21.2,,8.4,12.5,18.0,27.2,34.8,36.0,21.2
