date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-17,46.7,52.3,48.0,40.5,57.5,32.6,65.7,53.2,37.1,42.6,20.8,55.2,21.9,,20.8,24.0,39.1,52.7,57.0,65.7,46.7
11-18,47.4,52.5,48.0,40.3,57.5,32.5,65.2,53.6,36.7,42.5,20.6,55.5,21.9,,20.6,24.0,38.9,53.0,57.1,65.2,47.4
11-19,46.6,52.9,47.8,40.0,57.1,32.3,64.6,53.9,35.4,42.3,20.9,55.7,21.9,,20.9,23.9,38.1,53.3,56.8,64.6,46.6
11-20,46.7,53.5,48.3,40.0,56.9,32.9,64.2,53.2,35.2,42.6,21.0,56.4,21.9,,21.0,24.1,38.0,53.3,56.8,64.2,46.7
11-21,46.9,53.4,48.4,39.6,56.5,33.2,63.8,53.6,35.2,42.6,21.0,56.2,21.6,,21.0,23.9,37.8,53.5,56.4,63.8,46.9
11-22,46.4,53.9,48.4,39.8,56.5,33.1,63.5,53.2,34.9,42.7,20.9,56.9,21.6,,20.9,23.9,37.9,53.5,56.8,63.5,46.4
11-23,46.5,54.4,48.6,39.7,56.7,33.6,62.9,54.2,35.1,42.0,20.9,57.1,21.6,,20.9,24.0,37.9,54.2,57.0,62.9,46.5
11-24,46.7,55.0,48.6,39.7,56.6,33.1,62.9,54.2,35.0,38.1,21.1,56.7,22.2,,21.1,24.4,36.9,54.5,56.7,62.9,46.7
11-25,46.6,55.2,48.4,39.5,56.4,33.6,62.3,55.0,34.4,34.3,20.6,57.1,21.7,,20.6,24.1,34.4,55.1,57.0,62.3,46.6
11-26,46.1,55.8,48.4,39.7,56.7,34.5,62.3,55.1,34.6,34.0,20.8,57.2,21.7,,20.8,24.2,34.6,55.4,57.1,62.3,46.1
11-27,46.6,55.6,48.3,39.3,56.7,33.8,61.7,55.6,34.4,34.0,21.0,57.0,21.8,,21.0,24.2,34.2,55.6,56.9,61.7,46.6
11-28,47.0,55.1,48.1,39.5,56.4,33.8,61.6,55.6,34.5,33.8,20.9,57.1,22.0,,20.9,24.3,34.3,55.3,57.0,61.6,47.0
11-29,46.4,55.0,48.0,39.1,56.5,34.1,61.2,56.0,34.6,34.1,20.9,57.2,21.8,,20.9,24.3,34.4,55.4,57.1,61.2,46.4
11-30,45.9,55.3,47.7,39.2,56.7,34.2,61.2,56.0,34.6,34.3,20.9,57.1,22.1,,20.9,24.5,34.5,55.6,57.0,61.2,45.9
12-01,46.3,55.6,47.8,38.9,56.5,34.8,60.9,55.9,34.3,34.3,20.4,56.8,22.0,,20.4,24.4,34.6,55.7,56.7,60.9,46.3
12-02,46.6,55.3,47.9,39.0,56.2,34.5,60.6,55.8,34.8,34.1,20.5,56.8,21.7,,20.5,24.2,34.6,55.5,56.7,60.6,46.6
12-03,46.1,54.2,48.2,39.0,57.0,34.1,60.2,55.6,34.8,34.5,20.8,57.1,22.2,,20.8,24.6,34.6,54.8,57.1,60.2,46.1
12-04,46.7,53.9,48.4,39.1,56.7,34.6,59.9,55.9,34.6,34.5,20.9,57.2,22.2,,20.9,24.7,34.6,54.7,57.1,59.9,46.7
12-05,47.0,53.1,48.5,39.3,57.1,34.8,59.8,55.7,34.6,34.9,20.1,57.1,22.1,,20.1,24.6,34.9,54.1,57.1,59.8,47.0
12-06,46.1,53.0,48.4,38.7,56.5,34.7,59.9,55.8,35.0,35.5,20.5,56.6,22.2,,20.5,24.7,35.3,54.1,56.6,59.9,46.1
12-07,46.5,52.2,48.8,38.6,56.6,34.7,59.6,55.8,34.8,35.3,20.6,57.0,21.8,,20.6,24.4,35.1,53.6,56.9,59.6,46.5
12-08,46.9,52.1,48.8,39.0,57.1,34.9,59.5,55.2,35.0,36.2,20.9,56.5,22.1,,20.9,24.7,35.7,53.3,57.0,59.5,46.9
12-09,46.7,51.6,49.0,38.6,56.8,34.8,59.0,55.4,34.8,36.2,19.9,56.8,21.7,,19.9,24.3,35.6,53.1,56.8,59.0,46.7
