date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-06,67.3,48.9,57.2,41.5,52.4,33.2,65.6,56.4,45.3,46.3,37.1,59.2,40.4,,33.2,37.7,43.8,56.7,64.3,67.3,48.9
12-07,67.7,47.7,57.6,41.7,53.0,33.3,65.4,55.6,45.2,46.1,36.9,58.5,40.5,,33.3,37.6,43.8,56.4,64.0,67.7,47.7
12-08,67.7,46.5,57.4,41.4,53.2,33.0,65.1,55.0,45.6,46.7,36.3,58.0,40.3,,33.0,37.1,43.9,55.9,63.7,67.7,46.7
12-09,68.0,45.0,57.2,41.4,53.2,33.6,64.8,54.4,45.6,46.6,36.1,56.6,40.2,,33.6,36.9,43.6,55.3,63.3,68.0,46.6
12-10,68.1,44.3,57.0,41.6,53.4,34.0,64.9,54.0,46.3,46.7,34.9,57.0,40.0,,34.0,35.9,43.2,55.2,63.3,68.1,46.7
12-11,68.4,43.7,56.6,40.6,53.7,34.6,64.9,53.2,46.4,47.0,33.8,57.4,40.2,,33.8,35.7,42.5,54.9,63.4,68.4,47.0
12-12,68.4,43.0,56.4,40.3,53.9,35.3,65.0,52.4,46.3,47.2,33.2,57.9,40.4,,33.2,36.3,42.0,54.9,63.6,68.4,47.2
12-13,68.6,43.1,55.9,39.4,53.6,35.8,65.2,52.2,46.4,47.3,33.2,57.9,40.6,,33.2,36.5,42.1,54.5,63.7,68.6,47.3
12-14,68.9,42.9,56.3,39.0,53.9,35.8,65.3,52.0,46.7,47.5,32.4,57.9,40.5,,32.4,36.5,42.0,54.9,63.8,68.9,47.5
12-15,68.8,43.3,56.3,38.4,53.9,36.0,65.2,52.2,46.4,47.5,32.6,58.5,40.7,,32.6,36.5,42.3,54.9,63.8,68.8,47.5
12-16,68.8,42.6,56.4,38.3,54.1,36.2,65.6,51.4,47.0,47.4,32.4,58.4,40.9,,32.4,36.6,41.9,55.0,64.2,68.8,47.4
12-17,68.6,42.4,56.8,37.7,54.3,37.0,66.3,51.4,46.9,47.9,32.5,58.6,40.8,,32.5,37.1,41.8,55.3,64.8,68.6,47.9
12-18,68.9,42.1,57.0,37.8,54.6,37.0,66.1,51.6,47.1,48.0,32.6,58.7,40.3,,32.6,37.2,41.4,55.6,64.6,68.9,48.0
