date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
01-04,47.1,32.4,29.3,32.5,34.3,34.6,58.1,17.0,43.3,29.0,13.8,50.2,63.4,,13.8,19.4,31.2,44.8,56.5,63.4,34.3
01-05,47.1,24.7,30.1,32.0,34.5,34.3,57.8,16.7,43.8,29.3,13.5,50.1,63.4,,13.5,18.3,29.8,45.1,56.3,63.4,34.3
01-06,46.0,31.8,29.4,32.5,34.3,35.1,58.0,16.7,43.8,30.0,13.6,50.2,63.8,,13.6,19.2,31.1,44.7,56.5,63.8,34.3
01-07,49.0,32.0,29.3,31.8,34.3,34.7,57.8,17.2,43.5,29.2,13.4,50.3,64.2,,13.4,19.6,30.8,45.7,56.3,64.2,34.3
01-08,46.2,31.6,29.4,32.0,34.4,35.3,57.7,17.7,44.0,29.4,13.8,50.6,64.4,,13.8,20.0,30.7,44.9,56.3,64.4,34.4
01-09,47.0,31.1,29.5,31.3,34.6,34.6,58.5,17.8,43.9,29.7,12.9,50.8,64.6,,12.9,20.2,30.6,45.2,56.9,64.6,34.6
01-10,48.4,31.2,29.7,31.4,34.6,35.1,58.8,18.3,43.8,29.6,13.2,51.0,64.9,,13.2,20.6,30.6,45.6,57.3,64.9,34.6
01-11,47.2,30.4,29.2,31.7,34.6,35.5,58.8,19.1,43.9,29.1,13.9,50.9,65.9,,13.9,21.1,29.9,45.2,57.2,65.9,34.6
01-12,47.7,30.1,29.1,31.3,34.8,35.0,59.0,19.2,44.7,29.7,12.8,50.7,66.2,,12.8,21.2,30.0,45.9,57.4,66.2,34.8
01-13,43.8,29.1,29.9,31.3,35.0,35.7,58.6,19.7,44.2,29.4,13.1,51.2,66.4,,13.1,21.5,29.7,44.0,57.2,66.4,35.0
01-14,48.7,27.0,29.4,31.3,35.1,35.5,59.1,20.5,44.3,29.6,13.2,51.2,66.4,,13.2,21.8,29.5,46.0,57.5,66.4,35.1
01-15,46.2,26.8,29.8,30.8,35.8,35.5,59.1,20.5,44.6,29.5,13.7,51.3,66.6,,13.7,21.8,29.7,45.2,57.5,66.6,35.5
01-16,48.8,26.5,30.0,30.7,36.0,35.8,58.9,20.2,44.8,29.7,13.6,51.4,66.6,,13.6,21.4,29.9,46.4,57.4,66.6,35.8
01-17,46.5,26.8,29.4,30.6,36.6,35.8,58.9,20.2,44.1,29.6,13.4,51.2,66.7,,13.4,21.5,29.5,45.1,57.3,66.7,35.8
01-18,49.0,25.8,29.4,30.4,36.9,35.6,59.0,20.4,44.4,29.5,13.9,51.5,66.9,,13.9,21.5,29.5,46.3,57.5,66.9,35.6
01-19,49.6,25.7,29.2,30.8,37.3,35.7,58.9,19.8,44.6,29.4,13.5,51.3,67.4,,13.5,21.0,29.3,46.6,57.4,67.4,35.7
01-20,47.5,25.5,29.2,30.5,38.0,35.9,58.8,19.9,45.3,29.7,13.6,50.9,67.2,,13.6,21.0,29.5,46.2,57.3,67.2,35.9
01-21,47.4,26.0,28.9,30.7,37.3,36.0,58.5,20.7,45.1,29.5,13.6,50.9,67.4,,13.6,21.7,29.2,46.0,57.0,67.4,36.0
01-22,48.3,25.5,29.0,30.0,37.9,36.6,58.4,20.5,45.4,29.5,13.7,50.9,67.3,,13.7,21.5,29.3,46.6,56.9,67.3,36.6
01-23,47.6,25.8,28.8,29.8,38.1,36.6,58.6,20.6,45.6,29.7,13.2,50.5,67.5,,13.2,21.7,29.4,46.4,57.0,67.5,36.6
01-24,48.7,25.7,28.6,29.6,37.9,37.2,58.6,20.4,46.1,29.8,13.8,50.0,67.7,,13.8,21.5,29.2,47.1,56.9,67.7,37.2
01-25,49.8,25.5,28.7,29.2,38.0,37.2,58.6,21.0,46.0,29.9,13.3,49.5,67.5,,13.3,21.9,29.0,47.4,56.9,67.5,37.2
01-26,47.0,26.0,28.7,29.5,37.3,37.4,58.8,20.5,46.4,29.8,14.0,49.7,67.6,,14.0,21.6,29.1,46.7,57.0,67.6,37.3
01-27,49.0,25.8,29.3,29.0,37.3,38.1,59.7,20.7,46.5,29.6,13.6,49.5,67.6,,13.6,21.7,29.2,47.5,57.6,67.6,37.3
01-28,47.8,25.9,29.6,28.3,36.9,38.3,61.1,21.6,46.8,30.0,13.7,49.7,67.3,,13.7,22.5,29.1,47.2,58.9,67.3,36.9
01-29,46.5,25.8,30.1,27.9,37.2,38.5,62.1,20.9,47.1,30.1,13.8,49.4,67.3,,13.8,21.9,29.2,46.8,59.6,67.3,37.2
01-30,47.0,26.7,30.8,26.9,37.3,38.6,62.9,21.5,47.7,29.8,13.6,49.1,67.9,,13.6,22.6,28.7,47.3,60.1,67.9,37.3
01-31,48.2,26.5,30.9,26.1,37.8,38.6,63.2,22.1,47.6,30.8,13.8,48.9,68.0,,13.8,22.9,29.0,47.8,60.3,68.0,37.8
02-01,47.9,25.9,30.9,26.7,38.0,38.8,63.1,21.9,47.2,30.9,13.9,48.9,67.6,,13.9,22.7,29.2,47.5,60.2,67.6,38.0
02-02,48.5,26.5,31.6,27.3,38.0,39.1,63.4,22.6,47.5,30.7,13.8,48.4,67.9,,13.8,23.4,29.3,47.9,60.4,67.9,38.0
02-03,45.8,26.1,31.5,27.1,38.3,39.3,63.7,23.0,47.4,30.7,14.0,48.2,67.5,,14.0,23.6,29.2,46.4,60.6,67.5,38.3
02-04,48.8,26.6,31.5,27.2,38.8,39.1,63.7,23.3,47.9,30.7,14.4,48.1,67.4,,14.4,24.0,29.3,48.0,60.7,67.4,38.8
02-05,48.6,27.0,31.8,27.2,39.0,39.8,63.8,24.2,47.9,31.7,14.3,48.3,67.6,,14.3,24.8,29.9,48.1,60.7,67.6,39.0
02-06,46.6,27.1,31.9,27.9,38.9,40.0,63.8,24.1,48.0,30.8,14.2,47.9,67.7,,14.2,24.7,29.6,47.1,60.6,67.7,38.9
02-07,48.4,27.3,31.9,27.6,39.2,40.3,64.1,25.0,48.3,31.4,14.6,47.5,67.6,,14.6,25.5,29.9,47.9,61.0,67.6,39.2
02-08,47.3,27.0,31.8,27.7,39.5,40.2,64.4,24.9,48.4,31.0,14.8,47.5,67.8,,14.8,25.3,29.7,47.4,61.2,67.8,39.5
02-09,47.5,27.4,32.3,27.8,39.7,40.1,64.9,25.4,48.4,32.0,14.2,47.5,67.9,,14.2,25.8,30.3,47.5,61.6,67.9,39.7
02-10,48.3,27.4,32.4,27.9,40.8,40.7,66.7,25.8,48.8,31.7,14.5,47.3,68.1,,14.5,26.1,30.2,47.7,63.1,68.1,40.7
02-11,46.3,28.0,32.0,28.0,41.4,40.7,70.7,25.6,48.6,31.8,14.7,47.2,68.0,,14.7,26.0,30.3,46.7,64.1,70.7,40.7
02-12,48.5,27.9,32.3,28.3,42.0,40.4,70.2,25.6,49.2,32.6,14.6,47.0,68.4,,14.6,26.1,30.7,47.6,64.5,70.2,40.4
02-13,48.1,27.5,32.4,28.7,42.3,40.7,69.6,25.7,49.0,32.5,14.5,47.0,68.0,,14.5,26.0,30.9,47.4,64.2,69.6,40.7
02-14,46.3,28.6,32.4,28.5,41.8,40.9,69.4,25.1,49.1,32.3,14.7,46.8,68.4,,14.7,25.8,30.8,46.5,64.6,69.4,40.9
02-15,48.1,28.5,32.8,29.7,42.8,40.9,69.1,25.9,50.0,32.5,14.9,47.0,68.0,,14.9,26.4,31.4,47.4,64.4,69.1,40.9
02-16,47.5,29.3,32.3,31.0,43.3,41.0,68.8,26.4,50.2,33.2,15.3,47.3,68.4,,15.3,27.0,31.8,47.4,64.7,68.8,41.0
02-17,47.6,29.8,32.8,32.1,43.3,41.1,68.9,25.5,50.1,33.1,15.0,46.8,68.8,,15.0,26.3,32.5,47.1,65.0,68.9,41.1
02-18,48.3,29.5,32.9,32.1,43.2,41.3,68.7,26.5,50.8,33.4,15.1,46.8,68.7,,15.1,27.1,32.6,47.4,65.1,68.7,41.3
02-19,46.7,29.4,33.0,32.8,43.5,43.2,69.0,25.9,51.3,33.6,15.4,46.6,68.8,,15.4,26.6,32.9,46.7,65.3,69.0,43.2
02-20,47.9,29.8,32.9,33.0,43.4,43.7,69.0,26.8,51.5,32.9,15.2,46.9,68.9,,15.2,27.4,32.9,47.3,65.4,69.0,43.4
02-21,46.1,30.0,32.8,32.9,43.3,48.9,69.3,27.2,51.3,33.5,15.3,46.7,68.6,,15.3,27.8,32.9,47.6,65.2,69.3,43.3
02-22,46.8,29.7,33.0,32.6,42.6,50.2,70.1,27.0,51.9,33.9,15.5,46.4,69.0,,15.5,27.5,32.9,48.2,65.6,70.1,42.6
02-23,48.2,29.8,33.4,33.4,42.9,50.7,70.4,27.0,51.7,33.6,15.5,46.8,68.9,,15.5,27.6,33.4,49.2,65.5,70.4,42.9
02-24,48.0,30.3,33.8,33.4,42.2,51.1,70.0,27.0,52.3,33.8,15.7,46.4,69.1,,15.7,27.7,33.6,49.3,65.7,70.0,42.2
02-25,48.3,30.3,33.2,34.1,41.8,51.4,69.7,27.1,54.8,33.9,15.3,47.1,69.5,,15.3,27.7,33.6,49.5,66.6,69.7,41.8
02-26,46.3,30.3,33.6,34.2,41.4,51.3,69.5,27.7,54.7,34.2,15.5,46.7,69.1,,15.5,28.2,34.0,48.5,66.3,69.5,41.4
02-27,47.1,30.6,33.2,34.6,40.8,51.1,69.7,27.8,55.2,33.8,15.6,46.9,69.1,,15.6,28.4,33.5,48.7,66.3,69.7,40.8
02-28,46.5,30.6,33.6,35.8,41.0,51.5,69.3,28.1,55.7,34.0,15.5,47.0,69.6,,15.5,28.6,33.8,48.8,66.6,69.6,41.0
02-29,,30.1,,,,52.3,,,,34.4,,,,,15.5,28.6,33.8,48.8,66.6,69.6,41.0
