date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-21,44.6,15.4,16.5,,15.4,15.6,16.1,27.8,39.0,44.6,16.5
10-22,44.7,15.6,16.6,,15.6,15.8,16.2,27.8,39.1,44.7,16.6
10-23,44.7,15.2,16.7,,15.2,15.5,16.1,27.9,39.1,44.7,16.7
10-24,44.7,14.5,16.4,,14.5,14.9,15.7,27.7,39.1,44.7,16.4
10-25,45.3,14.7,16.6,,14.7,15.1,15.9,28.1,39.5,45.3,16.6
10-26,45.6,15.1,16.9,,15.1,15.4,16.2,28.4,39.8,45.6,16.9
10-27,47.6,14.5,16.5,,14.5,14.9,15.7,28.9,41.4,47.6,16.5
10-28,48.7,14.7,16.5,,14.7,15.0,15.8,29.4,42.3,48.7,16.5
10-29,48.7,14.6,16.7,,14.6,15.0,15.8,29.5,42.3,48.7,16.7
10-30,49.0,14.6,16.6,,14.6,15.0,15.8,29.6,42.5,49.0,16.6
10-31,48.7,14.4,16.5,,14.4,14.8,15.7,29.4,42.3,48.7,16.5
11-01,48.7,14.8,16.3,,14.8,15.1,15.7,29.2,42.2,48.7,16.3
11-02,48.5,14.9,16.3,,14.9,15.2,15.7,29.2,42.1,48.5,16.3
11-03,48.6,14.6,16.2,,14.6,14.9,15.6,29.2,42.1,48.6,16.2
11-04,48.6,15.0,16.4,,15.0,15.3,15.9,29.3,42.2,48.6,16.4
11-05,49.4,14.8,16.2,,14.8,15.1,15.7,29.5,42.8,49.4,16.2
11-06,51.9,14.6,16.6,,14.6,15.0,15.8,30.7,44.8,51.9,16.6
11-07,52.5,15.1,16.4,,15.1,15.4,15.9,30.8,45.2,52.5,16.4
11-08,52.5,15.1,16.7,,15.1,15.4,16.1,31.0,45.3,52.5,16.7
11-09,55.2,14.6,0.0,,0.0,2.9,8.8,30.9,47.1,55.2,14.6
11-10,59.5,14.6,16.8,,14.6,15.0,15.9,33.8,50.9,59.5,16.8
11-11,60.2,14.4,16.5,,14.4,14.8,15.7,34.0,51.4,60.2,16.5
11-12,60.3,14.6,16.8,,14.6,15.0,15.9,34.2,51.6,60.3,16.8
