date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR)
11-01,4.8,2.5,3.7,1.2,0.2,1.0,2.4,0.6,3.9,2.2,1.0,4.6,1.1,,0.2,0.7,1.1,3.0,4.5,4.8,2.1,2.2
11-02,4.8,3.1,3.7,1.2,0.2,1.2,2.5,0.6,4.0,2.2,1.0,4.7,1.1,,0.2,0.7,1.2,3.4,4.6,4.8,2.3,2.2
11-03,4.8,3.1,3.7,1.2,0.2,1.3,2.5,0.6,4.1,2.2,1.0,4.9,1.6,,0.2,0.7,1.3,3.4,4.7,4.9,2.3,2.2
11-04,4.8,3.2,3.7,1.2,0.2,1.3,2.5,0.7,4.1,2.2,1.0,4.9,1.6,,0.2,0.7,1.3,3.4,4.7,4.9,2.3,2.2
11-05,4.8,3.3,3.7,1.3,0.2,1.4,2.5,1.0,4.3,2.2,1.0,4.9,1.8,,0.2,1.0,1.3,3.4,4.7,4.9,2.3,2.2
11-06,4.8,3.3,3.7,1.3,0.2,1.4,2.5,1.3,4.3,2.2,1.0,5.0,2.6,,0.2,1.1,1.4,3.5,4.7,5.0,2.4,2.5
11-07,4.8,3.3,3.7,1.4,0.2,1.4,2.5,1.3,4.3,2.2,1.0,5.0,2.9,,0.2,1.1,1.4,3.5,4.7,5.0,2.4,2.5
11-08,4.8,3.4,3.7,1.4,0.2,1.4,2.5,1.3,4.3,2.2,1.4,5.0,2.9,,0.2,1.3,1.4,3.5,4.7,5.0,2.4,2.5
11-09,5.2,3.4,3.7,1.4,0.2,1.5,2.5,1.3,4.3,2.2,1.7,5.0,3.5,,0.2,1.3,1.6,3.6,4.9,5.2,2.4,2.5
11-10,5.2,3.5,4.4,1.4,0.2,1.6,2.5,1.4,4.3,2.2,1.7,5.3,4.8,,0.2,1.4,1.7,4.3,5.1,5.3,2.5,2.5
11-11,5.3,3.5,4.4,1.4,0.2,1.7,2.5,1.4,4.3,2.2,1.9,5.4,4.8,,0.2,1.4,1.8,4.4,5.2,5.4,2.5,2.5
11-12,5.3,3.6,4.6,1.4,0.3,1.7,2.5,1.4,4.3,2.2,2.2,5.4,4.8,,0.3,1.4,2.0,4.4,5.2,5.4,2.5,2.5
11-13,5.3,4.2,4.7,1.4,0.4,1.7,2.5,1.4,4.3,2.2,2.3,5.4,4.8,,0.4,1.4,2.0,4.4,5.2,5.4,2.6,2.5
11-14,5.3,5.0,4.7,1.4,0.6,1.7,2.5,1.4,4.3,2.2,3.6,5.4,4.8,,0.6,1.4,2.0,4.7,5.3,5.4,2.6,3.6
11-15,5.5,5.0,4.7,1.4,1.0,1.7,2.5,1.4,4.3,2.2,4.0,5.4,4.8,,1.0,1.4,2.0,4.7,5.3,5.5,2.6,4.0
11-16,5.9,5.0,4.7,1.4,1.0,1.8,2.5,1.4,4.3,2.2,4.1,5.4,4.8,,1.0,1.4,2.0,4.7,5.3,5.9,2.7,4.1
11-17,6.3,5.0,4.7,2.1,1.0,1.8,2.5,1.9,4.3,2.2,4.1,5.4,4.8,,1.0,1.8,2.1,4.7,5.3,6.3,2.7,4.1
11-18,6.3,5.0,4.8,2.1,1.1,1.8,2.7,3.5,4.3,2.2,4.1,5.4,4.8,,1.1,1.9,2.5,4.8,5.3,6.3,3.1,4.1
11-19,6.3,5.6,5.2,2.2,1.2,1.8,2.7,3.5,4.3,2.2,4.1,5.5,4.8,,1.2,1.9,2.5,4.9,5.6,6.3,3.2,4.1
11-20,6.3,5.7,5.2,2.2,1.2,2.0,2.7,3.5,4.4,2.2,4.2,5.6,4.8,,1.2,2.0,2.5,5.0,5.7,6.3,3.2,4.2
11-21,7.2,5.7,5.2,2.2,1.2,2.1,2.7,3.5,4.4,2.4,4.2,5.6,4.8,,1.2,2.1,2.6,5.0,5.7,7.2,3.3,4.2
11-22,7.9,5.9,5.2,2.4,1.2,2.1,3.0,3.5,4.4,2.4,4.2,5.6,4.8,,1.2,2.2,2.8,5.0,5.8,7.9,3.4,4.2
11-23,8.5,5.9,5.2,2.4,1.8,2.1,3.0,3.5,4.6,2.4,4.2,5.6,4.8,,1.8,2.2,2.8,5.0,5.8,8.5,3.4,4.2
11-24,9.6,5.9,5.2,2.4,2.0,2.2,3.2,3.5,5.3,2.4,4.2,5.6,4.9,,2.0,2.2,2.9,5.2,5.8,9.6,3.5,4.2
11-25,9.6,5.9,5.2,2.4,2.3,2.2,3.2,3.5,6.2,2.4,4.2,5.6,4.9,,2.2,2.3,2.9,5.4,6.2,9.6,3.5,4.2
11-26,9.6,6.0,5.2,2.4,2.5,2.6,3.3,3.5,6.2,2.7,4.3,5.6,4.9,,2.4,2.5,3.1,5.4,6.2,9.6,3.6,4.3
11-27,9.6,6.0,5.2,2.4,2.5,2.7,3.4,3.5,6.2,2.7,4.3,5.7,5.0,,2.4,2.6,3.1,5.4,6.2,9.6,3.7,4.3
11-28,9.6,6.0,5.3,2.4,2.5,2.7,3.7,3.6,6.2,3.3,4.3,5.7,5.0,,2.4,2.6,3.5,5.4,6.2,9.6,3.8,4.3
11-29,9.8,6.0,5.3,2.4,2.5,2.8,4.1,3.6,6.7,3.9,4.3,5.7,5.6,,2.4,2.6,3.8,5.7,6.5,9.8,4.0,4.3
11-30,9.8,6.0,5.3,2.4,2.6,2.8,4.1,3.6,7.1,4.4,4.3,5.7,5.7,,2.4,2.6,3.9,5.7,6.9,9.8,4.3,4.4
12-01,9.9,6.0,5.5,2.4,2.9,2.8,4.1,3.6,7.7,4.4,4.3,5.7,5.8,,2.4,2.8,3.9,5.7,7.4,9.9,4.3,4.4
12-02,10.0,6.1,5.5,2.4,2.9,2.8,4.1,3.6,7.8,4.4,4.3,5.7,5.9,,2.4,2.8,3.9,5.8,7.5,10.0,4.3,4.4
12-03,10.0,6.1,6.0,3.3,2.9,2.8,4.1,3.6,8.1,4.4,4.3,5.7,6.3,,2.8,3.0,3.9,6.1,7.7,10.0,4.4,4.4
12-04,10.2,6.1,6.1,3.7,2.9,2.9,4.1,4.1,8.1,4.4,4.3,5.7,6.3,,2.9,3.1,4.1,6.1,7.8,10.2,4.4,4.4
12-05,10.2,6.2,6.2,3.7,2.9,2.9,4.2,4.1,8.1,4.5,4.3,5.7,6.6,,2.9,3.1,4.2,6.2,7.8,10.2,4.6,4.5
12-06,10.2,6.2,6.5,3.7,3.0,2.9,4.2,4.1,8.1,4.8,4.3,5.7,6.6,,2.9,3.1,4.2,6.3,7.8,10.2,4.7,4.8
12-07,10.8,6.2,6.5,3.7,3.0,2.9,4.2,4.1,8.1,4.8,4.3,5.7,6.6,,2.9,3.1,4.2,6.3,7.8,10.8,4.7,4.8
12-08,10.8,6.3,6.5,4.0,3.0,3.0,4.2,4.1,8.1,4.8,4.3,5.7,6.6,,3.0,3.2,4.2,6.4,7.8,10.8,4.8,4.8
12-09,10.8,6.3,6.7,4.0,3.0,3.0,4.5,4.1,8.1,5.2,4.3,5.8,6.6,,3.0,3.2,4.3,6.4,7.9,10.8,5.0,5.2
12-10,10.8,6.3,6.7,4.0,3.0,3.0,5.1,4.1,8.1,5.2,4.3,6.1,6.7,,3.0,3.2,4.3,6.4,7.9,10.8,5.2,5.2
12-11,11.5,6.3,6.9,4.0,3.0,3.5,6.7,4.1,8.1,5.2,4.3,6.3,6.7,,3.0,3.6,4.3,6.7,7.9,11.5,5.5,6.3
12-12,11.5,6.3,6.9,4.0,3.0,3.5,6.9,4.1,8.2,5.2,4.3,6.3,7.1,,3.0,3.6,4.3,6.9,8.0,11.5,5.6,6.3
12-13,11.5,6.3,6.9,4.0,3.0,3.5,6.9,4.1,8.5,6.0,4.3,6.4,7.3,,3.0,3.6,4.3,6.9,8.3,11.5,5.9,6.3
12-14,11.5,6.4,7.0,4.1,3.2,3.8,6.9,4.3,8.5,6.5,4.6,6.4,7.4,,3.2,3.9,4.4,6.9,8.3,11.5,6.1,6.4
12-15,11.8,6.4,7.2,4.1,3.2,4.0,7.3,4.3,8.6,7.1,4.6,6.8,7.5,,3.2,4.0,4.4,7.2,8.4,11.8,6.4,6.8
12-16,11.9,6.4,7.2,4.1,3.2,4.1,7.7,4.3,8.6,7.1,4.7,6.9,7.5,,3.2,4.1,4.5,7.3,8.4,11.9,6.6,6.9
12-17,11.9,6.4,7.5,4.1,3.2,4.2,9.0,4.3,8.6,7.1,4.7,7.2,7.5,,3.2,4.1,4.5,7.5,8.9,11.9,6.9,7.1
12-18,12.0,6.4,7.9,4.1,3.2,4.4,9.0,4.3,8.6,7.1,5.0,7.5,7.5,,3.2,4.2,4.7,7.6,8.9,12.0,6.9,7.1
12-19,12.8,6.4,7.9,4.2,3.2,4.4,9.0,4.3,8.6,7.1,5.0,7.5,7.5,,3.2,4.2,4.7,7.6,8.9,12.8,7.0,7.1
12-20,14.2,6.4,7.9,5.3,3.2,4.4,9.1,4.3,8.7,7.1,5.0,7.5,7.5,,3.2,4.3,5.2,7.6,9.0,14.2,7.0,7.1
12-21,14.7,6.4,7.9,5.3,3.4,4.6,9.1,4.4,8.7,7.1,5.0,7.5,7.5,,3.4,4.4,5.2,7.6,9.0,14.7,7.0,7.1
12-22,15.2,6.6,7.9,5.3,4.6,5.3,9.1,4.4,9.2,7.1,5.0,7.6,8.1,,4.4,4.7,5.3,8.0,9.2,15.2,7.1,7.1
12-23,16.0,6.6,8.0,5.5,5.3,6.4,9.1,4.4,9.2,7.1,5.2,7.6,8.1,,4.4,5.2,6.1,8.0,9.2,16.0,7.2,7.1
12-24,16.0,6.6,8.2,5.7,5.4,6.9,9.2,5.5,9.2,7.1,5.2,8.4,8.1,,5.2,5.4,6.2,8.3,9.2,16.0,7.3,7.1
12-25,16.0,6.6,8.4,5.7,5.6,7.1,9.3,5.8,9.3,7.3,5.2,9.0,8.2,,5.2,5.6,6.3,8.6,9.3,16.0,7.3,7.3
12-26,16.0,6.6,8.4,5.7,5.7,7.1,9.7,6.0,9.5,7.4,5.2,9.1,8.2,,5.2,5.7,6.4,8.7,9.6,16.0,7.4,7.4
12-27,16.0,6.6,8.7,5.7,5.8,7.1,9.7,6.0,9.5,7.4,5.4,9.6,8.2,,5.4,5.7,6.4,9.0,9.7,16.0,7.5,7.4
12-28,16.0,6.7,8.7,5.7,5.8,7.2,9.7,6.0,9.7,7.4,5.4,9.9,9.2,,5.4,5.7,6.4,9.4,9.9,16.0,7.5,7.4
12-29,16.0,6.8,8.7,5.7,6.0,7.4,9.7,6.0,9.7,7.4,5.4,10.0,9.4,,5.4,5.8,6.5,9.5,9.9,16.0,7.6,7.4
12-30,17.4,7.1,8.7,5.7,6.0,7.5,9.7,6.0,9.7,7.4,5.4,10.1,9.4,,5.4,5.8,6.7,9.5,10.1,17.4,7.7,7.5
12-31,17.4,7.1,8.7,5.7,6.0,7.5,9.7,6.0,9.8,7.4,5.4,11.2,9.6,,5.4,5.8,6.7,9.7,10.9,17.4,7.7,7.5
01-01,17.4,7.1,8.7,5.7,6.0,7.5,9.7,6.0,9.8,7.4,5.4,11.3,10.6,,5.4,5.8,6.7,9.8,11.2,17.4,7.7,7.5
01-02,17.4,7.2,8.7,5.7,6.0,7.5,9.8,6.0,9.8,8.1,5.4,11.3,11.4,,5.4,5.8,6.7,9.8,11.4,17.4,7.9,8.1
01-03,17.4,7.2,8.7,5.7,6.1,7.6,10.2,6.0,9.8,8.2,5.4,11.3,11.6,,5.4,5.8,6.7,10.0,11.5,17.4,8.0,8.2
01-04,17.4,7.2,8.7,6.0,6.1,7.6,10.2,6.0,9.9,8.2,5.6,11.4,11.6,,5.6,6.0,6.7,10.0,11.5,17.4,8.0,8.2
01-05,17.4,7.2,8.7,6.0,6.2,7.7,11.6,6.0,10.0,8.2,5.6,11.7,11.6,,5.6,6.0,6.8,10.6,11.7,17.4,8.0,8.2
01-06,17.4,7.2,8.7,6.0,6.2,7.7,11.6,6.0,10.0,8.3,5.8,13.9,11.7,,5.8,6.0,6.8,10.6,13.5,17.4,8.2,8.3
01-07,17.4,7.2,8.7,6.0,6.2,7.8,11.6,6.1,10.5,8.3,5.8,14.2,12.1,,5.8,6.0,6.8,10.9,13.8,17.4,8.3,8.3
01-08,17.4,7.3,8.7,6.0,6.2,8.0,11.7,6.1,11.2,8.3,5.8,14.2,12.1,,5.8,6.0,6.9,11.4,13.8,17.4,8.4,8.3
01-09,17.4,7.3,8.7,6.1,6.2,8.2,12.1,6.2,11.3,8.5,5.8,14.2,12.1,,5.8,6.1,6.9,11.6,13.8,17.4,8.5,8.5
01-10,17.5,7.3,8.8,6.6,6.2,8.3,13.2,6.4,11.3,8.7,5.8,14.2,12.7,,5.8,6.3,7.0,11.8,14.0,17.5,8.6,8.7
01-11,17.5,7.3,9.1,6.7,6.3,8.3,14.3,6.6,11.3,8.7,5.8,14.2,13.8,,5.8,6.4,7.1,12.3,14.3,17.5,8.6,8.7
01-12,17.5,7.3,9.2,6.9,6.4,8.4,15.7,6.9,11.3,8.9,5.8,14.2,14.4,,5.8,6.5,7.2,12.5,15.5,17.5,8.7,8.9
01-13,17.5,7.3,9.3,7.3,7.0,8.4,15.8,6.9,11.3,9.0,5.8,14.2,14.4,,5.8,7.0,7.3,12.5,15.5,17.5,8.8,9.0
01-14,17.8,7.3,9.3,7.3,7.1,8.4,15.8,6.9,11.3,9.4,5.8,14.2,14.4,,5.8,7.0,7.3,12.5,15.5,17.8,9.1,9.3
01-15,17.9,7.3,9.3,7.3,7.1,8.5,15.8,6.9,11.3,9.6,5.8,14.2,14.4,,5.8,7.0,7.3,12.5,15.5,17.9,9.1,9.3
01-16,17.9,7.3,9.3,7.3,7.1,8.6,15.8,6.9,11.3,9.6,5.8,14.2,14.7,,5.8,7.0,7.3,12.5,15.6,17.9,9.1,9.3
01-17,18.2,7.4,9.3,7.3,7.2,8.8,15.8,6.9,11.5,9.8,5.8,14.2,14.9,,5.8,7.0,7.4,12.6,15.6,18.2,9.3,9.3
01-18,18.5,7.5,9.3,7.3,7.2,8.9,15.8,6.9,12.5,10.1,5.8,14.2,14.9,,5.8,7.0,7.4,13.2,15.6,18.5,9.4,9.3
01-19,18.6,8.1,9.3,7.3,7.2,9.1,15.8,6.9,12.7,10.1,5.8,14.2,14.9,,5.8,7.0,7.8,13.3,15.6,18.6,9.4,9.3
01-20,19.5,8.7,9.3,7.3,7.2,9.2,15.9,7.1,12.8,10.1,5.8,14.2,14.9,,5.8,7.2,8.2,13.4,15.7,19.5,9.6,9.3
01-21,19.5,9.1,9.3,7.3,7.2,9.6,16.0,7.4,12.8,10.1,5.8,14.3,14.9,,5.8,7.3,8.5,13.4,15.8,19.5,9.8,9.6
01-22,19.5,10.5,9.3,7.3,7.2,9.6,16.2,7.5,13.0,10.3,5.8,14.3,14.9,,5.8,7.3,8.5,13.5,16.0,19.5,10.1,10.3
01-23,19.7,10.5,9.3,7.4,7.2,9.6,17.0,7.5,13.0,10.4,6.3,14.3,15.0,,6.3,7.3,8.6,13.5,16.6,19.7,10.2,10.4
01-24,19.8,10.7,9.3,7.4,7.2,10.0,17.8,7.5,13.2,10.5,6.8,14.3,15.0,,6.8,7.3,8.6,13.6,17.3,19.8,10.3,10.5
01-25,19.8,10.7,9.4,7.4,7.3,10.2,17.9,7.5,13.2,10.6,6.8,14.3,15.0,,6.8,7.3,8.7,13.6,17.3,19.8,10.4,10.6
01-26,19.9,10.7,9.6,7.4,7.3,10.2,17.9,7.7,13.2,10.6,6.8,14.4,15.0,,6.8,7.3,8.8,13.7,17.3,19.9,10.5,10.6
01-27,19.9,11.0,9.6,7.4,7.3,10.2,18.0,7.7,13.2,10.7,6.8,14.4,15.0,,6.8,7.3,8.9,13.7,17.4,19.9,10.6,10.7
01-28,19.9,11.0,10.0,7.4,7.4,10.3,18.0,7.8,13.2,10.8,6.9,14.4,15.5,,6.9,7.4,9.1,13.7,17.5,19.9,10.7,10.8
01-29,19.9,11.0,10.0,7.4,7.5,10.4,18.0,7.8,13.2,10.9,7.5,14.4,15.7,,7.4,7.5,9.1,13.7,17.5,19.9,10.7,10.9
01-30,19.9,11.0,10.1,8.2,7.5,10.8,18.0,7.8,13.2,11.0,7.8,14.4,15.9,,7.5,7.8,9.3,13.7,17.6,19.9,10.9,11.0
01-31,20.0,11.0,10.4,8.4,7.5,11.6,18.0,7.8,13.2,11.0,7.8,14.4,15.9,,7.5,7.8,9.6,13.7,17.6,20.0,11.1,11.0
02-01,20.0,11.0,10.4,8.4,7.5,11.6,18.0,7.8,13.2,11.1,7.8,14.4,15.9,,7.5,7.8,9.6,13.7,17.6,20.0,11.1,11.1
02-02,20.0,11.0,10.4,8.4,7.5,12.1,18.0,7.8,13.2,11.1,7.9,14.4,15.9,,7.5,7.8,9.6,13.7,17.6,20.0,11.2,11.1
02-03,20.0,11.1,10.4,8.4,7.7,12.1,18.0,7.8,13.4,11.1,7.9,14.4,15.9,,7.7,7.9,9.6,13.8,17.6,20.0,11.2,11.1
02-04,20.0,11.1,10.4,8.5,8.2,12.1,18.1,7.8,14.2,11.2,8.4,14.4,15.9,,7.8,8.2,9.6,14.3,17.7,20.0,11.3,11.2
02-05,20.0,11.1,10.4,8.5,8.6,12.2,18.2,7.8,14.7,11.2,8.4,14.4,15.9,,7.8,8.4,9.7,14.6,17.7,20.0,11.3,11.2
02-06,20.1,11.1,10.4,8.5,8.7,12.2,18.2,8.1,15.0,11.3,8.9,14.4,16.2,,8.1,8.6,9.8,14.7,17.8,20.1,11.3,11.3
02-07,20.1,11.1,10.4,8.7,8.7,12.2,18.6,8.1,15.1,12.0,8.9,14.4,16.2,,8.1,8.7,9.8,14.7,18.1,20.1,11.6,12.0
02-08,20.7,11.1,10.4,9.5,8.7,12.2,19.3,8.1,15.2,12.4,8.9,14.4,16.2,,8.1,8.7,10.1,14.7,18.7,20.7,11.7,12.2
02-09,20.7,11.2,10.4,11.4,8.8,12.2,19.4,8.1,15.2,12.4,8.9,14.4,16.2,,8.1,8.8,10.9,14.7,18.8,20.7,12.0,12.2
02-10,20.7,11.2,10.5,12.1,8.9,12.2,20.3,8.1,15.3,12.4,8.9,14.4,16.2,,8.1,8.9,10.9,14.8,19.5,20.7,12.2,12.2
02-11,20.7,11.2,10.6,12.1,8.9,12.2,21.5,8.1,15.7,12.4,8.9,14.4,16.3,,8.1,8.9,11.0,14.9,19.8,21.5,12.2,12.2
02-12,20.7,11.2,10.6,12.2,8.9,12.2,21.8,8.1,15.7,12.4,9.1,14.4,16.3,,8.1,8.9,11.0,14.9,19.8,21.8,12.2,12.2
02-13,20.7,11.3,10.6,12.3,8.9,12.2,21.8,8.1,15.7,12.4,9.4,14.4,16.3,,8.1,9.0,11.0,14.9,19.8,21.8,12.2,12.3
02-14,20.7,11.3,10.7,12.8,8.9,12.2,21.8,8.1,16.6,12.4,9.7,14.4,16.3,,8.1,9.1,11.1,15.2,19.9,21.8,12.3,12.4
02-15,20.7,11.3,10.7,13.1,8.9,12.4,21.8,8.1,17.7,12.4,9.7,14.4,16.4,,8.1,9.1,11.1,15.2,20.1,21.8,12.4,12.4
02-16,20.7,11.3,10.7,13.2,8.9,12.6,21.8,8.3,18.1,12.5,10.0,14.4,16.5,,8.3,9.1,11.1,15.2,20.2,21.8,12.5,12.6
02-17,21.3,11.3,10.7,13.3,8.9,12.6,21.8,8.4,18.2,12.9,10.5,14.5,16.5,,8.4,9.2,11.1,15.3,20.7,21.8,12.7,12.9
02-18,21.3,11.3,10.7,13.3,8.9,12.6,21.8,8.4,18.2,12.9,10.5,14.6,16.5,,8.4,9.2,11.1,15.3,20.7,21.8,12.8,12.9
02-19,21.3,11.4,10.7,13.3,8.9,13.2,21.9,8.7,18.2,12.9,10.6,14.6,16.5,,8.7,9.2,11.1,15.3,20.7,21.9,13.0,13.2
02-20,22.0,11.5,10.7,13.4,8.9,13.2,22.4,8.9,18.3,12.9,10.8,14.6,16.5,,8.9,9.3,11.2,15.4,21.2,22.4,13.0,13.2
02-21,22.4,11.5,10.9,13.5,9.0,13.4,22.4,9.0,18.4,12.9,11.2,14.6,16.5,,9.0,9.3,11.4,15.4,21.6,22.4,13.1,13.4
02-22,22.4,11.9,10.9,13.5,9.1,13.5,22.8,9.0,18.4,12.9,11.2,14.6,17.2,,9.0,9.4,11.6,15.7,21.6,22.8,13.1,13.5
02-23,22.6,12.2,11.0,13.5,9.1,13.5,23.1,9.0,18.5,12.9,11.2,14.7,17.4,,9.0,9.5,11.8,15.8,21.8,23.1,13.2,13.5
02-24,22.6,12.2,11.3,13.5,9.1,13.5,23.3,9.1,18.5,12.9,11.2,14.7,17.5,,9.1,9.5,11.8,15.8,21.8,23.3,13.2,13.5
02-25,22.8,12.3,11.3,13.5,9.1,13.5,23.3,9.2,18.6,13.0,11.2,14.8,17.5,,9.1,9.6,11.9,15.9,22.0,23.3,13.2,13.5
02-26,23.7,12.3,11.4,13.5,9.1,13.5,23.5,9.3,18.7,13.0,11.2,14.8,17.6,,9.1,9.7,11.9,15.9,22.5,23.7,13.2,13.5
02-27,23.7,12.3,11.4,13.6,9.1,13.5,23.5,9.5,18.7,13.0,11.7,14.8,17.9,,9.1,9.9,12.1,16.0,22.5,23.7,13.3,13.5
02-28,23.7,12.6,11.4,14.0,9.1,13.5,24.1,9.5,18.7,13.0,11.8,14.8,18.3,,9.1,9.9,12.3,16.2,22.7,24.1,13.4,13.5
02-29,,12.7,,,,13.5,,,,13.0,,,,,9.1,9.9,12.3,16.2,22.7,24.1,13.5,13.5
03-01,23.7,13.3,11.5,14.4,9.2,13.5,24.2,9.5,19.0,13.0,11.8,14.8,19.1,,9.2,9.9,12.5,16.5,22.7,24.2,13.6,13.5
03-02,23.7,13.5,11.5,15.0,9.2,13.6,24.2,9.6,19.2,13.2,11.8,14.8,19.1,,9.2,10.0,12.6,16.6,22.8,24.2,13.8,13.6
03-03,23.7,13.5,11.5,15.1,9.5,13.6,24.2,9.6,19.4,13.2,11.8,14.9,19.1,,9.5,10.0,12.6,16.7,22.8,24.2,13.8,13.6
