date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-21,25.8,23.2,15.8,29.2,16.2,29.7,19.0,22.3,9.9,28.8,30.5,33.9,27.8,21.8,,9.9,15.9,21.5,28.9,30.2,33.9,24.5
12-22,23.2,30.4,3.5,27.2,17.0,20.6,19.5,22.7,22.2,13.5,36.9,22.2,29.3,11.4,,3.5,12.0,19.2,23.6,30.1,36.9,22.2
12-23,15.4,23.7,14.4,20.0,28.1,14.4,10.4,21.4,20.4,20.7,30.3,9.0,30.7,24.4,,9.0,11.6,15.3,23.8,29.6,30.7,20.5
12-24,11.8,16.1,20.4,17.6,21.6,27.0,7.3,26.2,20.9,20.8,25.8,21.4,25.8,29.2,,7.3,13.1,20.1,25.8,26.7,29.2,21.2
12-25,8.3,27.4,26.0,9.2,24.2,15.0,7.3,15.1,26.8,24.2,16.9,22.6,21.4,33.9,,7.3,8.6,15.1,24.4,27.2,33.9,22.0
12-26,5.6,26.2,24.8,13.1,28.0,4.8,-5.4,2.1,26.5,12.2,9.0,25.8,14.3,34.1,,-5.4,2.9,8.6,25.8,27.6,34.1,13.7
12-27,11.1,14.0,22.1,9.0,26.3,5.6,3.6,23.0,30.1,5.7,14.9,13.2,12.6,33.7,,3.6,5.7,10.9,22.2,29.0,33.7,13.6
12-28,13.8,17.0,34.6,4.1,23.4,12.8,7.2,19.3,34.4,-0.0,2.1,12.1,-1.5,19.0,,-1.5,0.6,6.9,19.1,31.1,34.6,13.3
12-29,16.4,21.9,32.4,11.2,19.5,-4.4,5.1,22.2,40.1,17.1,4.5,12.3,3.2,9.0,,-4.4,3.6,8.6,19.7,29.3,40.1,14.4
12-30,11.7,1.5,34.6,6.5,25.7,-13.0,-0.2,28.5,38.7,19.3,8.6,17.0,16.3,20.6,,-13.0,0.3,8.4,21.1,32.8,38.7,16.7
12-31,14.6,-12.6,13.8,2.0,30.2,-5.6,-5.3,19.3,19.3,-5.1,17.2,19.6,7.9,27.6,,-12.6,-5.5,1.3,19.3,25.2,30.2,14.2
01-01,28.7,0.2,26.4,10.8,24.5,10.0,8.0,19.0,24.9,-2.8,26.5,9.9,0.6,27.1,,-2.8,0.3,9.7,25.0,27.0,28.7,14.9
01-02,17.2,11.3,29.8,8.6,26.2,22.9,20.9,15.4,21.4,16.2,18.2,18.7,16.8,15.0,,8.6,12.4,16.2,21.0,25.2,29.8,17.7
01-03,12.8,6.0,29.8,11.2,28.8,17.7,31.3,14.5,22.6,26.8,24.1,22.8,27.3,10.3,,6.0,10.6,14.4,26.8,29.5,31.3,22.7
01-04,22.6,12.2,28.6,19.0,7.9,26.2,31.0,24.6,24.8,28.2,27.0,23.2,25.0,9.4,,7.9,10.2,22.2,26.3,28.5,31.0,24.7
01-05,30.9,23.4,30.5,23.9,6.3,36.1,25.2,-2.6,28.1,29.0,17.0,16.7,26.3,23.4,,-2.6,9.4,22.7,28.2,30.8,36.1,24.5
01-06,26.1,25.9,26.9,28.0,22.3,33.0,23.0,-3.0,28.0,18.7,22.0,23.0,34.1,23.1,,-3.0,19.7,22.9,27.0,31.5,34.1,24.5
01-07,9.2,25.4,15.4,21.6,25.7,33.0,20.4,18.0,26.2,20.8,26.9,19.5,31.5,18.1,,9.2,16.2,19.4,25.8,30.1,33.0,21.2
01-08,19.1,24.0,17.2,21.3,18.2,32.1,17.4,34.0,31.5,26.2,21.5,13.4,17.1,23.6,,13.4,17.1,18.1,24.2,31.9,34.0,21.4
01-09,24.7,2.3,25.3,26.8,14.9,23.8,8.1,29.4,35.0,32.7,7.9,9.2,11.5,26.5,,2.3,7.9,11.3,26.5,31.7,35.0,24.3
01-10,19.8,-5.0,24.2,22.8,22.2,28.0,4.3,24.4,25.3,26.3,7.1,6.6,19.1,30.0,,-5.0,5.0,17.9,24.4,27.5,30.0,22.5
01-11,25.9,2.3,11.6,0.7,32.3,26.6,20.3,24.7,23.8,15.7,16.6,15.1,21.8,17.2,,0.7,5.1,15.6,23.9,26.4,32.3,18.8
01-12,35.2,21.8,13.5,-7.7,16.3,25.3,23.9,16.8,22.0,7.7,3.6,26.9,30.8,16.1,,-7.7,4.9,15.8,24.0,29.6,35.2,19.3
01-13,24.9,29.4,24.4,-15.0,25.7,19.8,25.2,20.5,26.0,6.9,15.9,30.7,31.4,32.4,,-15.0,9.6,20.4,26.3,31.2,32.4,25.0
01-14,19.7,27.4,31.7,-8.9,26.6,17.7,16.9,15.5,25.8,14.7,17.9,21.2,21.7,28.8,,-8.9,15.0,17.6,25.9,28.4,31.7,20.4
01-15,21.5,27.3,32.0,15.6,30.8,25.9,15.8,16.2,20.2,25.7,11.2,32.2,25.4,22.0,,11.2,15.7,19.8,26.0,31.6,32.2,23.7
01-16,29.9,35.2,8.0,24.7,26.2,31.5,21.5,11.4,19.7,23.1,28.5,28.9,26.9,16.0,,8.0,12.8,21.3,28.5,31.0,35.2,25.5
01-17,29.7,30.3,0.7,20.8,29.5,25.2,25.5,19.3,26.9,27.5,14.7,32.4,26.1,16.3,,0.7,15.2,20.6,27.7,30.1,32.4,25.8
01-18,25.4,27.2,27.4,23.1,25.1,34.1,26.5,25.2,34.3,17.2,11.1,14.9,23.5,10.6,,10.6,12.3,22.5,26.6,32.1,34.3,25.2
01-19,22.5,18.0,32.9,27.7,27.4,27.6,20.4,24.2,34.5,22.8,19.2,14.6,17.1,9.9,,9.9,15.4,19.1,27.4,31.3,34.5,22.6
01-20,21.0,20.7,29.4,25.6,23.6,11.8,17.9,18.2,17.4,26.5,26.5,15.6,21.2,7.5,,7.5,13.0,17.8,23.8,26.5,29.4,20.8
01-21,21.6,28.0,27.1,29.4,23.9,2.8,19.9,18.0,7.7,20.8,26.4,20.7,19.5,17.1,,2.8,10.5,19.3,24.2,27.7,29.4,20.7
01-22,19.4,18.4,16.1,29.8,22.4,16.9,28.1,13.8,10.7,11.4,24.5,26.2,10.8,10.0,,10.0,10.7,13.6,22.6,27.6,29.8,17.6
01-23,15.3,22.3,20.0,34.1,11.3,21.6,30.8,18.7,12.6,20.8,23.1,19.0,24.9,13.6,,11.3,12.9,18.3,22.4,29.0,34.1,20.4
01-24,13.0,18.1,13.6,30.6,25.2,28.8,19.1,10.4,26.9,20.1,21.1,11.8,26.2,15.0,,10.4,12.1,14.9,25.3,28.3,30.6,19.6
01-25,16.6,23.1,30.6,25.1,30.3,36.0,13.2,4.7,23.0,21.6,22.9,8.2,8.6,10.4,,4.7,8.3,12.9,23.3,30.5,36.0,22.2
01-26,21.5,21.7,25.0,27.3,29.3,38.8,18.7,3.5,9.4,25.5,27.8,9.9,12.4,17.4,,3.5,9.5,16.9,25.7,28.8,38.8,21.6
01-27,18.0,30.6,12.4,24.1,22.7,35.5,25.2,10.0,14.4,31.3,22.2,15.4,6.4,23.1,,6.4,10.7,15.3,24.2,31.1,35.5,22.5
01-28,16.6,28.0,21.6,8.1,19.9,26.2,29.0,25.3,27.0,14.4,21.3,25.4,16.7,13.6,,8.1,13.8,16.7,25.5,27.7,29.0,21.5
01-29,17.7,26.9,27.7,7.8,31.4,24.5,32.8,26.0,30.3,16.6,14.9,23.6,20.9,12.1,,7.8,12.9,17.6,27.0,31.0,32.8,24.1
01-30,21.6,26.0,26.2,20.0,20.5,27.5,21.7,32.6,37.9,20.7,16.5,14.7,19.0,-2.4,,-2.4,15.3,19.9,26.0,31.1,37.9,21.2
01-31,16.0,14.6,15.1,22.3,10.7,26.6,8.3,35.9,33.6,22.7,28.0,18.5,19.8,6.8,,6.8,9.0,15.0,23.1,31.9,35.9,19.1
02-01,12.8,-20.7,21.9,21.8,5.0,26.3,8.0,33.0,31.6,21.8,34.2,29.2,0.7,18.1,,-20.7,2.0,12.3,26.6,32.6,34.2,21.8
02-02,19.4,-10.8,19.5,20.5,3.6,32.2,2.8,20.8,33.4,31.3,38.8,32.3,-2.7,21.0,,-10.8,-1.1,17.8,31.4,33.0,38.8,20.6
02-03,21.6,18.1,14.5,22.6,7.2,35.2,5.1,26.0,33.9,28.0,5.0,22.8,7.4,26.2,,5.0,5.7,13.8,26.0,32.1,35.2,22.1
02-04,14.6,27.7,7.3,25.2,2.7,32.4,15.6,28.0,35.2,24.4,-5.0,15.5,15.8,23.5,,-5.0,4.1,15.4,25.5,31.0,35.2,19.7
02-05,21.2,20.1,8.2,30.0,0.7,38.1,16.7,29.3,28.8,20.0,12.3,20.6,24.2,25.9,,0.7,9.5,19.7,26.2,29.8,38.1,20.9
02-06,23.5,13.9,4.5,21.4,14.7,41.2,26.8,30.4,19.0,9.0,25.2,24.2,19.7,16.6,,4.5,10.5,16.4,24.3,29.3,41.2,20.5
02-07,15.1,23.8,10.8,19.7,19.1,37.6,29.5,33.4,26.6,-2.8,27.3,27.8,25.5,20.1,,-2.8,12.1,19.6,27.4,32.2,37.6,24.7
02-08,5.0,1.3,23.8,21.7,30.2,34.6,33.0,33.6,31.8,12.6,20.8,29.0,31.3,19.4,,1.3,7.3,20.6,31.3,33.4,34.6,26.4
02-09,7.1,2.2,20.8,12.9,28.5,34.2,32.4,40.8,33.7,13.5,8.2,23.7,28.8,8.6,,2.2,7.4,12.5,29.2,34.1,40.8,22.2
02-10,8.2,15.5,24.8,5.7,19.7,25.8,33.8,37.3,16.5,13.8,6.5,24.4,33.9,25.8,,5.7,7.0,15.4,25.8,33.9,37.3,22.1
02-11,16.9,20.6,27.6,1.5,19.5,26.5,34.2,20.8,17.2,10.3,12.0,24.7,27.8,30.9,,1.5,10.8,17.2,26.6,30.0,34.2,20.7
02-12,23.6,30.3,24.4,17.5,30.8,33.0,34.9,15.4,18.5,17.0,17.3,27.9,24.2,20.9,,15.4,17.1,18.4,28.1,32.3,34.9,23.9
02-13,19.9,32.8,17.2,22.8,32.3,33.2,32.5,16.4,19.0,28.8,21.6,20.4,26.3,24.4,,16.4,17.7,20.3,29.1,32.7,33.2,23.6
02-14,17.3,32.1,11.9,19.6,33.3,37.6,29.5,19.6,25.1,31.6,25.2,10.3,28.8,9.3,,9.3,10.8,19.4,29.7,32.9,37.6,25.2
02-15,24.4,30.6,13.1,22.9,39.9,28.7,34.1,25.7,12.9,22.4,18.6,17.8,27.8,-3.5,,-3.5,13.0,18.5,27.9,33.0,39.9,23.6
02-16,18.4,28.5,10.2,28.3,31.1,15.2,32.3,32.7,15.0,9.1,27.2,17.2,16.3,7.3,,7.3,9.5,15.2,28.3,31.9,32.7,17.8
02-17,22.8,15.2,12.8,22.4,30.5,20.8,37.3,30.8,29.5,2.9,11.3,10.6,17.8,19.5,,2.9,10.8,14.9,23.5,30.7,37.3,20.2
02-18,17.1,23.9,15.6,15.3,30.3,32.2,26.0,31.3,29.3,4.2,0.9,7.0,22.7,22.5,,0.9,5.0,15.6,26.3,31.0,32.2,22.6
02-19,12.2,26.2,13.8,25.0,20.4,33.7,24.5,28.3,8.2,-1.4,-3.1,23.4,23.7,23.4,,-3.1,1.5,13.7,24.6,27.7,33.7,23.4
02-20,9.2,13.8,14.1,20.3,14.1,24.1,24.6,29.3,-4.4,5.3,12.5,19.5,29.3,29.5,,-4.4,6.5,13.7,24.1,29.3,29.5,16.8
02-21,5.8,6.9,28.1,11.1,24.3,16.1,20.8,33.6,0.7,5.5,24.8,18.6,18.5,25.6,,0.7,5.6,10.7,24.3,27.4,33.6,18.5
02-22,4.5,14.3,34.8,9.0,24.7,2.8,19.6,21.3,5.0,4.3,24.1,27.4,5.6,5.9,,2.8,4.3,5.6,21.6,26.6,34.8,11.6
02-23,15.5,12.5,12.2,15.4,31.2,6.2,14.1,12.5,7.4,8.6,27.0,23.1,7.3,5.7,,5.7,6.5,8.5,15.4,25.8,31.2,12.5
02-24,24.0,16.3,18.9,7.7,35.0,22.2,20.5,2.8,6.1,16.9,13.8,11.2,3.3,14.6,,2.8,4.1,10.9,19.0,23.5,35.0,15.5
02-25,19.5,19.8,21.4,16.5,33.5,24.1,27.0,0.7,11.7,25.5,6.9,8.4,-4.8,27.0,,-4.8,2.5,11.3,24.2,27.0,33.5,19.6
02-26,19.9,21.9,11.2,7.4,29.1,14.4,27.4,8.0,20.7,32.7,22.9,17.5,8.8,25.0,,7.4,8.2,14.1,23.1,28.6,32.7,20.3
02-27,28.4,16.0,23.4,8.0,29.8,9.2,32.2,12.6,19.6,28.8,26.2,5.0,19.8,18.9,,5.0,8.3,15.6,26.5,29.5,32.2,19.7
02-28,23.9,24.2,17.3,21.5,28.0,15.7,27.8,5.4,11.4,26.4,27.3,8.8,26.3,14.4,,5.4,9.6,15.6,26.3,27.6,28.0,22.7
02-29,,,17.8,,,,28.8,,,,31.6,,,,,5.4,9.6,15.6,26.3,27.6,28.0,22.7
03-01,21.5,25.1,9.5,27.8,28.2,19.0,32.8,14.5,21.6,25.6,20.7,20.8,33.2,14.1,,9.5,14.2,20.5,25.8,31.4,33.2,21.5
