date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-24,33.5,18.8,21.6,9.2,14.4,19.5,26.4,18.7,23.1,21.6,8.2,25.8,22.3,23.4,25.1,21.7,25.7,30.2,,8.2,12.9,19.7,24.9,27.6,33.5,22.0
12-25,33.3,23.3,8.2,16.4,12.7,21.2,28.7,10.0,23.5,16.7,10.2,15.3,27.0,23.4,21.1,26.6,23.7,34.6,,8.2,10.2,16.5,23.7,30.0,34.6,22.2
12-26,27.7,30.0,7.3,5.9,9.4,20.6,29.1,12.7,30.5,8.7,1.9,7.8,26.0,15.7,13.9,26.8,16.2,34.0,,1.9,6.9,9.7,26.7,30.2,34.0,15.9
12-27,27.2,25.5,1.5,12.6,15.4,16.1,26.9,12.2,30.8,6.4,7.8,19.6,29.4,10.0,15.7,18.5,13.9,28.8,,1.5,7.4,12.8,24.9,29.0,30.8,15.9
12-28,34.0,24.2,5.4,24.0,13.1,15.5,35.2,7.8,26.5,13.9,11.0,22.3,33.6,1.9,6.8,16.2,11.0,21.5,,1.9,6.4,11.2,23.8,33.7,35.2,15.8
12-29,20.0,19.0,12.8,29.3,15.6,18.4,32.4,10.8,18.6,6.6,10.4,21.6,37.8,13.1,6.6,16.3,11.8,14.4,,6.6,9.3,12.9,18.9,30.2,37.8,16.0
12-30,25.0,24.8,16.2,28.8,14.5,6.0,35.6,12.4,26.3,-0.7,6.2,25.9,37.3,18.9,10.0,18.6,20.3,22.1,,-0.7,6.1,14.7,25.0,30.9,37.3,19.6
12-31,28.8,24.6,3.6,27.9,14.9,-7.2,17.7,8.1,30.8,3.2,1.0,20.0,26.2,3.4,16.2,20.3,11.8,28.9,,-7.2,2.6,8.5,24.2,28.8,30.8,16.9
01-01,22.3,23.1,10.0,29.8,24.4,0.4,24.9,11.4,25.9,13.9,5.4,19.0,27.9,0.7,25.8,17.3,4.5,28.9,,0.4,3.3,11.6,24.8,28.2,29.8,20.6
01-02,25.0,27.4,23.4,27.6,22.7,11.3,30.9,9.3,26.5,19.0,16.2,19.4,25.2,14.0,19.4,23.6,14.9,23.8,,9.3,13.2,19.0,24.9,27.5,30.9,23.1
01-03,23.2,33.8,25.7,6.3,14.6,11.9,33.4,14.4,30.3,21.5,23.7,18.3,28.4,25.3,24.9,24.8,20.6,16.6,,6.3,13.7,18.5,25.3,31.2,33.8,23.4
01-04,20.8,25.8,23.7,-0.2,21.4,13.8,33.4,22.5,12.1,27.6,25.1,24.4,30.1,29.0,26.7,24.9,24.9,17.4,,-0.2,13.3,21.5,25.7,29.4,33.4,24.7
01-05,23.3,10.2,20.5,15.3,29.2,23.1,33.9,22.3,10.0,35.7,23.9,6.7,32.4,26.6,20.6,20.8,27.7,21.9,,6.7,10.2,20.6,26.3,32.8,35.7,22.7
01-06,33.1,12.7,14.3,21.6,27.8,24.4,29.2,21.3,23.9,35.4,24.7,1.1,30.0,20.7,22.1,23.3,33.0,24.5,,1.1,13.8,21.6,27.5,33.0,35.4,24.1
01-07,29.4,20.5,6.7,32.1,11.7,26.0,22.1,24.7,27.6,35.7,22.2,14.2,27.2,23.5,24.0,23.0,31.4,18.6,,6.7,13.4,22.1,27.1,31.6,35.7,23.8
01-08,17.1,29.6,14.3,32.4,17.7,27.0,22.5,24.5,23.5,34.6,16.8,26.0,31.0,25.3,19.6,19.0,20.6,22.2,,14.3,17.0,19.7,25.9,31.4,34.6,23.0
01-09,14.9,27.9,15.3,19.2,26.0,6.6,26.9,23.3,18.5,28.0,10.7,26.9,30.2,26.8,15.0,16.4,18.9,22.9,,6.6,13.6,16.6,26.7,27.9,30.2,21.1
01-10,25.2,27.4,19.6,23.5,23.7,-3.2,28.7,20.4,23.4,28.8,9.0,23.8,26.5,27.4,11.0,14.8,26.1,27.2,,-3.2,10.4,20.7,26.5,27.8,28.8,23.8
01-11,28.7,21.9,19.5,26.2,26.5,6.0,15.9,4.1,30.7,28.7,19.8,23.6,24.6,19.9,14.7,19.2,26.7,20.8,,4.1,12.1,19.5,26.1,28.7,30.7,21.3
01-12,15.8,9.9,16.3,26.9,26.9,19.0,17.9,-2.8,18.4,26.2,23.3,20.5,24.1,15.5,11.4,27.2,32.0,22.4,,-2.8,10.9,16.5,24.0,27.0,32.0,19.8
01-13,23.4,-0.5,18.0,30.5,25.6,26.9,26.6,-7.6,24.4,22.6,23.8,23.5,26.5,13.7,16.5,32.9,34.3,30.1,,-7.6,9.5,22.6,26.6,31.2,34.3,24.1
01-14,25.5,-4.2,17.9,31.9,25.8,28.9,30.2,-5.4,27.8,20.2,19.5,19.8,27.9,14.4,17.2,26.0,26.8,25.2,,-5.4,8.8,19.5,26.7,29.3,31.9,25.3
