date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-10,24.8,17.6,34.4,16.2,33.9,26.2,23.5,19.0,34.2,38.3,37.6,33.7,31.8,25.0,30.7,10.3,28.0,,10.3,17.0,24.5,33.7,35.7,38.3,28.0
12-11,20.6,13.6,32.1,21.5,31.0,24.7,26.3,21.2,36.4,24.9,32.9,36.7,31.1,27.1,23.5,19.9,26.6,,13.6,20.3,23.1,31.0,34.3,36.7,26.3
12-12,26.5,15.7,33.0,26.2,36.0,23.1,30.5,27.1,34.6,18.2,31.5,37.4,24.7,34.1,17.0,29.3,15.3,,15.3,16.5,24.4,31.8,35.2,37.4,27.1
12-13,31.2,17.3,22.6,24.9,40.1,22.7,28.9,23.0,25.6,29.1,31.2,35.8,21.9,33.7,21.0,31.4,13.6,,13.6,19.5,22.7,31.2,34.6,40.1,25.6
12-14,35.9,9.0,6.6,19.3,38.6,18.0,26.5,23.0,17.3,17.4,38.1,27.7,30.4,26.6,19.2,30.4,14.7,,6.6,12.4,17.9,28.3,36.8,38.6,23.0
12-15,37.6,17.2,12.6,24.4,27.2,19.3,20.5,32.3,23.3,13.8,38.2,35.8,34.2,15.8,16.9,15.0,14.3,,12.6,14.1,16.7,28.2,36.5,38.2,20.5
12-16,25.5,24.8,15.3,31.6,22.3,21.9,20.6,33.0,26.6,13.9,30.3,29.1,33.1,10.1,25.7,20.9,11.1,,10.1,12.7,20.9,27.1,32.2,33.1,24.8
12-17,16.7,25.6,15.2,28.7,23.2,29.8,27.0,35.8,24.4,18.9,7.0,20.6,30.8,20.6,26.9,15.7,19.4,,7.0,15.5,19.3,26.9,30.2,35.8,23.2
12-18,12.8,24.8,20.0,26.1,31.1,31.5,22.9,37.3,21.9,29.4,7.4,29.2,29.1,24.4,19.2,22.8,20.7,,7.4,16.7,21.7,29.1,31.2,37.3,24.4
12-19,17.5,25.8,18.4,27.5,34.1,25.1,6.5,27.7,24.3,30.9,23.5,33.8,31.2,21.6,25.5,28.0,21.3,,6.5,18.0,23.1,27.8,32.3,34.1,25.5
12-20,16.8,27.6,16.6,31.8,31.8,21.6,19.4,18.9,28.3,23.4,32.1,30.4,35.5,28.4,31.3,30.1,26.8,,16.6,18.1,23.1,30.6,32.0,35.5,28.3
12-21,24.8,9.0,26.4,29.6,31.5,19.6,26.8,21.3,34.4,26.5,31.0,11.1,35.2,35.4,35.0,32.0,26.5,,9.0,16.2,26.1,31.6,35.1,35.4,26.8
12-22,22.9,15.6,22.7,24.4,31.6,9.8,29.1,20.9,30.2,28.1,29.8,22.9,25.1,35.0,29.0,35.0,26.5,,9.8,18.8,22.9,29.3,32.9,35.0,26.5
12-23,23.3,23.3,10.0,17.4,27.9,18.6,27.7,27.9,19.6,17.6,27.2,30.2,31.9,30.8,14.1,33.4,29.2,,10.0,16.1,19.4,28.2,31.3,33.4,27.2
12-24,24.4,29.5,15.9,13.7,25.0,24.6,19.6,26.3,29.2,15.1,26.3,31.9,30.6,27.2,25.0,30.0,30.1,,13.7,15.6,24.6,29.3,30.3,31.9,26.3
12-25,32.8,8.8,23.9,13.4,28.0,31.0,15.3,25.9,16.6,11.9,13.4,33.9,25.8,21.0,29.6,26.7,34.0,,8.8,12.8,16.3,28.3,33.3,34.0,25.8
12-26,36.0,14.3,7.0,11.9,26.2,30.6,18.5,30.1,10.7,6.0,9.1,32.7,17.8,17.2,30.9,20.4,37.8,,6.0,8.2,13.8,30.2,34.0,37.8,18.5
12-27,29.6,2.9,12.0,14.6,18.5,29.8,14.3,32.8,11.2,14.2,27.6,35.8,12.0,18.2,21.6,20.1,35.1,,2.9,11.6,14.3,28.0,33.7,35.8,18.5
12-28,20.8,8.9,26.1,18.5,23.3,34.8,11.7,28.5,21.2,15.2,30.2,36.4,7.5,9.2,21.9,17.9,23.2,,7.5,9.1,17.3,23.8,32.0,36.4,21.2
12-29,21.5,17.5,33.3,20.0,23.0,37.9,15.1,20.8,13.3,10.6,28.8,40.5,14.6,15.2,16.1,17.9,19.8,,10.6,14.1,15.9,21.8,35.1,40.5,19.8
12-30,28.1,22.9,33.1,18.9,3.2,39.5,14.6,28.4,8.3,13.5,32.1,41.2,25.8,20.7,20.7,23.5,28.4,,3.2,11.4,20.3,28.4,35.7,41.2,23.5
12-31,30.4,8.7,32.9,17.0,-2.7,28.6,8.1,33.5,11.9,7.6,26.5,33.8,9.3,20.3,22.5,20.8,33.1,,-2.7,7.9,11.4,29.0,33.3,33.8,20.8
01-01,22.8,23.0,32.8,29.6,5.5,32.8,10.7,28.6,14.5,12.8,25.2,32.8,3.6,27.9,19.1,5.1,29.4,,3.6,5.3,14.2,28.8,32.8,32.8,23.0
