date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-29,-2.4,22.1,29.5,21.3,8.3,28.4,32.3,25.6,34.7,4.0,11.9,28.6,23.7,23.8,18.4,36.0,7.1,,-2.4,5.8,17.1,28.4,33.3,36.0,23.7
11-30,15.8,25.8,31.1,26.1,19.1,25.8,33.5,22.8,30.4,8.1,9.4,28.5,23.7,9.9,24.7,33.1,24.0,,8.1,9.7,22.0,26.6,31.9,33.5,24.7
12-01,14.2,21.9,36.4,25.8,28.9,12.9,33.8,30.6,28.0,13.8,13.1,30.0,15.0,18.5,15.1,36.7,26.9,,12.9,13.5,15.1,29.1,34.8,36.7,25.8
12-02,3.1,14.0,32.2,8.5,31.1,16.6,33.3,31.7,30.8,22.8,5.1,33.0,10.1,27.8,8.7,35.4,10.9,,3.1,7.1,10.7,31.2,33.1,35.4,22.8
12-03,14.7,32.7,24.6,-0.6,33.2,9.6,17.8,15.7,30.4,28.7,12.4,28.7,6.7,25.8,18.6,32.3,21.5,,-0.6,8.5,15.5,28.7,32.5,33.2,21.5
12-04,25.5,37.3,18.5,16.6,30.5,6.5,29.4,-5.8,29.0,28.2,24.9,10.7,2.0,28.6,25.3,32.9,31.4,,-5.8,4.7,18.2,29.0,32.0,37.3,25.5
12-05,28.6,30.0,25.9,11.3,27.5,-2.5,35.1,-13.3,28.7,16.8,8.5,14.5,20.5,28.3,24.3,33.7,21.7,,-13.3,4.1,16.3,28.4,31.5,35.1,24.3
12-06,27.4,25.9,36.9,-1.1,26.6,18.2,27.8,-7.8,29.0,28.2,5.7,9.6,18.4,24.2,22.5,28.5,9.1,,-7.8,3.0,16.4,27.5,28.7,36.9,24.2
12-07,26.3,25.9,32.0,9.5,24.3,24.5,22.4,6.8,25.9,33.1,-2.8,17.4,18.3,29.2,23.5,27.6,13.5,,-2.8,8.4,18.1,26.0,30.3,33.1,24.3
12-08,28.7,18.7,21.4,2.5,28.4,22.7,14.9,-0.4,27.2,33.4,12.1,24.5,17.8,25.6,25.3,25.6,15.1,,-0.4,8.3,17.3,25.6,28.5,33.4,22.7
12-09,26.7,14.6,17.3,-3.3,29.9,21.3,4.2,-0.2,28.9,36.9,28.8,25.9,14.9,19.4,27.3,22.8,16.5,,-3.3,2.4,16.2,26.8,29.3,36.9,21.3
12-10,23.1,11.5,31.4,4.4,25.7,19.2,17.4,14.9,30.4,30.8,30.4,26.2,23.8,19.6,22.5,6.6,23.2,,4.4,9.6,18.8,25.8,30.6,31.4,23.1
12-11,20.0,8.1,26.0,14.2,23.0,19.6,20.6,13.1,35.7,17.3,21.7,31.3,23.2,21.5,13.1,14.7,25.0,,8.1,13.1,16.8,23.1,28.1,35.7,20.6
12-12,23.2,12.5,28.1,20.9,33.2,19.4,24.0,20.6,36.1,9.2,20.1,31.9,19.5,27.9,8.2,27.0,17.1,,8.2,11.2,19.4,27.2,32.4,36.1,20.9
12-13,28.4,10.0,18.4,20.6,35.1,17.5,25.0,19.4,27.5,23.0,20.7,29.8,14.3,23.3,13.5,29.0,14.6,,10.0,14.0,18.2,25.5,29.3,35.1,20.7
12-14,32.9,5.4,4.4,13.1,33.2,16.3,25.0,24.0,18.1,17.6,27.7,19.7,24.4,16.6,16.9,29.2,11.5,,4.4,9.1,16.5,24.5,30.7,33.2,18.1
12-15,31.8,10.0,6.9,18.9,15.0,13.1,18.3,31.8,12.8,12.2,37.4,29.3,28.5,4.3,15.3,11.5,8.4,,4.3,7.8,12.0,20.8,31.8,37.4,15.0
12-16,14.7,17.5,6.6,27.9,2.7,15.6,15.0,30.4,22.3,9.7,25.6,25.9,28.1,4.0,19.3,16.1,4.8,,2.7,4.5,13.7,22.9,28.0,30.4,16.1
12-17,8.1,19.7,6.3,24.0,7.7,23.8,23.5,29.1,16.7,12.4,3.0,17.3,28.2,11.4,23.7,8.4,11.5,,3.0,7.1,10.8,23.6,25.7,29.1,16.7
