date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-09,35.3,26.2,35.9,26.7,26.5,13.0,17.4,27.1,32.7,39.2,24.0,38.0,30.7,22.0,38.2,11.8,29.1,18.8,,11.8,16.0,24.2,32.5,38.1,39.2,26.9
11-10,35.6,19.2,35.4,24.8,30.8,12.5,25.2,8.4,32.0,22.0,21.0,37.2,30.1,22.5,35.4,9.0,24.0,8.7,,8.4,8.9,21.1,30.8,35.5,37.2,24.4
11-11,30.1,22.1,30.4,23.3,33.9,12.1,27.0,5.7,33.8,19.5,17.0,35.9,24.6,11.8,25.3,13.3,28.5,12.6,,5.7,12.0,17.2,28.3,33.8,35.9,23.9
11-12,23.1,14.8,29.7,29.8,30.4,18.2,23.4,20.5,32.3,11.5,17.4,34.7,28.9,12.2,31.8,11.4,33.3,17.4,,11.4,12.0,17.4,29.8,32.6,34.7,23.3
11-13,21.8,22.9,34.4,33.8,18.1,17.2,22.4,22.2,32.4,21.4,25.6,33.4,33.8,26.2,32.1,22.5,34.0,15.7,,15.7,17.9,22.2,32.4,33.9,34.4,24.2
11-14,19.5,18.1,25.7,27.0,11.1,22.7,23.2,26.4,27.8,23.7,26.0,38.1,30.8,30.6,32.8,12.5,36.3,12.8,,11.1,12.7,22.7,27.7,33.9,38.1,25.8
11-15,11.4,20.3,32.1,33.0,15.3,22.3,19.8,24.1,21.6,11.7,22.5,39.6,29.7,29.4,35.2,26.0,38.4,9.0,,9.0,11.6,20.4,29.6,36.2,39.6,23.3
11-16,26.5,28.0,32.4,35.0,24.7,22.0,17.6,26.3,18.3,10.9,20.1,34.4,31.9,30.3,28.8,33.6,30.4,16.8,,10.9,17.4,22.3,30.4,33.8,35.0,27.2
11-17,20.3,26.2,34.8,37.6,28.8,18.2,25.5,28.7,20.8,16.5,21.4,15.7,22.2,22.8,35.7,30.9,23.7,17.1,,15.7,16.9,20.9,28.4,35.1,37.6,23.2
11-18,28.0,23.4,36.0,36.1,27.7,28.1,25.2,27.6,26.5,21.9,22.6,13.6,14.8,21.6,35.5,35.5,25.6,10.3,,10.3,14.5,22.7,28.0,35.7,36.1,26.1
11-19,25.1,27.3,36.8,32.7,23.6,26.3,17.2,25.5,26.7,27.3,27.5,30.1,25.0,25.4,33.3,27.0,28.2,18.0,,17.2,21.9,25.4,27.5,32.9,36.8,26.8
11-20,31.2,32.0,23.5,27.6,24.1,23.2,22.7,27.4,26.1,25.8,21.1,31.9,33.0,26.1,29.6,24.1,25.1,25.2,,21.1,23.1,24.2,27.6,32.0,33.0,25.9
11-21,30.6,30.5,10.3,28.3,17.9,15.7,22.0,30.4,20.7,23.8,20.1,27.9,34.9,28.0,24.0,21.7,25.5,24.3,,10.3,17.2,21.8,28.0,30.5,34.9,24.1
11-22,30.6,28.8,15.7,28.0,17.3,9.1,21.0,27.7,18.4,24.0,27.8,22.4,37.1,23.1,19.5,21.7,31.0,24.1,,9.1,16.8,21.1,27.8,30.7,37.1,23.6
11-23,28.6,24.4,17.3,23.9,10.3,10.6,25.4,30.2,24.0,12.7,29.6,19.0,39.4,24.0,24.6,22.6,28.5,18.6,,10.3,12.1,19.3,25.3,29.8,39.4,24.0
11-24,27.3,17.9,24.4,27.0,22.6,-9.3,25.6,30.7,26.4,11.7,24.4,14.0,34.2,16.1,27.2,16.4,18.0,23.1,,-9.3,13.3,17.9,26.3,28.3,34.2,23.7
11-25,28.0,19.3,26.2,29.8,28.5,7.2,18.7,26.4,26.1,25.7,20.7,17.7,35.1,9.7,17.8,19.8,23.5,29.8,,7.2,15.3,19.4,26.4,29.8,35.1,24.6
11-26,16.6,19.3,22.0,28.8,29.7,19.2,22.9,23.0,26.8,30.4,7.2,21.6,39.3,22.3,5.6,11.9,30.2,23.3,,5.6,10.5,19.5,26.5,30.3,39.3,22.6
11-27,5.9,17.2,19.8,28.6,27.5,16.2,32.4,27.6,27.0,35.1,10.9,17.2,32.2,29.7,11.4,19.1,31.6,19.0,,5.9,11.3,17.4,28.5,32.2,35.1,23.4
11-28,4.6,1.7,8.3,25.5,23.5,11.8,31.3,27.8,24.9,33.3,6.2,12.9,24.0,25.8,23.1,27.4,34.2,16.3,,1.7,5.7,13.2,25.7,31.9,34.2,23.8
11-29,18.7,-7.0,22.1,28.5,21.9,4.9,27.9,28.0,24.7,29.2,4.1,8.0,26.4,20.8,19.3,19.8,36.5,4.9,,-7.0,4.7,18.7,26.2,28.7,36.5,21.4
11-30,10.0,15.9,20.8,28.7,26.5,19.8,25.3,28.8,23.5,25.9,6.7,8.0,28.2,19.8,7.5,22.3,35.3,20.1,,6.7,7.9,19.8,25.9,28.7,35.3,21.5
12-01,24.2,9.1,17.4,35.3,22.7,26.2,15.6,29.2,27.1,23.8,16.2,9.4,28.4,11.7,16.8,12.6,36.4,20.2,,9.1,11.0,16.3,26.0,31.1,36.4,21.5
12-02,23.1,-1.3,9.8,28.9,6.2,28.5,15.0,26.8,27.1,28.5,23.5,3.6,28.3,10.6,26.7,8.5,37.3,10.6,,-1.3,5.4,10.6,27.1,28.6,37.3,23.3
12-03,5.9,14.4,32.3,18.2,-0.0,27.9,6.9,16.3,17.1,26.7,25.8,12.7,23.7,1.3,24.2,24.4,34.2,19.9,,-0.0,4.5,14.6,24.3,29.2,34.2,19.1
12-04,0.6,24.3,34.8,14.0,18.2,27.3,2.4,28.0,-6.4,27.3,24.0,24.3,7.9,1.0,27.3,30.1,32.8,27.9,,-6.4,0.9,14.4,27.3,30.9,34.8,24.3
12-05,10.0,24.7,27.8,23.9,10.8,23.6,-0.4,30.1,-10.5,26.2,14.1,7.6,18.7,18.2,27.0,25.8,29.7,19.9,,-10.5,5.2,14.5,25.7,28.4,30.1,21.7
12-06,5.3,25.0,23.0,34.3,0.7,21.3,21.9,23.8,-8.4,25.5,24.7,5.0,13.3,19.2,22.5,25.4,27.7,11.2,,-8.4,3.7,13.9,24.6,26.1,34.3,22.2
