date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-11,35.4,26.0,33.6,29.6,37.8,18.6,29.1,12.4,38.1,23.9,21.6,40.3,30.1,18.8,30.8,18.4,31.6,15.7,,12.4,17.6,21.8,31.5,37.9,40.3,29.3
11-12,30.2,20.7,32.4,35.7,34.7,23.0,28.6,20.4,37.2,12.9,22.0,38.9,31.6,16.8,33.5,16.0,36.0,20.4,,12.9,16.5,20.8,33.4,36.3,38.9,29.4
11-13,28.0,26.5,38.5,36.9,22.3,23.7,28.6,26.0,37.9,20.3,26.7,37.8,36.0,28.0,37.0,24.6,36.7,20.4,,20.3,21.7,26.0,36.6,37.9,38.5,28.0
11-14,25.2,22.3,30.7,29.8,17.2,28.7,28.0,28.3,33.1,29.4,29.8,40.3,35.3,33.0,35.1,17.2,39.7,16.9,,16.9,17.2,28.0,32.8,36.7,40.3,29.6
11-15,15.8,21.5,33.8,35.8,18.2,29.3,25.4,28.0,27.8,17.4,28.0,40.5,32.5,33.1,37.4,29.4,41.6,13.0,,13.0,16.9,25.7,33.0,38.3,41.6,28.7
11-16,27.8,31.3,37.0,38.8,25.0,28.4,22.1,30.4,23.8,15.1,25.9,36.0,34.3,33.2,34.2,35.6,34.8,19.9,,15.1,21.4,26.1,34.3,36.3,38.8,30.8
11-17,27.1,31.7,40.1,40.3,30.3,23.4,28.6,32.4,26.4,22.1,25.2,21.6,26.9,28.7,37.7,35.7,22.4,20.2,,20.2,21.9,25.4,31.6,38.4,40.3,27.9
11-18,33.0,29.6,39.1,38.9,30.5,29.1,30.9,32.2,28.8,28.0,29.0,19.0,19.4,23.9,39.6,37.6,30.0,13.8,,13.8,19.3,28.8,32.1,39.0,39.6,29.8
11-19,30.5,29.7,39.9,36.8,27.6,30.8,22.3,30.1,31.2,29.6,32.4,28.7,26.2,28.3,36.1,30.0,33.1,20.2,,20.2,25.1,28.8,31.2,36.3,39.9,30.1
11-20,32.9,34.1,27.4,30.4,28.6,28.0,26.5,30.2,31.6,29.1,26.7,33.8,34.2,29.8,32.7,27.4,27.4,25.3,,25.3,26.6,27.5,31.4,33.9,34.2,29.4
11-21,34.6,34.1,16.2,30.7,22.9,21.6,27.6,32.2,25.1,27.0,21.6,32.2,38.5,30.7,29.3,24.9,26.7,27.3,,16.2,21.6,25.2,30.7,34.2,38.5,27.5
11-22,33.4,34.0,19.8,29.9,21.6,16.2,26.3,31.4,20.9,28.0,29.5,28.0,41.3,27.0,23.6,25.1,35.6,28.5,,16.2,20.6,25.2,29.9,34.5,41.3,28.0
11-23,32.6,27.7,22.8,28.8,17.2,16.1,28.2,31.7,24.9,19.6,30.9,25.2,41.4,29.3,27.4,26.9,30.4,22.8,,16.1,18.9,24.9,29.2,32.0,41.4,27.5
11-24,30.8,20.9,24.5,30.5,22.6,-2.6,28.8,33.4,28.4,17.4,29.0,19.5,40.4,22.2,30.9,19.8,19.2,23.5,,-2.6,18.6,21.1,29.0,31.7,40.4,24.0
11-25,31.5,22.8,29.0,31.8,30.7,5.7,25.2,30.6,29.9,29.3,25.5,21.2,38.5,14.7,23.2,22.9,27.4,34.0,,5.7,19.3,23.4,30.6,32.5,38.5,28.2
11-26,21.6,24.4,26.2,33.4,31.9,17.4,22.6,25.2,29.1,33.9,13.4,25.4,38.8,24.1,11.7,16.6,34.8,27.0,,11.7,15.6,22.8,28.9,34.2,38.8,25.3
11-27,11.5,22.5,23.9,31.9,30.3,18.4,31.5,29.3,29.9,35.2,12.6,23.7,34.9,31.5,17.5,20.9,33.3,22.4,,11.5,16.1,22.4,31.3,33.7,35.2,26.6
