date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-01,33.5,29.6,30.6,19.2,15.6,34.1,18.3,16.2,19.2,40.6,22.7,,15.6,16.2,19.2,30.6,34.1,40.6,22.7
12-02,31.7,35.2,31.8,27.3,10.1,34.7,15.9,30.4,12.6,40.8,18.5,,10.1,12.6,18.5,31.8,35.2,40.8,30.4
12-03,24.7,22.7,31.2,27.9,15.3,29.8,10.0,30.6,25.8,38.3,24.4,,10.0,15.3,24.4,29.8,31.2,38.3,25.8
12-04,32.7,0.8,32.2,28.1,29.5,13.7,7.3,30.6,32.8,37.0,30.6,,0.8,7.3,28.1,32.2,32.8,37.0,30.6
12-05,35.2,-5.3,31.6,21.9,18.2,19.2,17.3,28.2,31.1,34.1,27.9,,-5.3,17.3,19.2,31.1,34.1,35.2,27.9
12-06,31.4,-0.3,31.1,26.3,14.5,19.8,23.9,26.3,29.7,30.8,18.7,,-0.3,14.5,19.8,29.7,31.1,31.4,26.3
12-07,25.7,7.3,30.8,33.2,5.4,21.8,24.8,28.9,31.2,29.5,19.4,,5.4,7.3,21.8,29.5,31.2,33.2,25.7
12-08,22.4,-0.2,30.7,34.2,18.3,30.2,27.2,28.0,35.6,27.2,17.9,,-0.2,17.9,22.4,30.2,34.2,35.6,27.2
12-09,9.4,0.9,32.3,38.2,32.7,32.3,24.4,23.0,32.7,26.8,18.3,,0.9,9.4,23.0,32.3,32.7,38.2,26.8
12-10,16.8,17.0,31.9,33.4,34.7,32.2,23.6,22.5,26.3,8.6,19.4,,8.6,16.8,19.4,31.9,33.4,34.7,23.6
12-11,20.9,19.3,27.1,21.7,27.5,37.4,25.9,22.6,18.3,11.8,22.5,,11.8,18.3,20.9,25.9,27.5,37.4,22.5
12-12,20.3,24.5,32.0,17.2,25.3,37.1,21.2,29.3,13.5,19.9,15.8,,13.5,15.8,19.9,25.3,32.0,37.1,21.2
12-13,23.4,21.0,25.8,25.0,26.8,33.8,19.9,27.9,12.8,22.3,14.4,,12.8,14.4,21.0,25.8,27.9,33.8,23.4
12-14,25.8,23.3,18.0,16.3,34.7,25.8,25.9,21.7,16.0,27.0,14.4,,14.4,16.0,18.0,25.8,27.0,34.7,23.3
12-15,20.6,32.6,16.8,13.3,37.8,33.9,29.4,10.8,14.7,13.4,12.1,,10.8,12.1,13.4,29.4,33.9,37.8,16.8
12-16,18.6,32.6,21.2,11.4,27.2,26.1,29.2,9.3,20.2,16.2,9.3,,9.3,9.3,16.2,26.1,29.2,32.6,20.2
12-17,25.5,35.3,21.1,14.9,4.7,19.4,27.8,17.1,20.8,14.4,17.6,,4.7,14.4,17.1,21.1,27.8,35.3,19.4
12-18,19.6,32.8,20.8,23.7,6.2,28.8,27.9,17.6,18.5,17.9,18.1,,6.2,17.6,18.1,23.7,28.8,32.8,19.6
12-19,5.0,26.2,21.6,20.9,19.9,31.8,27.3,20.8,22.5,24.2,19.5,,5.0,19.5,20.8,24.2,27.3,31.8,21.6
12-20,11.0,17.2,26.3,22.2,29.6,26.2,29.8,26.7,29.0,26.3,22.4,,11.0,17.2,22.4,26.7,29.6,29.8,26.3
12-21,17.2,17.4,30.4,24.6,26.2,12.5,30.9,29.9,33.4,28.1,23.9,,12.5,17.2,23.9,29.9,30.9,33.4,26.2
12-22,23.5,18.9,24.7,25.7,25.0,21.5,18.0,26.7,22.7,33.5,19.8,,18.0,18.9,21.5,25.0,26.7,33.5,23.5
12-23,24.4,25.2,16.6,14.8,23.1,23.4,24.7,26.1,10.9,32.4,24.4,,10.9,14.8,23.1,24.7,26.1,32.4,24.4
12-24,17.8,24.1,22.6,9.1,25.9,25.0,24.2,24.6,22.5,27.3,28.4,,9.1,17.8,22.6,25.0,27.3,28.4,24.2
12-25,11.0,27.0,14.8,10.7,12.8,28.9,22.6,20.7,26.5,25.2,30.6,,10.7,11.0,14.8,26.5,28.9,30.6,22.6
