date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-11,29.1,37.5,28.3,41.9,20.0,30.9,11.0,39.3,34.3,19.8,38.7,33.2,17.1,33.1,21.5,33.4,18.0,,11.0,17.6,21.2,33.6,39.0,41.9,30.9
11-12,21.3,35.4,32.7,38.1,25.3,32.1,22.8,39.1,28.1,24.1,39.0,35.1,17.8,35.5,22.8,37.7,20.3,,17.8,20.9,23.9,35.4,38.5,39.1,32.1
11-13,30.2,40.3,38.1,24.8,23.4,30.4,28.3,38.0,32.5,27.3,38.1,40.2,27.6,38.3,30.7,38.9,19.6,,19.6,24.2,28.1,38.1,39.5,40.3,30.7
11-14,26.1,34.8,31.3,18.1,26.5,30.3,32.1,35.0,31.0,28.9,44.4,37.4,33.3,39.8,21.1,42.4,18.9,,18.1,20.2,28.4,34.8,40.9,44.4,31.3
11-15,29.5,37.8,38.8,18.9,28.8,28.8,32.6,28.9,23.2,28.1,47.7,37.0,35.5,40.3,35.8,44.5,14.1,,14.1,21.5,28.8,37.1,42.0,47.7,32.6
11-16,37.8,38.1,41.7,28.0,30.1,25.6,33.6,26.5,15.5,22.0,39.8,40.7,35.7,35.6,39.0,38.8,21.1,,15.5,21.7,27.7,38.3,40.1,41.7,35.6
11-17,38.1,41.5,42.5,31.4,26.5,33.4,34.1,30.0,22.7,20.8,16.2,30.6,32.2,40.5,40.1,27.4,25.7,,16.2,22.0,27.2,34.9,40.9,42.5,31.4
11-18,34.8,41.5,39.9,31.1,36.1,36.0,32.9,31.1,27.1,29.2,17.4,22.5,25.7,40.3,43.7,32.5,18.4,,17.4,20.9,28.8,36.0,40.8,43.7,32.5
11-19,32.6,45.4,37.1,29.1,35.7,27.2,30.9,32.5,30.4,34.6,31.2,32.4,30.6,40.0,35.5,36.9,19.7,,19.7,28.4,30.8,35.5,38.2,45.4,32.5
11-20,36.8,31.5,34.3,29.4,32.5,29.8,32.9,30.1,30.0,28.9,37.8,38.7,30.5,32.7,32.4,29.2,27.3,,27.3,29.1,30.0,32.7,37.2,38.7,31.5
11-21,38.2,15.8,35.0,26.8,22.0,29.8,36.4,29.5,28.8,25.8,31.0,39.0,31.5,27.3,30.9,28.5,29.2,,15.8,24.3,28.3,31.1,37.1,39.0,29.5
11-22,38.4,19.4,35.7,26.7,16.1,28.5,33.0,24.4,30.6,31.4,25.6,41.6,28.7,24.5,28.9,35.6,28.1,,16.1,22.4,26.4,31.7,36.8,41.6,28.7
