date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
01-20,15.7,22.0,34.9,22.3,14.9,29.6,22.3,25.7,17.9,20.1,20.5,18.0,30.0,30.3,23.2,20.9,11.5,,11.5,15.4,19.7,23.7,30.1,34.9,22.0
01-21,8.2,11.9,35.0,24.3,25.1,28.1,25.4,25.5,8.2,19.9,20.2,10.9,22.3,29.3,26.0,20.9,12.1,,8.2,9.8,18.3,25.4,28.6,35.0,22.3
01-22,13.4,10.2,35.4,22.5,20.3,16.9,30.2,22.5,17.2,31.4,19.3,14.2,10.8,26.0,27.7,17.3,11.3,,10.2,11.1,16.3,23.2,30.6,35.4,19.3
01-23,24.4,10.7,30.7,17.3,17.7,22.4,35.5,18.0,20.5,29.9,21.9,18.6,17.9,26.4,23.2,23.4,14.3,,10.7,16.1,18.0,23.6,30.2,35.5,21.9
01-24,28.2,18.3,30.6,13.5,18.5,17.5,32.5,23.8,26.0,21.7,14.4,27.8,21.0,26.3,18.0,22.7,13.5,,13.5,14.0,18.2,26.1,29.2,32.5,21.7
01-25,29.7,18.5,25.2,17.4,23.4,28.1,30.7,27.3,33.2,14.5,9.8,24.8,19.8,28.0,14.0,15.8,12.8,,9.8,13.6,17.1,27.4,30.1,33.2,23.4
01-26,25.2,23.1,10.8,24.4,21.0,26.8,31.5,25.4,39.0,15.8,7.1,14.4,21.6,32.3,13.5,15.4,17.8,,7.1,12.4,15.7,25.2,31.8,39.0,21.6
01-27,16.4,25.9,6.2,23.2,26.1,11.6,25.8,24.2,36.8,24.6,7.7,20.3,26.7,22.9,18.8,11.1,22.8,,6.2,9.7,18.3,24.8,26.4,36.8,22.9
01-28,19.0,13.6,16.1,19.4,31.2,14.3,11.1,18.0,30.5,30.0,19.4,27.5,19.0,24.2,27.6,20.7,18.0,,11.1,14.0,18.0,24.9,30.2,31.2,19.4
01-29,18.9,8.8,16.2,21.5,29.7,26.7,11.4,29.6,27.4,31.3,26.5,31.6,19.0,19.5,27.2,26.7,15.6,,8.8,13.9,19.0,27.3,30.3,31.6,26.5
01-30,19.4,7.8,22.2,23.4,28.5,25.6,21.1,21.9,29.1,22.2,29.8,37.4,21.2,18.3,18.3,25.7,0.7,,0.7,14.1,20.8,25.6,29.4,37.4,22.2
01-31,10.5,12.3,23.2,21.7,16.8,19.5,24.5,13.0,26.3,12.5,31.6,32.3,24.1,23.8,22.8,22.5,6.9,,6.9,11.6,16.0,23.9,28.4,32.3,22.5
02-01,5.4,11.7,18.2,17.8,-7.7,24.5,23.4,11.1,24.8,11.2,32.1,30.9,28.8,32.2,31.5,3.9,19.3,,-7.7,4.8,11.6,25.6,31.7,32.2,19.3
