date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-28,30.8,25.5,38.2,10.8,17.5,27.3,30.7,27.2,28.0,36.0,25.1,,10.8,17.5,25.5,30.7,36.0,38.2,27.3
11-29,33.4,24.6,37.6,7.2,14.8,31.8,27.5,22.2,25.2,38.6,8.5,,7.2,8.5,22.2,31.8,37.6,38.6,25.2
11-30,33.1,25.4,34.1,11.7,11.2,34.5,24.4,12.2,25.7,36.6,18.0,,11.2,11.7,18.0,33.1,34.5,36.6,25.4
12-01,33.8,30.4,30.2,18.3,15.5,34.2,18.1,17.4,18.7,39.1,25.4,,15.5,17.4,18.3,30.4,34.2,39.1,25.4
12-02,32.3,36.0,31.2,26.6,9.0,34.3,15.4,29.7,11.4,38.5,18.7,,9.0,11.4,18.7,32.3,36.0,38.5,29.7
12-03,24.8,23.5,31.6,27.6,14.3,29.5,8.2,29.9,24.4,35.6,25.0,,8.2,14.3,24.4,29.5,31.6,35.6,25.0
12-04,32.9,-0.3,32.4,27.7,29.6,13.2,7.7,29.7,31.6,34.7,31.0,,-0.3,7.7,27.7,31.6,32.9,34.7,29.7
12-05,35.6,-5.7,30.7,21.4,19.7,18.7,19.8,27.7,28.9,33.8,28.2,,-5.7,18.7,19.8,28.9,33.8,35.6,27.7
12-06,31.3,0.5,31.1,27.0,15.0,19.3,23.6,26.3,28.2,30.5,16.8,,0.5,15.0,19.3,28.2,31.1,31.3,26.3
12-07,26.1,7.5,28.7,33.0,4.6,21.5,24.9,30.4,28.5,28.0,19.4,,4.6,7.5,21.5,28.5,30.4,33.0,26.1
12-08,22.9,-0.1,28.9,34.2,19.5,30.3,26.6,27.6,32.0,26.4,17.8,,-0.1,17.8,22.9,28.9,32.0,34.2,26.6
12-09,9.3,1.1,29.7,38.5,33.0,31.6,21.9,21.6,30.7,26.4,18.7,,1.1,9.3,21.6,30.7,33.0,38.5,26.4
12-10,18.0,15.8,29.8,33.5,35.6,30.7,24.4,21.3,26.0,7.3,20.2,,7.3,15.8,20.2,29.8,33.5,35.6,24.4
12-11,21.1,17.2,28.0,22.0,27.6,35.2,25.5,22.6,17.7,12.9,22.4,,12.9,17.2,21.1,25.5,28.0,35.2,22.4
12-12,22.0,23.1,31.1,16.6,26.5,34.9,20.8,29.9,13.2,20.7,15.4,,13.2,15.4,20.7,26.5,31.1,34.9,22.0
12-13,23.0,20.8,25.5,25.1,28.1,33.4,18.0,28.3,14.4,23.0,13.9,,13.9,14.4,20.8,25.5,28.3,33.4,23.0
12-14,25.3,22.1,16.8,16.0,35.6,25.5,25.4,21.2,15.9,26.1,13.6,,13.6,15.9,16.8,25.4,26.1,35.6,22.1
12-15,20.3,31.5,16.5,13.1,38.3,32.9,28.9,9.5,14.8,12.3,12.1,,9.5,12.1,13.1,28.9,32.9,38.3,16.5
12-16,18.5,31.6,21.0,11.8,27.5,25.4,27.7,8.2,20.3,16.7,8.1,,8.1,8.2,16.7,25.4,27.7,31.6,20.3
12-17,26.3,33.8,20.1,15.8,4.2,19.7,27.5,15.3,20.8,13.5,15.9,,4.2,13.5,15.8,20.8,27.5,33.8,19.7
12-18,20.0,32.8,19.9,24.3,5.4,28.3,28.0,16.6,18.2,17.3,16.8,,5.4,16.6,17.3,24.3,28.3,32.8,19.9
12-19,4.6,26.3,21.4,21.9,20.1,31.3,27.6,19.4,22.1,23.5,19.2,,4.6,19.2,20.1,23.5,27.6,31.3,21.9
