date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-08,33.4,23.0,27.0,14.0,38.8,30.9,34.5,5.4,35.2,41.9,28.9,32.5,30.7,31.3,41.7,30.9,23.0,,5.4,19.4,28.5,33.7,40.0,41.9,30.9
12-09,32.2,20.3,20.5,15.3,39.4,31.5,18.0,8.4,37.0,44.6,38.8,39.6,30.7,24.8,39.7,28.8,27.3,,8.4,16.9,23.9,37.4,39.6,44.6,30.7
12-10,25.5,21.4,38.7,23.4,38.1,30.6,25.9,27.9,36.5,38.3,35.4,41.2,31.6,32.5,32.9,14.4,29.7,,14.4,22.6,27.5,35.6,38.4,41.2,31.6
12-11,23.9,17.6,37.8,24.4,33.6,27.0,29.3,26.4,36.5,27.3,36.1,44.1,37.2,30.9,27.5,26.4,27.7,,17.6,24.2,26.9,34.1,37.4,44.1,27.7
12-12,32.0,21.9,34.7,27.3,39.9,23.9,30.9,31.3,33.4,19.4,35.6,43.2,28.0,38.1,18.7,31.5,17.2,,17.2,19.1,26.6,33.7,38.8,43.2,31.3
12-13,35.4,19.4,24.4,26.2,45.7,23.9,29.8,27.0,25.9,31.6,34.7,41.5,27.1,37.6,22.3,32.0,15.3,,15.3,21.1,25.6,32.5,39.2,45.7,27.1
12-14,40.1,10.9,9.7,23.2,39.7,21.4,26.2,25.3,20.3,18.1,38.7,30.0,32.4,29.8,20.5,30.9,16.3,,9.7,14.2,20.4,30.2,39.1,40.1,25.3
12-15,39.2,21.4,14.4,27.0,31.8,22.1,21.2,38.3,24.3,14.5,37.6,40.3,38.3,18.5,20.5,18.5,17.2,,14.4,16.2,20.1,33.0,38.7,40.3,22.1
12-16,31.6,27.1,18.0,37.4,26.2,25.3,21.9,41.4,27.1,16.3,31.3,31.3,36.7,12.2,30.7,23.0,15.1,,12.2,15.8,22.8,31.3,37.0,41.4,27.1
12-17,18.9,27.7,17.4,35.1,26.1,32.9,25.3,41.4,26.2,23.4,9.7,24.4,32.7,23.4,27.5,19.0,27.7,,9.7,18.3,23.4,27.7,33.8,41.4,26.1
12-18,16.7,26.1,20.3,30.2,31.6,32.0,25.5,40.6,25.7,33.3,12.2,33.1,32.2,23.5,21.2,30.0,27.1,,12.2,18.9,25.1,31.7,33.2,40.6,27.1
12-19,18.9,27.3,18.1,32.0,34.0,27.0,8.4,29.7,27.9,30.7,28.2,38.3,34.5,25.5,32.0,33.3,28.4,,8.4,18.6,27.2,32.0,34.2,38.3,28.4
12-20,18.7,26.4,23.0,36.3,33.3,26.2,18.9,21.4,31.8,24.4,39.2,30.9,39.9,33.4,37.8,34.5,30.9,,18.7,20.4,25.9,33.7,38.3,39.9,30.9
12-21,30.9,10.2,28.2,31.3,32.4,23.5,27.9,23.7,37.4,26.6,36.3,11.5,37.6,37.0,39.4,38.1,30.7,,10.2,18.7,27.6,36.5,37.8,39.4,30.9
12-22,23.9,18.9,24.1,25.3,32.0,10.2,29.7,23.5,34.0,28.0,29.7,26.6,30.6,32.7,32.5,36.7,31.3,,10.2,21.7,25.1,31.4,33.2,36.7,29.7
12-23,25.5,26.4,13.8,17.4,29.3,21.2,28.6,31.8,22.5,21.4,29.1,35.1,35.4,30.2,16.3,32.5,33.6,,13.8,17.0,22.2,30.5,34.2,35.4,28.6
12-24,28.6,33.1,16.9,16.5,27.9,28.4,21.2,32.5,32.2,18.9,25.7,36.3,33.3,27.5,27.7,30.9,34.2,,16.5,18.1,27.1,32.3,33.6,36.3,28.4
12-25,39.6,11.3,24.4,15.8,28.6,37.8,16.5,30.4,18.0,13.3,15.3,38.5,25.7,21.2,32.0,27.0,38.5,,11.3,14.5,17.7,30.7,38.5,39.6,25.7
12-26,38.3,18.0,9.0,16.3,28.0,37.2,17.8,36.3,11.5,7.5,12.9,37.4,19.6,19.6,32.5,21.7,41.5,,7.5,10.5,17.5,33.3,37.8,41.5,19.6
12-27,30.0,5.7,15.1,18.9,22.8,36.3,15.4,38.7,14.7,21.0,32.5,41.2,14.4,19.8,23.0,20.8,35.2,,5.7,14.6,18.2,30.5,37.3,41.2,21.0
12-28,21.7,14.0,32.4,19.0,25.3,40.6,15.8,32.5,26.6,19.8,36.3,43.2,9.3,10.8,22.6,19.2,25.0,,9.3,12.7,19.2,27.8,38.0,43.2,22.6
12-29,21.7,20.7,38.7,21.0,23.4,42.1,15.3,24.3,18.7,16.5,33.6,45.7,15.6,17.2,18.1,18.7,23.0,,15.3,16.2,18.6,23.5,40.0,45.7,21.0
12-30,32.4,27.3,41.4,20.3,4.5,41.5,16.9,34.9,12.4,17.8,34.5,45.0,31.1,22.1,24.8,23.9,28.8,,4.5,15.1,21.7,32.8,41.4,45.0,27.3
12-31,37.0,12.6,37.0,20.8,0.5,34.7,11.1,39.0,13.3,12.9,31.3,39.7,10.9,24.1,25.0,24.1,33.1,,0.5,11.0,13.2,33.4,37.8,39.7,24.1
01-01,26.1,21.2,37.9,36.1,13.1,39.7,14.4,33.6,16.0,16.3,27.1,38.7,5.7,32.2,22.8,6.4,30.6,,5.7,10.4,16.3,32.5,38.2,39.7,26.1
01-02,33.1,28.8,35.2,30.9,24.4,38.3,21.2,38.8,20.8,24.3,24.4,35.4,21.4,21.7,30.2,24.4,21.4,,20.8,21.3,23.8,31.4,36.6,38.8,24.4
01-03,41.7,32.7,17.2,29.7,21.4,41.5,20.3,38.7,27.7,28.6,24.8,37.2,35.1,31.1,31.6,29.8,19.6,,17.2,20.0,27.1,33.2,39.8,41.7,29.8
01-04,34.5,31.1,13.3,32.0,20.5,41.7,30.7,24.3,35.2,25.0,28.4,40.8,38.1,35.6,33.1,33.1,24.8,,13.3,22.7,27.7,34.7,39.2,41.7,32.0
01-05,12.2,30.2,21.0,36.1,28.9,42.3,32.7,17.6,40.6,25.9,26.1,38.3,30.0,31.1,28.2,36.0,27.9,,12.2,19.7,27.5,33.4,39.2,42.3,30.0
01-06,22.3,23.9,25.5,35.2,31.3,39.4,23.4,30.9,43.0,26.6,11.5,36.3,25.2,27.5,34.9,39.9,26.1,,11.5,22.9,25.4,35.0,39.6,43.0,27.5
01-07,24.6,19.9,34.7,28.2,32.2,26.8,28.0,35.4,42.8,21.6,24.1,33.3,26.6,32.5,34.0,37.2,25.3,,19.9,23.1,26.3,33.4,36.1,42.8,28.2
01-08,34.5,19.2,40.3,31.6,32.5,21.0,29.5,32.0,42.4,19.2,34.7,33.4,30.2,28.9,31.5,27.9,27.5,,19.2,20.3,28.7,32.7,36.9,42.4,31.5
