date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
12-17,6.1,23.0,6.4,23.4,10.4,24.4,23.2,30.1,15.0,12.3,0.8,15.0,28.7,9.9,25.3,8.0,12.1,,0.8,6.2,10.3,23.2,26.7,30.1,15.0
12-18,3.2,25.2,15.2,14.4,26.5,27.1,11.4,34.0,12.3,26.1,-0.3,26.8,27.6,21.6,14.4,13.4,13.2,,-0.3,8.1,13.4,26.2,27.3,34.0,15.2
12-19,13.2,25.0,10.9,22.3,30.5,16.1,-1.7,25.8,21.0,29.1,22.2,28.7,22.2,15.9,20.1,24.9,16.9,,-1.7,12.3,16.8,24.9,28.8,30.5,22.2
12-20,11.0,25.2,2.4,32.0,19.5,18.4,16.3,14.2,24.4,19.6,34.0,25.9,26.8,21.6,30.3,28.5,21.9,,2.4,12.9,19.3,26.1,31.0,34.0,21.9
12-21,16.4,5.4,21.6,26.9,22.9,13.6,26.1,15.1,28.4,21.1,21.6,8.1,28.3,31.0,32.2,26.0,19.3,,5.4,11.4,18.8,26.3,29.5,32.2,21.6
12-22,18.0,9.5,19.0,22.1,30.0,4.8,26.1,16.2,19.4,20.0,21.0,17.0,10.6,36.1,20.2,30.7,8.9,,4.8,9.3,16.8,21.2,30.3,36.1,19.4
12-23,18.5,17.5,5.1,13.8,23.8,11.2,22.3,24.9,9.6,9.6,22.5,16.9,21.3,30.4,4.3,30.4,23.1,,4.3,7.8,13.3,22.6,27.1,30.4,18.5
12-24,14.1,24.4,10.7,6.7,19.5,17.1,16.7,16.5,25.1,7.2,25.6,18.6,19.9,25.0,15.1,23.2,25.0,,6.7,9.3,16.2,23.5,25.1,25.6,18.6
12-25,28.6,3.8,20.2,7.6,26.2,27.0,9.4,15.4,13.3,3.1,12.3,22.6,22.7,14.1,21.3,21.2,29.2,,3.1,6.1,13.1,22.7,27.6,29.2,20.2
12-26,32.6,5.4,2.4,8.1,25.5,24.4,15.5,23.2,3.5,-6.4,5.2,22.0,10.3,6.7,25.4,12.4,32.7,,-6.4,3.1,6.5,23.5,28.4,32.7,12.4
12-27,28.6,-3.0,11.2,13.6,15.7,24.6,7.6,25.3,6.9,5.6,23.1,27.3,4.2,11.4,11.8,11.8,33.5,,-3.0,5.0,10.5,23.4,27.8,33.5,11.8
