date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-30,10.8,17.9,20.4,28.4,27.0,18.7,26.8,30.6,23.5,29.2,8.1,10.3,28.5,22.5,10.1,22.0,35.5,18.9,,8.1,10.3,18.8,27.0,29.6,35.5,22.2
12-01,24.0,10.0,17.5,37.0,25.6,25.5,17.8,30.3,27.3,26.3,17.6,11.3,30.7,14.5,16.0,16.2,36.1,21.3,,10.0,13.6,17.5,26.2,32.3,37.0,22.6
12-02,23.1,-0.8,10.0,28.8,8.5,28.4,16.4,28.2,30.1,30.3,23.4,7.3,29.0,12.7,25.6,10.6,37.2,13.2,,-0.8,8.1,12.8,28.4,30.2,37.2,23.3
12-03,6.2,16.6,33.8,19.8,2.2,30.4,9.2,18.7,20.1,28.3,25.5,14.8,26.1,4.6,24.8,22.2,34.8,19.6,,2.2,5.7,16.8,25.4,31.4,34.8,19.9
12-04,0.5,25.3,36.0,13.9,15.9,28.9,3.9,28.2,-3.7,28.7,25.0,24.9,12.0,2.7,27.7,28.2,33.6,28.9,,-3.7,2.0,14.1,28.2,30.3,36.0,25.2
12-05,11.6,25.2,28.8,25.5,11.7,25.6,1.8,30.9,-9.2,27.9,17.4,11.4,19.3,17.5,28.5,25.8,32.9,22.6,,-9.2,8.5,17.4,25.8,29.5,32.9,23.9
12-06,5.0,25.7,22.6,35.1,2.5,22.9,19.3,25.9,-7.5,27.5,23.7,6.6,16.0,18.9,24.1,24.6,30.3,12.5,,-7.5,4.2,16.3,24.6,28.3,35.1,22.8
12-07,-9.9,24.7,22.5,30.6,7.0,23.0,24.3,22.7,2.7,26.8,30.0,0.7,21.6,19.3,26.2,27.0,26.6,15.4,,-9.9,2.1,19.6,26.1,27.9,30.6,22.8
12-08,10.9,22.5,16.4,19.1,1.8,28.3,22.2,15.9,-1.3,28.8,32.4,11.2,31.0,18.3,24.9,28.8,26.0,12.5,,-1.3,8.2,16.0,25.9,29.5,32.4,20.7
12-09,23.5,18.4,10.5,20.0,-2.6,29.0,22.5,3.6,-0.9,29.5,34.0,25.6,31.5,18.0,18.6,27.6,23.7,13.0,,-2.6,2.3,18.0,25.4,30.1,34.0,21.3
12-10,25.0,15.4,8.7,31.0,5.8,24.7,18.9,15.6,12.0,29.4,28.5,28.3,30.2,23.0,20.2,23.4,11.8,16.9,,5.8,10.9,15.7,24.9,29.6,31.0,21.6
12-11,22.8,16.3,8.2,24.9,13.0,23.3,17.9,18.6,14.2,28.4,18.6,21.4,35.8,23.4,18.7,12.8,10.0,20.9,,8.2,12.0,16.5,22.7,25.9,35.8,18.7
12-12,19.4,21.3,13.0,23.5,18.9,30.1,16.9,17.5,20.7,31.8,13.1,20.8,35.4,18.4,25.8,9.7,16.8,15.6,,9.7,13.1,17.0,21.2,30.6,35.4,19.2
12-13,14.3,27.1,7.7,14.4,18.3,33.1,17.7,21.3,19.6,25.9,21.8,21.0,32.2,18.3,23.1,12.7,22.9,13.2,,7.7,13.1,17.8,22.8,28.7,33.1,20.3
12-14,9.7,31.8,2.9,-1.8,12.9,30.1,14.1,23.6,23.4,17.5,15.9,26.8,24.5,22.5,16.6,15.1,24.4,12.9,,-1.8,7.7,14.2,23.6,27.8,31.8,17.1
12-15,12.9,28.0,8.8,1.0,17.0,16.7,12.9,17.7,31.9,13.6,11.7,33.5,30.1,26.3,5.5,15.7,16.6,6.2,,1.0,6.0,12.9,17.6,30.6,33.5,16.2
12-16,6.8,14.8,13.8,3.6,26.1,6.7,16.8,14.3,29.5,20.1,7.9,23.2,26.7,25.0,6.3,18.3,11.7,6.0,,3.6,6.2,8.3,19.9,26.3,29.5,14.6
12-17,9.1,6.5,17.3,3.0,20.9,9.9,24.4,21.0,30.9,17.2,11.0,4.8,19.6,24.7,15.1,18.7,10.7,13.0,,3.0,6.0,10.7,19.5,24.5,30.9,16.2
12-18,16.0,1.1,16.4,12.4,16.6,23.9,25.4,14.4,30.8,13.4,20.7,3.3,27.0,25.2,16.0,17.0,12.7,12.6,,1.1,9.6,13.5,20.3,25.9,30.8,16.2
12-19,25.5,14.4,19.6,7.1,22.5,28.0,20.9,3.0,24.0,17.8,19.8,16.6,28.2,25.9,17.0,22.2,17.8,14.1,,3.0,12.0,17.1,22.5,26.5,28.2,19.7
12-20,29.1,20.0,18.7,-0.3,28.4,22.8,21.7,10.2,14.1,20.8,21.3,29.1,24.5,26.2,21.6,28.9,22.3,18.3,,-0.3,12.9,20.1,24.3,29.0,29.1,21.6
12-21,33.7,21.4,4.6,15.8,23.4,23.3,15.0,15.5,16.6,28.2,17.7,23.6,15.0,27.3,26.4,29.7,24.3,19.6,,4.6,15.0,16.7,24.2,28.7,33.7,22.3
12-22,32.4,17.7,15.0,12.5,18.9,27.8,10.2,18.1,16.1,21.8,20.5,20.4,19.8,15.6,27.3,18.6,24.3,13.3,,10.2,13.1,16.3,20.5,27.5,32.4,18.7
12-23,28.4,18.7,19.8,-1.4,17.6,23.7,21.9,19.8,23.7,15.6,9.4,19.0,19.7,20.6,25.6,10.4,25.1,21.7,,-1.4,10.1,18.7,21.8,25.2,28.4,19.8
12-24,31.3,15.9,22.5,3.3,11.4,19.1,25.5,16.8,21.0,23.0,3.9,24.1,20.2,20.1,23.5,20.6,25.0,26.4,,3.3,9.2,19.2,23.5,25.7,31.3,20.8
12-25,28.0,28.6,1.6,12.6,9.3,20.0,27.6,9.7,24.5,13.9,8.4,13.8,25.1,22.0,18.0,22.9,21.8,30.0,,1.6,9.0,13.8,24.3,28.1,30.0,20.9
12-26,24.5,28.2,4.4,-1.4,7.8,17.7,27.2,10.0,28.9,6.2,1.9,5.0,25.8,14.0,10.1,23.5,16.3,31.2,,-1.4,3.6,8.0,24.4,28.4,31.2,15.2
12-27,23.4,22.6,-4.5,12.0,12.9,12.2,24.1,8.2,28.9,5.8,7.0,17.4,28.2,7.5,13.1,14.8,11.7,27.8,,-4.5,6.6,11.8,22.1,27.9,28.9,13.0
12-28,32.7,21.2,0.3,23.6,9.9,15.6,30.6,4.9,23.5,10.5,8.5,21.1,31.4,0.1,5.2,12.7,7.8,19.0,,0.1,3.6,8.7,21.2,30.8,32.7,14.2
12-29,14.3,20.8,7.2,26.7,11.4,17.0,30.9,6.6,18.6,2.4,7.0,21.2,36.8,15.3,5.4,15.0,6.9,10.5,,2.4,6.2,7.5,18.4,28.0,36.8,14.6
12-30,21.7,26.5,10.5,25.1,11.2,3.3,32.7,7.8,24.0,-4.3,2.0,23.7,36.6,17.1,7.8,17.1,13.5,20.0,,-4.3,2.9,10.6,23.5,28.4,36.6,17.1
12-31,26.4,24.1,-2.4,23.6,13.5,-11.9,16.9,4.4,26.9,1.5,-2.2,18.4,24.9,0.6,16.0,17.1,12.6,27.8,,-11.9,-2.3,5.2,23.1,26.6,27.8,16.5
01-01,19.2,18.3,11.8,28.0,22.5,-1.8,25.2,10.0,25.2,13.8,3.2,16.6,26.2,2.0,23.2,13.3,5.2,27.6,,-1.8,2.8,11.9,23.1,26.7,28.0,17.5
01-02,21.3,26.1,19.8,23.4,20.2,10.9,28.0,11.5,25.3,19.3,13.9,17.1,25.8,16.4,18.9,17.8,10.9,22.3,,10.9,11.4,17.2,22.2,25.8,28.0,19.5
01-03,18.7,30.6,25.7,-0.1,13.9,9.9,30.6,13.6,28.4,18.3,21.5,15.1,25.6,26.2,22.2,19.9,16.7,13.6,,-0.1,12.5,15.3,25.3,29.0,30.6,19.3
01-04,17.6,21.1,22.6,-5.1,21.3,10.6,30.6,21.3,9.6,22.5,24.4,22.5,28.2,27.7,24.0,22.3,20.1,11.7,,-5.1,10.3,20.2,22.5,27.9,30.6,21.8
01-05,27.8,4.7,16.5,10.1,25.9,18.1,31.7,22.2,7.5,32.1,22.2,4.8,29.8,25.0,17.0,18.8,24.3,20.7,,4.7,6.7,17.1,25.0,30.4,32.1,21.4
01-06,31.3,8.5,9.3,17.4,24.4,24.2,27.7,17.9,22.2,33.6,22.9,1.1,27.1,17.8,18.7,22.0,29.0,21.3,,1.1,9.1,18.0,24.4,29.7,33.6,22.1
01-07,25.6,18.5,0.1,29.4,12.9,26.3,19.5,21.6,23.6,33.6,18.4,12.3,25.1,20.3,20.7,19.7,28.9,15.0,,0.1,12.7,18.6,25.0,29.0,33.6,20.5
01-08,11.8,29.8,8.4,28.8,20.4,23.2,21.7,21.2,18.1,33.0,14.7,27.3,29.1,22.0,16.1,15.0,22.2,19.0,,8.4,13.8,18.2,23.1,29.3,33.0,21.4
01-09,15.8,25.2,9.7,12.8,24.8,5.7,28.2,20.7,14.5,26.0,9.3,26.1,29.1,23.6,9.4,13.8,16.1,20.4,,5.7,9.4,13.9,24.7,26.8,29.1,18.2
01-10,28.0,24.7,16.0,19.0,20.5,-4.8,26.5,18.3,22.2,27.9,7.5,21.4,25.9,24.5,7.8,10.9,18.3,26.0,,-4.8,7.7,18.3,24.7,26.9,28.0,21.0
01-11,26.1,17.6,14.9,23.8,23.7,5.2,14.8,2.4,27.7,25.8,20.6,21.4,22.4,18.3,12.3,16.7,22.7,17.7,,2.4,10.2,16.8,22.7,25.8,27.7,19.4
01-12,13.1,8.4,12.6,22.7,24.5,18.6,16.0,-7.4,16.8,24.2,22.2,17.1,22.2,11.8,6.7,25.8,27.2,19.0,,-7.4,7.9,13.4,22.2,24.9,27.2,17.8
01-13,26.1,-3.0,15.2,29.1,22.3,26.0,24.3,-10.7,25.5,20.8,21.0,21.2,24.5,10.4,14.1,29.9,29.8,27.2,,-10.7,6.4,20.8,26.0,29.3,29.9,23.3
01-14,21.9,-5.8,22.6,29.1,22.7,26.1,26.6,-6.6,27.9,20.8,16.8,16.6,27.0,11.5,16.4,23.8,26.1,24.2,,-6.6,6.3,17.2,25.9,27.2,29.1,22.7
01-15,14.2,8.2,9.5,25.1,23.1,26.8,23.8,13.6,29.7,25.3,15.3,17.9,25.2,22.4,12.3,32.1,25.5,19.0,,8.2,11.4,15.6,25.2,27.7,32.1,22.8
01-16,8.6,9.3,-4.8,28.2,28.0,31.6,9.6,23.7,29.9,28.8,18.0,15.2,20.4,23.1,19.2,30.1,28.0,16.3,,-4.8,9.1,16.5,28.0,30.0,31.6,21.7
01-17,24.4,9.8,9.4,24.0,24.4,28.9,3.7,22.9,32.1,25.0,23.4,18.1,25.3,23.2,13.8,31.6,28.0,18.6,,3.7,9.7,19.0,24.9,29.7,32.1,23.7
01-18,18.0,12.6,7.9,26.0,20.6,25.0,23.8,23.0,27.7,31.4,23.2,21.8,30.9,18.8,13.8,15.9,25.9,11.5,,7.9,12.2,18.0,24.9,28.6,31.4,22.4
01-19,9.3,17.1,17.5,29.0,19.1,17.1,31.0,27.6,26.9,28.2,18.4,19.5,29.5,21.6,18.4,11.2,21.4,8.9,,8.9,10.6,17.6,26.4,29.2,31.0,19.3
01-20,7.9,13.8,15.1,26.3,19.3,18.4,28.2,26.7,24.9,17.7,17.6,14.7,22.3,23.7,23.5,18.3,19.3,12.3,,7.9,13.4,17.6,23.4,26.4,28.2,18.9
01-21,6.3,5.9,7.5,29.5,19.4,27.0,23.7,28.9,25.5,10.1,20.3,18.2,11.4,18.8,23.5,21.3,18.5,16.3,,5.9,7.1,16.5,23.3,27.6,29.5,19.1
01-22,7.9,21.1,5.9,33.7,18.5,19.4,16.1,31.0,23.4,20.3,25.7,11.9,11.5,11.8,22.1,22.0,16.9,11.1,,5.9,10.1,12.3,21.9,27.3,33.7,19.0
01-23,24.4,30.0,7.3,26.1,12.9,21.0,15.8,30.5,17.4,23.2,24.7,16.2,14.6,20.0,22.4,19.6,22.5,15.4,,7.3,14.1,16.3,23.1,27.2,30.5,20.5
01-24,23.2,26.5,11.1,26.2,13.2,18.3,15.1,28.2,26.4,28.7,19.0,9.6,20.8,19.5,21.7,10.5,26.2,15.9,,9.6,10.9,16.2,25.9,27.0,28.7,20.1
01-25,21.4,24.6,11.4,19.4,15.3,19.7,25.9,24.9,31.9,37.1,14.2,4.2,19.1,20.5,22.5,8.4,18.0,9.6,,4.2,9.2,15.6,22.4,27.7,37.1,19.6
01-26,20.5,23.4,14.0,7.3,17.5,22.4,23.7,27.4,28.9,34.9,19.3,0.2,10.4,24.4,26.8,9.6,14.6,16.3,,0.2,8.9,14.8,23.7,27.8,34.9,19.9
01-27,13.6,12.7,16.4,9.0,18.7,30.0,14.8,22.6,24.6,30.2,26.7,11.2,15.9,28.9,20.4,10.1,14.7,18.6,,9.0,10.9,14.7,22.4,29.2,30.2,17.5
01-28,11.9,15.8,8.5,13.0,19.4,29.4,18.7,9.4,20.2,28.6,29.7,24.6,25.9,18.1,19.8,18.7,17.2,13.2,,8.5,11.2,15.9,20.1,28.9,29.7,18.7
