date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-27,34.1,34.1,39.5,16.6,23.6,38.7,35.1,22.3,18.2,34.1,25.0,,16.6,18.2,23.6,34.1,38.7,39.5,34.1
11-28,36.2,31.6,38.4,13.0,19.6,30.7,31.6,29.9,28.0,38.2,26.2,,13.0,19.6,28.0,31.6,38.2,38.4,30.7
11-29,36.2,29.8,36.8,10.6,16.2,32.8,30.7,24.2,27.2,39.8,10.5,,10.5,10.6,24.2,32.8,36.8,39.8,29.8
11-30,36.7,29.1,34.8,10.9,14.7,35.2,26.4,15.6,29.5,35.2,25.9,,10.9,14.7,25.9,34.8,35.2,36.7,29.1
12-01,36.5,30.1,29.8,16.0,18.4,34.3,20.8,25.4,21.4,37.9,32.1,,16.0,18.4,21.4,32.1,36.5,37.9,29.8
12-02,37.1,35.5,35.2,26.2,11.9,35.6,17.2,31.1,15.1,40.5,22.5,,11.9,15.1,22.5,35.5,37.1,40.5,31.1
12-03,28.0,24.7,35.2,34.1,14.3,31.0,8.4,31.6,24.2,38.0,30.7,,8.4,14.3,24.7,31.6,35.2,38.0,30.7
12-04,36.8,2.1,35.8,32.4,27.1,15.4,13.7,35.1,31.0,36.0,36.0,,2.1,13.7,27.1,35.8,36.0,36.8,32.4
12-05,38.5,-4.2,34.1,25.0,21.1,17.9,26.7,29.6,33.4,35.3,29.9,,-4.2,17.9,25.0,33.4,35.3,38.5,29.6
12-06,33.4,2.8,34.1,34.5,18.2,18.0,27.6,30.2,32.5,32.0,20.2,,2.8,18.0,20.2,32.5,34.1,34.5,30.2
12-07,27.8,13.3,33.2,36.3,9.4,19.4,29.4,34.2,32.4,30.0,23.1,,9.4,13.3,23.1,32.4,34.2,36.3,29.4
12-08,24.7,1.4,35.5,35.2,24.1,27.4,28.0,29.3,35.9,29.8,21.0,,1.4,21.0,24.7,29.8,35.5,35.9,28.0
12-09,11.9,1.6,34.8,39.0,33.0,30.7,26.2,23.2,35.8,28.0,21.8,,1.6,11.9,23.2,33.0,35.8,39.0,28.0
12-10,19.3,16.6,36.0,37.6,35.9,31.9,31.6,23.5,27.2,9.4,29.7,,9.4,16.6,23.5,31.9,36.0,37.6,29.7
12-11,24.3,21.3,37.7,24.6,29.5,36.5,26.1,26.5,18.0,17.9,29.0,,17.9,18.0,24.3,29.0,36.5,37.7,26.1
12-12,29.3,28.8,36.5,18.7,27.9,37.6,21.6,31.6,15.6,27.0,17.5,,15.6,17.5,21.6,29.3,36.5,37.6,27.9
12-13,30.0,21.0,26.9,27.5,28.0,33.6,18.3,30.7,19.6,31.6,15.7,,15.7,18.3,21.0,30.0,31.6,33.6,27.5
12-14,28.7,19.0,16.4,18.5,35.1,24.4,31.3,23.9,19.3,33.3,15.1,,15.1,16.4,19.0,28.7,33.3,35.1,23.9
12-15,21.8,29.6,21.0,14.9,36.8,32.3,32.4,14.1,15.2,14.8,13.8,,13.8,14.1,14.9,29.6,32.4,36.8,21.0
12-16,19.8,30.9,28.5,14.2,29.4,27.4,34.3,10.0,22.4,20.8,8.0,,8.0,10.0,19.8,28.5,30.9,34.3,22.4
12-17,27.1,35.0,25.4,16.5,4.1,19.2,32.0,17.8,27.3,14.7,16.5,,4.1,14.7,16.5,27.1,32.0,35.0,19.2
12-18,21.3,35.0,22.3,29.2,4.4,27.0,28.9,26.4,19.7,20.9,19.1,,4.4,19.1,20.9,27.0,29.2,35.0,22.3
12-19,6.5,28.0,24.8,29.9,21.9,30.8,29.5,20.2,21.0,27.0,18.9,,6.5,18.9,21.0,28.0,29.9,30.8,24.8
12-20,21.2,17.7,28.8,24.0,29.8,30.2,32.5,28.1,28.6,28.8,27.4,,17.7,21.2,27.4,28.8,30.2,32.5,28.6
12-21,27.0,19.1,31.8,26.5,27.9,12.3,32.2,36.2,34.2,29.3,25.3,,12.3,19.1,26.5,31.8,34.2,36.2,27.9
12-22,28.8,21.2,27.3,21.9,28.5,19.9,21.6,35.5,25.5,32.4,23.3,,19.9,21.2,21.9,28.5,32.4,35.5,25.5
12-23,28.3,27.0,17.2,14.2,27.5,26.5,29.2,32.6,11.5,33.4,26.8,,11.5,14.2,26.5,28.3,32.6,33.4,27.0
12-24,20.0,23.2,26.7,13.8,29.1,26.1,28.2,28.2,21.2,29.4,29.1,,13.8,20.0,23.2,28.2,29.1,29.4,26.7
12-25,14.5,23.2,17.1,9.6,15.1,29.4,28.2,22.8,29.8,26.2,30.6,,9.6,14.5,17.1,28.2,29.8,30.6,23.2
12-26,19.5,29.3,12.3,8.6,10.0,28.5,18.0,18.2,30.9,20.1,36.6,,8.6,10.0,18.0,28.5,30.9,36.6,19.5
12-27,15.4,32.4,9.8,13.4,25.0,30.7,11.0,18.7,22.3,19.5,33.6,,9.8,11.0,15.4,25.0,32.4,33.6,19.5
12-28,11.8,27.3,18.9,13.3,25.6,32.2,6.1,9.5,22.9,16.2,24.5,,6.1,9.5,13.3,24.5,27.3,32.2,18.9
12-29,17.2,17.2,12.2,10.0,30.2,37.5,12.3,12.5,15.1,17.3,20.3,,10.0,12.2,12.5,17.3,30.2,37.5,17.2
12-30,16.5,25.6,7.4,14.5,29.8,38.5,22.6,19.2,17.9,24.1,28.3,,7.4,14.5,17.9,25.6,29.8,38.5,22.6
12-31,5.4,32.2,10.8,6.8,22.6,30.3,9.4,18.0,22.6,18.7,33.0,,5.4,6.8,10.8,22.6,32.2,33.0,18.7
01-01,7.4,27.6,14.6,14.5,22.3,30.2,1.3,26.4,18.3,3.8,30.9,,1.3,3.8,14.5,26.4,30.2,30.9,18.3
01-02,12.7,30.6,18.3,28.1,25.0,26.9,14.5,20.1,22.4,19.7,22.3,,12.7,14.5,19.7,25.0,28.1,30.6,22.3
01-03,18.0,32.0,22.0,33.5,23.5,33.4,27.3,24.0,24.4,25.8,19.0,,18.0,19.0,23.5,27.3,33.4,33.5,24.4
01-04,21.8,17.6,24.8,30.4,28.9,33.9,33.4,30.6,31.5,26.6,23.1,,17.6,21.8,24.8,30.6,33.4,33.9,28.9
01-05,24.8,10.3,32.3,28.8,16.4,34.3,32.7,26.2,23.1,31.4,27.1,,10.3,16.4,24.8,31.4,32.7,34.3,27.1
01-06,26.6,22.9,36.8,28.2,7.4,32.4,25.0,20.5,27.1,33.6,25.4,,7.4,20.5,25.0,28.2,33.6,36.8,26.6
01-07,24.2,30.9,39.8,21.1,25.2,28.9,25.7,28.5,24.5,32.4,24.4,,21.1,24.2,24.5,28.9,32.4,39.8,25.7
01-08,24.6,25.9,36.6,19.1,34.3,34.3,30.3,24.4,26.3,23.1,28.0,,19.1,23.1,24.6,30.3,34.3,36.6,26.3
01-09,32.5,23.2,34.9,17.0,33.5,35.2,35.0,19.8,18.6,20.3,30.3,,17.0,18.6,20.3,33.5,35.0,35.2,30.3
01-10,26.7,26.8,33.0,14.4,29.9,29.4,30.6,12.3,16.5,29.9,31.4,,12.3,14.4,26.7,29.9,31.4,33.0,29.4
01-11,5.1,33.4,30.7,16.6,28.6,25.2,22.8,21.6,20.0,26.8,22.0,,5.1,16.6,21.6,26.8,30.7,33.4,22.8
01-12,0.4,21.7,29.0,23.5,25.9,29.2,20.8,17.6,28.5,31.6,28.0,,0.4,17.6,21.7,28.5,29.2,31.6,25.9
01-13,-5.8,24.9,25.1,28.8,26.7,27.8,20.4,20.6,35.9,37.0,35.6,,-5.8,20.4,24.9,28.8,35.9,37.0,26.7
01-14,-9.2,25.3,22.6,19.6,25.3,31.7,23.2,22.6,25.8,26.5,29.8,,-9.2,19.6,22.6,25.8,29.8,31.7,25.3
01-15,6.4,25.4,29.2,20.8,24.0,31.0,30.0,23.3,29.0,29.3,25.9,,6.4,20.8,24.0,29.2,30.0,31.0,25.9
01-16,20.5,27.0,32.7,22.8,17.7,31.0,28.4,30.6,28.2,31.1,24.6,,17.7,20.5,24.6,30.6,31.1,32.7,28.2
01-17,26.8,28.5,29.1,27.0,23.3,30.4,31.5,19.0,28.6,32.2,20.1,,19.0,20.1,26.8,29.1,31.5,32.2,28.5
01-18,26.3,29.8,34.0,28.6,28.3,37.6,20.8,22.1,22.0,26.8,15.1,,15.1,20.8,22.1,28.6,34.0,37.6,26.8
01-19,27.4,31.9,33.3,26.3,26.9,36.8,25.6,27.6,21.4,22.7,17.3,,17.3,21.4,25.6,27.6,33.3,36.8,26.9
01-20,26.2,30.7,25.4,22.1,24.4,21.7,33.3,34.3,26.5,21.5,14.1,,14.1,21.5,22.1,26.5,33.3,34.3,25.4
01-21,29.6,30.8,17.5,23.5,21.6,12.6,23.0,29.8,27.0,23.1,12.7,,12.6,12.7,21.6,27.0,29.8,30.8,23.1
01-22,35.1,27.8,17.9,33.8,21.3,16.2,12.3,29.1,28.9,22.1,12.8,,12.3,12.8,17.9,28.9,33.8,35.1,22.1
01-23,36.7,21.8,20.9,32.6,24.1,21.0,19.5,27.7,21.6,24.3,13.6,,13.6,19.5,21.0,24.3,32.6,36.7,21.8
01-24,33.9,27.6,26.3,22.6,15.2,31.0,21.7,29.6,19.3,24.4,12.7,,12.7,15.2,21.7,27.6,31.0,33.9,24.4
01-25,33.9,28.7,35.5,16.5,10.9,29.5,19.5,28.2,19.4,20.7,15.2,,10.9,15.2,19.4,28.7,33.9,35.5,20.7
01-26,31.7,26.7,40.9,17.2,9.6,16.8,20.5,34.3,16.0,16.4,16.7,,9.6,16.0,16.7,26.7,34.3,40.9,17.2
01-27,29.3,27.5,36.9,26.9,9.8,22.4,28.2,25.4,18.5,15.9,25.8,,9.8,15.9,22.4,27.5,29.3,36.9,25.8
01-28,13.6,24.6,32.8,32.6,19.8,29.2,24.9,23.5,28.4,24.4,21.1,,13.6,19.8,23.5,28.4,32.6,32.8,24.6
01-29,11.5,33.6,32.6,33.7,29.9,36.1,23.5,22.9,26.8,32.4,21.1,,11.5,21.1,23.5,32.6,33.7,36.1,29.9
01-30,21.7,25.9,31.8,28.2,33.0,38.1,25.4,19.9,20.1,29.2,10.2,,10.2,19.9,21.7,29.2,33.0,38.1,25.9
01-31,23.4,19.5,28.8,18.0,34.9,37.2,28.1,25.5,26.8,27.2,8.8,,8.8,18.0,23.4,28.1,34.9,37.2,26.8
02-01,23.3,12.7,26.2,13.2,35.5,35.4,31.5,34.9,35.2,12.1,19.7,,12.1,12.7,19.7,34.9,35.4,35.5,26.2
02-02,27.7,12.1,35.1,7.4,30.6,34.2,33.0,40.5,37.5,5.8,27.0,,5.8,7.4,27.0,34.2,37.5,40.5,30.6
02-03,28.4,18.2,35.2,7.7,32.7,35.7,29.6,10.9,28.8,4.9,31.4,,4.9,7.7,18.2,31.4,35.2,35.7,28.8
02-04,25.2,12.9,36.8,15.2,33.0,34.6,28.4,4.4,17.8,18.0,29.0,,4.4,12.9,17.8,29.0,34.6,36.8,25.2
02-05,33.9,12.6,38.7,19.6,33.0,33.3,22.9,8.5,22.6,24.4,27.4,,8.5,12.6,22.6,33.0,33.9,38.7,24.4
02-06,25.8,20.7,39.8,25.2,32.3,24.2,10.8,26.3,25.8,21.6,20.2,,10.8,20.2,21.6,25.8,32.3,39.8,25.2
02-07,25.3,24.0,39.0,26.2,34.6,26.5,7.7,31.3,31.7,27.1,20.8,,7.7,20.8,25.3,31.3,34.6,39.0,26.5
02-08,23.9,30.6,39.4,31.7,37.5,34.6,17.9,29.8,32.8,28.1,23.9,,17.9,23.9,28.1,32.8,37.5,39.4,30.6
02-09,15.4,32.6,38.4,36.3,42.0,36.3,18.5,18.9,31.0,28.2,15.2,,15.2,15.4,18.9,36.3,38.4,42.0,31.0
02-10,13.3,28.1,30.6,38.4,39.6,23.5,20.6,15.3,28.5,29.8,30.1,,13.3,15.3,23.5,30.1,38.4,39.6,28.5
02-11,10.1,22.9,30.2,37.6,30.3,21.0,10.9,15.1,30.4,32.6,31.6,,10.1,10.9,21.0,30.4,32.6,37.6,30.2
02-12,11.4,30.5,35.2,41.3,30.3,25.5,24.0,20.9,30.1,29.1,29.8,,11.4,20.9,25.5,30.3,35.2,41.3,29.8
02-13,20.9,36.5,39.6,34.3,29.8,26.8,29.8,24.0,26.9,32.5,29.1,,20.9,24.0,26.9,32.5,36.5,39.6,29.8
02-14,21.8,37.0,42.5,31.8,30.5,31.2,31.9,30.3,17.9,34.2,15.1,,15.1,17.9,30.3,31.9,37.0,42.5,31.2
02-15,20.0,40.4,33.4,33.7,33.3,18.5,28.9,28.4,20.5,30.7,9.5,,9.5,18.5,20.5,33.3,33.7,40.4,28.9
02-16,29.7,35.6,25.2,35.8,37.0,21.2,15.0,31.7,20.3,32.0,11.8,,11.8,15.0,21.2,32.0,35.8,37.0,29.7
02-17,26.2,32.3,23.2,42.1,33.3,30.4,12.5,23.4,14.9,14.7,26.1,,12.5,14.7,23.2,30.4,33.3,42.1,26.1
02-18,20.1,32.8,32.5,31.6,33.9,34.2,11.1,18.1,14.3,18.6,25.8,,11.1,14.3,18.6,32.5,33.9,34.2,25.8
02-19,27.0,24.7,36.0,32.1,33.1,15.9,7.3,18.3,25.5,22.5,25.8,,7.3,15.9,22.5,27.0,33.1,36.0,25.5
02-20,24.9,18.0,30.1,32.9,35.5,6.1,10.4,22.3,21.9,29.5,27.9,,6.1,10.4,21.9,29.5,32.9,35.5,24.9
02-21,16.5,26.9,23.0,32.3,38.4,10.7,14.2,32.1,18.0,33.0,28.8,,10.7,14.2,18.0,32.1,33.0,38.4,26.9
02-22,12.5,26.9,20.2,24.4,29.7,13.7,11.4,33.1,26.0,24.1,14.0,,11.4,12.5,14.0,26.0,29.7,33.1,24.1
02-23,16.6,31.6,21.1,20.8,13.3,13.0,11.2,28.0,26.4,18.6,11.5,,11.2,11.5,13.3,21.1,28.0,31.6,18.6
02-24,12.9,33.4,24.7,27.2,10.0,10.2,21.5,21.4,19.6,15.3,20.0,,10.0,10.2,15.3,21.5,27.2,33.4,20.0
02-25,18.8,35.2,29.9,33.1,11.0,14.7,28.0,16.1,14.6,9.5,30.1,,9.5,11.0,14.7,29.9,33.1,35.2,18.8
02-26,13.1,35.6,23.4,37.4,16.9,23.5,31.2,22.7,22.9,8.2,23.5,,8.2,13.1,22.7,23.5,35.6,37.4,23.4
02-27,11.8,30.8,22.7,39.4,20.8,23.4,30.7,28.9,10.8,12.7,23.5,,10.8,11.8,20.8,28.9,30.8,39.4,23.4
02-28,22.7,30.4,24.4,34.8,15.4,19.2,31.7,33.4,12.1,29.9,18.1,,12.1,15.4,19.2,30.4,33.4,34.8,24.4
02-29,,,,35.0,,,,33.3,,,,,12.1,15.4,19.2,30.4,33.4,34.8,24.4
03-01,30.1,30.1,26.4,36.5,17.3,24.3,33.4,29.8,26.7,32.3,21.6,,17.3,21.6,26.4,30.1,33.4,36.5,29.8
03-02,37.2,30.3,27.5,37.6,27.0,30.9,31.0,23.2,32.0,38.7,17.7,,17.7,23.2,27.5,32.0,37.6,38.7,30.9
03-03,32.7,34.3,20.6,40.5,34.7,32.5,29.6,25.8,33.8,42.6,19.1,,19.1,20.6,29.6,34.3,40.5,42.6,32.7
03-04,23.4,29.3,16.1,39.6,34.9,17.5,24.1,32.2,28.2,41.2,24.4,,16.1,17.5,24.1,32.2,39.6,41.2,28.2
03-05,31.2,32.8,22.6,40.6,32.2,15.4,31.1,36.6,34.3,33.7,25.2,,15.4,22.6,31.1,33.7,36.6,40.6,32.2
03-06,34.4,36.8,30.3,35.0,14.0,21.5,32.7,38.0,37.6,26.3,21.6,,14.0,21.5,26.3,35.0,37.6,38.0,32.7
03-07,33.8,27.3,35.0,26.5,24.7,31.8,31.3,38.8,37.9,15.7,22.5,,15.7,22.5,26.5,33.8,37.9,38.8,31.3
03-08,30.7,27.9,33.9,27.5,34.1,34.2,25.9,31.7,40.3,12.7,24.4,,12.7,24.4,27.5,33.9,34.2,40.3,30.7
03-09,26.2,38.3,32.4,30.7,38.6,35.4,22.8,31.9,29.6,19.6,25.8,,19.6,22.8,26.2,32.4,38.3,38.6,30.7
03-10,23.8,38.8,36.6,38.9,41.2,35.0,27.1,33.8,23.5,21.6,33.8,,21.6,23.5,27.1,36.6,38.9,41.2,33.8
03-11,28.8,23.0,40.2,39.7,38.0,35.8,29.9,37.2,22.5,11.4,29.3,,11.4,22.5,28.8,37.2,39.7,40.2,29.9
03-12,34.0,25.9,36.8,36.1,38.2,37.7,34.2,37.8,24.3,15.2,28.8,,15.2,24.3,28.8,36.8,37.8,38.2,34.2
03-13,39.1,32.7,37.8,35.7,38.8,40.0,18.7,31.7,20.4,30.5,31.3,,18.7,20.4,31.3,37.8,39.1,40.0,32.7
03-14,45.0,33.4,41.5,30.6,44.2,36.8,19.8,32.9,25.6,30.7,32.8,,19.8,25.6,30.7,36.8,44.2,45.0,32.9
03-15,43.8,29.4,45.8,25.9,44.1,26.2,22.1,33.8,32.4,29.1,31.0,,22.1,25.9,29.1,33.8,44.1,45.8,31.0
03-16,38.1,34.9,45.2,28.0,43.0,27.2,30.3,35.2,28.8,38.3,22.7,,22.7,27.2,28.8,38.1,43.0,45.2,34.9
03-17,31.6,30.4,44.6,33.8,45.6,27.4,34.0,35.4,32.4,30.3,21.5,,21.5,27.4,30.4,34.0,44.6,45.6,32.4
03-18,28.7,18.8,39.1,31.5,47.3,19.8,34.2,30.0,36.3,26.4,21.5,,18.8,19.8,26.4,34.2,39.1,47.3,30.0
03-19,32.4,26.1,35.6,35.2,45.5,22.0,32.9,28.8,40.5,30.6,27.0,,22.0,26.1,28.8,35.2,40.5,45.5,32.4
03-20,36.3,33.5,40.1,42.0,44.7,30.0,34.1,27.1,33.4,35.9,25.6,,25.6,27.1,33.4,36.3,42.0,44.7,34.1
03-21,27.9,35.1,42.4,41.5,43.8,37.3,31.8,28.0,21.7,29.9,28.8,,21.7,27.9,28.8,37.3,42.4,43.8,31.8
03-22,18.2,30.0,40.3,28.7,40.4,40.3,29.5,31.6,21.5,23.5,26.0,,18.2,21.5,26.0,31.6,40.3,40.4,29.5
03-23,12.4,32.6,36.1,23.1,29.8,33.6,33.4,31.2,24.0,26.0,24.4,,12.4,23.1,24.4,32.6,33.6,36.1,29.8
03-24,17.3,35.1,34.5,30.1,35.0,35.2,31.7,34.9,24.3,31.9,18.7,,17.3,18.7,30.1,34.9,35.1,35.2,31.9
03-25,27.2,40.3,30.8,28.5,33.4,28.7,35.2,33.1,25.1,40.0,11.4,,11.4,25.1,28.5,33.4,40.0,40.3,30.8
03-26,36.5,30.6,36.5,24.6,31.4,20.8,39.7,24.0,25.1,45.2,10.3,,10.3,20.8,24.6,36.5,39.7,45.2,30.6
03-27,39.2,27.8,43.3,33.8,32.0,23.8,41.1,20.1,28.0,45.8,16.2,,16.2,20.1,27.8,39.2,43.3,45.8,32.0
