date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-23,18.2,33.9,28.8,23.7,17.6,27.1,25.4,40.8,29.7,22.3,25.4,31.0,21.6,,17.6,18.9,23.1,29.2,33.3,40.8,25.4
11-24,-4.5,33.7,30.6,22.9,13.5,31.1,16.8,38.6,20.5,27.4,13.3,16.2,16.3,,-4.5,13.4,16.3,28.7,33.2,38.6,20.5
11-25,2.4,23.6,28.8,19.3,27.7,25.8,24.6,35.1,9.7,22.0,22.6,21.2,24.8,,2.4,11.6,21.7,25.2,28.6,35.1,23.6
11-26,23.1,17.0,19.2,22.0,30.6,1.6,30.1,42.3,16.3,8.4,12.0,30.3,22.2,,1.6,9.1,16.7,25.9,30.5,42.3,22.0
11-27,24.6,28.7,23.3,26.9,39.1,0.0,22.3,36.3,32.0,20.0,14.3,30.1,21.6,,0.0,15.4,22.0,29.3,35.5,39.1,24.6
11-28,16.7,30.6,34.4,26.5,39.6,6.8,18.0,26.9,31.4,24.9,19.8,32.0,21.0,,6.8,17.0,20.5,30.9,33.9,39.6,26.5
11-29,8.0,27.6,34.4,24.9,36.9,2.2,12.9,30.0,25.7,24.3,16.0,34.6,8.5,,2.2,8.1,14.7,28.6,34.6,36.9,24.9
11-30,16.0,26.9,35.2,21.9,31.1,6.7,9.4,28.7,24.1,9.9,24.4,30.5,28.8,,6.7,9.5,19.5,28.7,31.0,35.2,24.4
12-01,32.2,15.1,36.3,32.1,30.6,7.9,14.6,31.6,16.0,19.9,14.1,34.1,30.1,,7.9,14.2,15.6,31.8,33.7,36.3,30.1
12-02,35.7,16.1,35.2,32.8,32.7,21.1,3.9,35.7,9.2,32.8,8.1,34.9,9.4,,3.9,8.3,13.4,33.7,35.6,35.7,32.7
12-03,34.6,10.6,15.4,15.4,31.5,30.7,10.7,29.4,6.6,27.7,14.4,31.1,21.9,,6.6,10.6,15.0,29.9,31.4,34.6,21.9
12-04,32.0,7.9,30.8,-5.9,29.9,30.7,25.0,10.1,0.3,29.2,22.0,31.9,33.4,,-5.9,1.8,17.2,30.7,32.0,33.4,29.2
12-05,29.1,-5.4,37.4,-15.8,29.4,16.0,6.9,8.5,23.8,28.0,22.4,33.6,20.2,,-15.8,-3.0,13.0,28.4,32.8,37.4,22.4
12-06,28.4,13.6,29.7,-6.3,29.0,29.3,8.8,4.2,20.1,22.2,20.7,28.0,6.2,,-6.3,4.6,11.7,28.1,29.2,29.7,20.7
12-07,25.3,20.1,23.2,9.1,25.0,36.7,-2.9,10.9,19.6,30.6,21.3,27.6,11.8,,-2.9,9.5,16.5,25.2,30.0,36.7,21.3
12-08,31.3,20.8,16.3,0.3,26.1,33.9,14.4,16.2,18.7,26.7,22.3,26.3,14.3,,0.3,14.3,16.3,26.2,30.4,33.9,20.8
12-09,33.3,18.7,4.5,-3.4,28.2,37.8,32.3,17.8,12.4,18.6,24.9,23.5,19.0,,-3.4,6.1,18.2,26.2,33.1,37.8,19.0
12-10,28.2,18.1,17.8,17.0,28.8,32.2,32.1,20.1,23.5,17.2,21.9,7.5,25.7,,7.5,17.0,18.0,26.7,31.4,32.2,21.9
12-11,24.6,19.2,21.1,12.9,36.8,16.6,22.9,26.7,23.1,22.3,12.7,16.5,27.2,,12.7,13.6,18.2,23.7,27.1,36.8,22.3
12-12,33.0,17.7,27.3,19.1,38.6,6.9,21.6,26.8,19.0,30.0,8.0,31.5,17.0,,6.9,9.8,18.5,28.4,32.7,38.6,21.6
12-13,34.7,15.3,26.8,17.7,28.3,23.5,23.1,26.1,10.0,24.4,14.0,32.5,15.1,,10.0,14.2,16.7,26.4,31.7,34.7,23.5
12-14,37.1,15.3,25.9,22.8,18.6,17.6,30.2,15.9,24.1,17.5,18.7,30.8,12.0,,12.0,15.4,17.6,24.8,30.7,37.1,18.7
12-15,13.7,12.6,19.1,30.0,13.0,12.7,40.1,25.7,29.7,3.9,13.8,10.6,9.4,,3.9,9.7,12.6,21.7,30.0,40.1,13.7
12-16,-0.7,13.0,18.3,27.2,24.7,11.8,26.4,25.5,25.8,1.3,19.1,20.5,2.9,,-0.7,1.6,12.5,25.0,26.3,27.2,19.1
12-17,8.1,21.5,25.6,25.9,15.8,15.5,1.8,14.3,28.6,7.0,26.5,10.2,8.6,,1.8,7.2,9.5,23.1,26.4,28.6,15.5
12-18,28.4,24.0,14.3,32.4,15.0,27.7,-4.2,26.2,30.3,18.1,16.5,11.4,9.6,,-4.2,9.9,14.7,26.8,29.9,32.4,18.1
12-19,32.9,15.4,-1.6,27.2,22.0,31.8,19.5,27.4,23.0,15.6,17.3,20.4,14.4,,-1.6,14.6,16.6,24.7,30.9,32.9,20.4
12-20,22.0,16.2,14.6,14.3,27.9,22.6,36.6,28.6,22.4,19.9,30.9,26.5,21.8,,14.3,14.9,21.1,27.1,30.4,36.6,22.4
12-21,23.8,16.7,26.4,17.8,31.1,23.9,23.5,9.6,29.8,28.8,33.5,23.4,22.0,,9.6,16.9,22.8,27.3,30.8,33.5,23.8
12-22,30.9,6.4,26.7,18.9,22.5,22.6,19.9,15.7,11.2,38.3,22.9,29.5,10.9,,6.4,10.9,17.6,24.4,30.6,38.3,22.5
12-23,25.4,7.9,25.5,27.6,9.7,12.6,22.0,18.9,21.4,32.1,4.9,32.6,24.3,,4.9,8.2,16.4,25.5,31.2,32.6,22.0
12-24,17.7,15.6,19.4,17.5,24.7,7.9,27.6,16.5,21.8,27.5,11.9,26.0,25.0,,7.9,12.6,17.1,24.8,27.2,27.6,19.4
12-25,24.9,25.3,11.2,11.7,16.3,4.4,13.9,25.9,24.1,15.3,19.2,24.3,30.7,,4.4,11.3,14.8,24.5,25.8,30.7,19.2
12-26,26.6,23.4,17.7,18.8,5.3,-7.2,3.1,22.2,11.1,6.3,25.3,15.0,33.7,,-7.2,3.5,9.2,22.7,26.3,33.7,17.7
12-27,16.0,21.6,10.3,23.7,5.8,1.2,21.4,29.1,5.3,8.8,14.1,14.2,34.6,,1.2,5.4,9.7,21.5,28.0,34.6,14.2
12-28,18.4,35.3,4.3,20.5,13.9,8.3,17.9,32.3,-2.4,1.0,12.0,9.6,20.2,,-2.4,1.7,9.1,19.1,29.9,35.3,13.9
12-29,24.3,32.4,7.8,11.8,-0.5,5.6,17.8,38.3,11.6,7.9,4.1,11.7,12.8,,-0.5,4.4,7.9,14.8,30.8,38.3,11.7
12-30,4.9,39.0,8.1,25.1,-11.5,0.7,27.0,36.7,16.0,9.1,13.5,20.7,24.6,,-11.5,1.5,8.7,24.8,34.8,39.0,16.0
12-31,-7.7,13.8,-2.3,30.3,-5.5,-6.2,15.1,21.1,-3.5,17.0,21.2,11.1,27.9,,-7.7,-6.1,-2.8,18.7,26.6,30.3,13.8
01-01,-2.2,21.6,6.7,19.8,9.8,2.8,17.2,21.5,-8.7,25.9,11.3,-6.1,25.9,,-8.7,-5.3,5.1,20.5,25.0,25.9,11.3
01-02,16.5,28.5,0.9,20.9,19.6,18.9,15.6,12.5,10.9,18.4,16.9,13.0,17.3,,0.9,11.2,14.6,18.6,20.6,28.5,16.9
01-03,10.5,27.3,8.7,28.0,17.5,25.9,18.3,21.2,20.4,21.9,22.6,25.0,15.7,,8.7,11.5,17.9,23.5,27.0,28.0,21.2
01-04,8.9,26.8,13.4,10.5,26.9,28.9,25.4,24.4,26.2,24.7,24.4,25.0,12.6,,8.9,10.9,20.0,25.7,26.9,28.9,24.7
01-05,18.6,29.3,16.9,3.5,34.7,24.6,2.0,28.5,28.9,14.8,16.5,27.7,24.6,,2.0,5.8,16.8,28.1,29.2,34.7,24.6
01-06,20.8,27.0,24.1,11.6,31.6,24.4,-6.2,28.8,21.7,21.7,18.8,32.6,24.8,,-6.2,13.0,21.3,25.7,31.1,32.6,24.1
01-07,23.0,15.4,19.9,23.3,30.4,22.0,18.3,24.6,24.4,28.3,17.1,34.9,18.2,,15.4,17.3,19.3,24.5,30.0,34.9,23.0
01-08,23.5,11.3,21.9,23.7,27.7,16.2,36.1,33.3,29.5,23.1,12.3,15.6,25.0,,11.3,12.9,19.6,26.1,32.5,36.1,23.5
01-09,4.3,21.8,26.9,17.4,23.6,6.2,29.4,36.5,31.4,15.4,8.5,9.3,27.0,,4.3,6.7,13.0,26.9,31.0,36.5,21.8
01-10,-6.7,24.4,25.9,22.5,30.4,2.1,25.5,26.4,26.2,10.6,6.9,18.9,30.4,,-6.7,3.0,15.6,26.0,29.6,30.4,24.4
01-11,3.3,10.1,2.3,33.0,27.3,6.0,24.1,25.3,17.5,20.3,12.7,18.0,16.8,,2.3,3.8,11.7,21.8,26.9,33.0,17.5
01-12,23.5,7.4,-6.9,17.4,26.2,13.8,17.5,21.9,8.4,10.6,25.0,24.3,17.3,,-6.9,7.6,12.5,22.6,24.9,26.2,17.4
01-13,30.9,20.0,-14.7,24.1,20.7,23.1,19.8,21.5,6.7,18.4,31.2,28.9,31.1,,-14.7,9.0,19.9,26.0,31.1,31.2,21.5
01-14,28.5,30.2,-11.5,21.6,14.4,17.7,14.7,20.8,7.5,18.1,16.7,20.1,30.2,,-11.5,8.9,15.9,21.1,29.9,30.2,18.1
01-15,27.0,34.4,11.9,19.8,20.6,18.0,12.8,17.0,25.9,15.6,24.5,18.4,23.3,,11.9,13.4,17.6,23.8,26.8,34.4,19.8
01-16,33.7,10.8,12.0,16.0,29.8,22.0,7.5,18.0,24.0,28.8,25.3,23.7,14.4,,7.5,11.0,15.4,24.5,29.6,33.7,22.0
01-17,31.0,6.4,15.9,18.3,22.9,24.6,16.0,24.9,29.5,14.8,31.6,24.6,15.6,,6.4,15.0,16.0,24.7,30.7,31.6,22.9
01-18,26.1,27.2,16.8,19.9,35.2,28.6,23.4,34.1,16.4,13.1,16.0,21.7,11.1,,11.1,13.7,16.7,26.5,33.0,35.2,21.7
01-19,19.1,36.1,17.1,22.2,30.3,20.4,25.3,34.5,21.3,15.6,12.1,13.3,9.2,,9.2,12.3,16.5,23.5,33.6,36.1,20.4
01-20,14.6,31.1,15.0,18.2,14.2,18.5,16.6,17.1,28.7,26.4,16.3,17.9,8.3,,8.3,14.3,15.8,18.3,28.2,31.1,17.1
01-21,28.5,30.1,18.3,17.8,-0.1,14.8,19.0,5.2,21.3,28.9,21.7,18.9,7.7,,-0.1,5.7,16.6,21.4,28.8,30.1,18.9
01-22,20.6,16.2,22.6,17.3,10.0,27.3,15.7,9.3,9.0,25.6,23.9,10.7,9.1,,9.0,9.2,10.4,21.4,25.2,27.3,16.2
01-23,16.4,20.6,29.2,15.2,16.3,28.8,21.5,14.7,18.1,24.4,18.4,17.5,15.0,,14.7,15.0,16.4,20.9,27.9,29.2,18.1
01-24,16.2,15.0,32.4,16.8,21.7,20.8,12.7,24.6,20.0,22.9,10.8,18.6,12.8,,10.8,12.8,15.7,21.2,24.2,32.4,18.6
01-25,23.4,28.8,26.1,23.1,28.3,11.3,7.0,25.6,18.5,28.0,6.7,11.7,10.6,,6.7,7.7,11.6,25.8,28.2,28.8,23.1
01-26,19.8,25.9,27.0,21.4,32.9,10.6,3.1,10.7,20.5,32.0,7.1,12.0,15.2,,3.1,7.8,11.5,23.2,31.0,32.9,19.8
01-27,24.0,9.0,23.8,23.7,35.8,18.7,1.7,17.9,24.9,21.9,17.2,5.0,23.1,,1.7,5.8,17.6,23.7,24.7,35.8,21.9
01-28,27.2,10.2,9.9,14.2,28.6,27.7,14.7,26.4,15.4,20.6,27.8,13.2,14.9,,9.9,10.8,14.5,26.7,27.8,28.6,15.4
01-29,24.9,25.0,10.3,31.3,24.3,33.2,21.0,27.6,14.3,12.9,26.0,18.6,14.2,,10.3,13.2,16.9,25.4,30.6,33.2,24.3
01-30,26.6,22.9,20.1,21.2,27.9,23.4,26.8,38.4,15.0,14.7,15.3,18.1,-0.2,,-0.2,14.8,17.0,24.7,27.7,38.4,21.2
01-31,17.5,15.1,24.4,8.7,23.4,10.5,33.8,33.5,17.8,21.4,18.1,22.5,3.2,,3.2,9.0,16.5,22.9,31.7,33.8,18.1
02-01,-12.7,20.3,21.1,7.7,21.4,9.6,31.8,31.0,21.3,28.8,28.3,-2.7,16.4,,-12.7,-0.6,13.7,24.2,30.6,31.8,21.1
02-02,-12.5,22.0,17.4,0.6,32.0,3.3,26.6,32.8,33.0,40.2,34.9,-5.4,15.3,,-12.5,-4.2,10.5,32.3,34.5,40.2,22.0
02-03,15.2,14.5,20.5,8.3,34.3,4.1,29.1,33.1,27.6,7.7,22.0,2.1,24.6,,2.1,4.8,12.0,25.8,32.3,34.3,20.5
02-04,28.8,9.0,18.4,5.5,31.4,14.9,29.5,33.3,26.3,-8.7,14.9,14.4,23.9,,-8.7,6.2,14.7,27.3,31.0,33.3,18.4
02-05,23.4,8.3,31.7,5.1,37.4,15.7,33.1,29.5,20.5,11.2,19.8,18.4,25.5,,5.1,8.9,17.3,27.1,32.9,37.4,20.5
02-06,17.1,7.2,19.1,17.2,40.8,22.1,31.9,20.1,9.6,25.2,23.7,16.2,17.7,,7.2,10.9,17.2,22.7,30.5,40.8,19.1
02-07,24.2,9.0,17.7,21.9,38.7,24.2,33.5,25.0,1.2,28.2,27.4,18.7,18.4,,1.2,10.8,18.6,26.0,32.4,38.7,24.2
02-08,3.5,25.6,21.3,29.0,33.9,21.7,35.1,30.1,12.6,23.2,28.8,24.6,16.2,,3.5,13.3,21.5,28.9,33.1,35.1,24.6
02-09,1.0,24.0,14.4,28.3,32.3,26.1,43.7,33.3,15.1,6.8,27.0,27.1,6.9,,1.0,6.8,14.8,27.6,33.1,43.7,26.1
02-10,9.5,22.4,5.5,20.6,24.5,27.9,37.6,15.4,15.6,4.9,27.0,29.7,22.6,,4.9,6.3,15.5,25.5,29.4,37.6,22.4
02-11,16.1,25.4,-1.6,16.2,21.3,28.7,21.7,15.8,5.7,11.1,27.8,22.6,28.4,,-1.6,6.8,16.0,23.7,28.3,28.7,21.3
02-12,20.3,25.5,11.8,28.4,28.8,32.5,15.8,18.9,18.1,19.1,28.3,17.8,20.8,,11.8,16.2,18.5,26.6,28.7,32.5,20.3
02-13,21.8,20.3,19.5,31.7,29.5,28.5,17.8,17.5,29.1,19.5,23.1,22.7,23.6,,17.5,18.2,20.0,25.6,29.5,31.7,22.7
02-14,18.1,12.6,19.3,34.0,35.8,28.6,21.6,27.9,33.5,25.3,11.8,27.7,11.0,,11.0,12.0,18.9,28.2,33.9,35.8,25.3
02-15,20.0,10.3,18.3,40.3,29.0,33.6,25.5,12.0,25.8,25.0,18.6,29.2,-0.8,,-0.8,10.7,18.5,27.1,32.7,40.3,25.0
02-16,29.1,11.3,21.4,28.9,13.8,32.5,33.0,11.4,8.0,28.2,18.3,18.1,3.7,,3.7,8.7,12.8,28.5,31.9,33.0,18.3
02-17,13.8,12.1,21.1,29.0,12.7,36.9,31.7,29.1,2.7,12.9,11.2,13.5,18.3,,2.7,11.4,12.8,24.2,31.2,36.9,13.8
02-18,25.7,19.5,13.2,30.1,24.1,28.7,33.8,29.4,3.9,2.6,6.3,18.0,21.4,,2.6,4.3,16.1,26.9,30.0,33.8,21.4
02-19,27.8,15.8,24.4,19.9,29.7,27.0,28.8,9.7,1.3,-1.1,25.3,22.8,23.7,,-1.1,3.0,18.3,26.0,28.6,29.7,23.7
02-20,18.5,15.9,17.8,14.8,25.3,26.1,31.2,-4.9,6.4,10.6,21.0,30.3,28.0,,-4.9,7.3,15.5,25.7,29.8,31.2,18.5
02-21,11.6,27.1,11.2,22.1,17.4,21.6,34.9,-3.5,5.2,20.0,17.4,20.0,28.3,,-3.5,6.4,15.0,21.8,28.1,34.9,20.0
02-22,12.9,33.5,9.6,23.2,1.0,19.1,22.9,2.7,1.3,24.9,25.2,5.6,6.1,,1.0,1.6,5.9,23.0,25.1,33.5,12.9
02-23,12.7,14.2,16.9,30.6,5.8,13.1,13.1,3.6,5.8,25.5,24.3,5.4,6.6,,3.6,5.4,6.3,15.3,25.2,30.6,13.1
02-24,20.6,17.3,7.7,34.5,18.7,20.1,4.8,6.3,19.3,14.1,10.5,3.7,13.8,,3.7,5.1,9.4,19.0,20.5,34.5,14.1
02-25,22.6,20.9,13.9,34.5,24.3,25.1,2.4,15.1,30.1,8.1,10.5,1.9,29.0,,1.9,3.5,12.5,24.6,29.9,34.5,20.9
02-26,23.4,13.3,8.1,28.9,16.0,27.5,9.1,21.6,33.9,17.8,16.5,7.2,28.8,,7.2,8.3,14.9,25.0,28.9,33.9,17.8
02-27,16.3,26.8,2.7,28.8,10.1,31.2,15.9,18.7,30.0,21.5,6.5,19.7,21.1,,2.7,7.2,16.2,23.6,29.7,31.2,19.7
02-28,28.9,18.4,15.7,30.6,13.6,27.3,8.6,17.0,29.0,25.4,4.0,24.8,13.8,,4.0,9.6,14.9,26.1,29.0,30.6,18.4
02-29,,21.5,,,,28.0,,,,29.7,,,,,4.0,9.6,14.9,26.1,29.0,30.6,18.4
03-01,24.1,11.3,27.4,30.4,19.4,33.1,12.9,23.2,28.5,21.4,19.5,32.1,16.3,,11.3,13.6,19.5,27.8,31.8,33.1,23.2
03-02,35.1,10.6,31.7,28.7,24.6,30.1,15.2,30.6,24.6,14.0,22.2,35.0,14.2,,10.6,14.0,19.4,30.3,34.3,35.1,24.6
03-03,27.1,22.5,31.0,34.0,15.1,31.7,25.6,32.7,18.6,17.9,24.7,36.7,14.8,,14.8,15.6,20.9,31.3,33.7,36.7,25.6
03-04,19.4,28.0,13.6,27.4,9.9,34.8,34.8,16.9,8.3,23.5,24.6,30.1,15.3,,8.3,10.7,16.3,27.7,33.9,34.8,23.5
03-05,28.9,34.2,22.5,31.1,17.6,38.4,30.1,9.7,25.9,27.7,24.9,25.6,18.6,,9.7,17.8,23.9,29.4,33.6,38.4,25.9
03-06,29.1,33.8,33.4,35.8,22.2,34.9,11.4,10.6,33.0,34.6,34.4,15.1,16.7,,10.6,12.1,20.0,34.0,34.9,35.8,33.0
03-07,18.0,18.8,30.2,26.4,26.1,22.4,24.4,19.9,28.4,35.8,31.2,9.3,13.5,,9.3,14.4,19.5,27.2,31.0,35.8,24.4
03-08,12.9,18.4,28.8,27.9,24.6,19.4,34.8,30.4,23.6,28.0,39.4,19.0,19.1,,12.9,18.5,19.3,28.4,33.9,39.4,24.6
03-09,14.0,28.0,23.0,32.5,24.6,25.0,36.6,31.7,14.5,26.4,27.6,15.7,19.3,,14.0,14.8,21.5,27.8,32.4,36.6,25.0
